id_number,measurements
CMNMA 11865,Tail: 75 mm;  Hind foot: 51 mm
CMNMA 11915,Tail: 86 mm;  Hind foot: 51 mm
CMNMA 11916,Tail: 130 mm;  Hind foot: 51 mm
CMNMA 11917,Tail: 132 mm;  Hind foot: 51.5 mm
CMNMA 11918,Tail: 110 mm;  Hind foot: 49 mm
CMNMA 11920,Tail: 117 mm;  Hind foot: 51 mm
CMNMA 11921,Tail: 130 mm;  Hind foot: 51 mm
CMNMA 11923,Tail: 136 mm;  Hind foot: 50 mm
CMNMA 11925,Tail: 125 mm;  Hind foot: 52 mm
CMNMA 11926,Tail: 126 mm;  Hind foot: 50.5 mm
CMNMA 11927,Tail: 92 mm;  Hind foot: 51 mm
CMNMA 11928,Tail: 127 mm;  Hind foot: 52 mm
CMNMA 11929,Tail: 92 mm;  Hind foot: 51 mm
CMNMA 11930,Tail: 130 mm;  Hind foot: 51 mm
CMNMA 11946,Tail: 126 mm;  Hind foot: 51 mm
CMNMA 11947,Tail: 133 mm;  Hind foot: 49 mm
CMNMA 11948,Tail: 132 mm;  Hind foot: 52 mm
CMNMA 11957,Tail: 138 mm;  Hind foot: 52 mm
CMNMA 11958,Tail: 128 mm;  Hind foot: 53 mm
CMNMA 11959,Tail: 89 mm;  Hind foot: 50 mm
CMNMA 11960,Tail: 130 mm;  Hind foot: 53 mm
CMNMA 11961,Tail: 135 mm;  Hind foot: 53 mm
CMNMA 11963,Tail: 112 mm;  Hind foot: 52 mm
CMNMA 11970,Tail: 121 mm;  Hind foot: 52 mm
CMNMA 11971,Tail: 125 mm;  Hind foot: 53 mm
CMNMA 11972,Tail: 125 mm;  Hind foot: 51.5 mm
CMNMA 11979,Tail: 128 mm;  Hind foot: 50 mm
CMNMA 12047,Tail: 104 mm;  Hind foot: 52.5 mm
CMNMA 12048,Tail: 130 mm;  Hind foot: 51.5 mm
CMNMA 12049,Tail: 125 mm;  Hind foot: 52 mm
CMNMA 12051,Tail: 116 mm;  Hind foot: 51 mm
CMNMA 12092,Tail: 112 mm;  Hind foot: 47.5 mm
CMNMA 12093,Tail: 125 mm;  Hind foot: 51 mm
CMNMA 12094,Tail: 125 mm;  Hind foot: 51 mm
CMNMA 12095,Tail: 126 mm;  Hind foot: 49 mm
CMNMA 12096,Tail: 122 mm;  Hind foot: 50 mm
CMNMA 12097,Tail: 70 mm;  Hind foot: 48 mm
CMNMA 12109,Tail: 125 mm;  Hind foot: 50 mm
CMNMA 12110,Tail: 125 mm;  Hind foot: 50 mm
CMNMA 12139,Tail: 120 mm;  Hind foot: 48 mm
CMNMA 12158,Tail: 140 mm;  Hind foot: 55 mm
CMNMA 12163,Tail: 130 mm;  Hind foot: 45 mm
CMNMA 12221,Tail: 85 mm;  Hind foot: 45 mm
CMNMA 12317,Tail: 133 mm;  Hind foot: 49 mm
CMNMA 12349,Tail: 131 mm;  Hind foot: 47 mm
CMNMA 12396,Tail: 121 mm;  Hind foot: 46 mm
CMNMA 12400,Tail: 109 mm;  Hind foot: 46 mm
CMNMA 12401,Tail: 134 mm;  Hind foot: 47.5 mm
CMNMA 12411,Tail: 125 mm;  Hind foot: 42 mm
CMNMA 12587,Tail: 133 mm;  Hind foot: 46 mm
CMNMA 12588,Tail: 126 mm;  Hind foot: 47 mm
CMNMA 12612,Tail: 129 mm;  Hind foot: 50 mm
CMNMA 12613,Tail: 134 mm;  Hind foot: 50 mm
CMNMA 12614,Tail: 135 mm;  Hind foot: 48 mm
CMNMA 12615,Tail: 147 mm;  Hind foot: 49 mm
CMNMA 12616,Tail: 140 mm;  Hind foot: 51 mm
CMNMA 12617,Tail: 135 mm;  Hind foot: 47 mm
CMNMA 12618,Tail: 134 mm;  Hind foot: 46 mm
CMNMA 12619,Tail: 139 mm;  Hind foot: 50 mm
CMNMA 12620,Tail: 129 mm;  Hind foot: 47 mm
CMNMA 12621,Tail: 127 mm;  Hind foot: 49 mm
CMNMA 12622,Tail: 66 mm;  Hind foot: 45 mm
CMNMA 12623,Tail: 130 mm;  Hind foot: 46 mm
CMNMA 12624,Tail: 129 mm;  Hind foot: 47 mm
CMNMA 12625,Tail: 124 mm;  Hind foot: 46 mm
CMNMA 12626,Tail: 129 mm;  Hind foot: 48 mm
CMNMA 12627,Tail: 130 mm;  Hind foot: 47 mm
CMNMA 12712,Tail: 112 mm;  Hind foot: 45 mm
CMNMA 12713,Tail: 100 mm;  Hind foot: 40 mm
CMNMA 12725,Tail: 117 mm;  Hind foot: 50 mm
CMNMA 12729,Tail: 132 mm;  Hind foot: 48 mm
CMNMA 12747,Tail: 96 mm;  Hind foot: 47 mm
CMNMA 12748,Tail: 135 mm;  Hind foot: 43 mm
CMNMA 12749,Tail: 125 mm;  Hind foot: 48 mm
CMNMA 12750,Tail: 126 mm;  Hind foot: 48 mm
CMNMA 12780,Tail: 111 mm;  Hind foot: 48 mm
CMNMA 12781,Tail: 92 mm;  Hind foot: 48 mm
CMNMA 12808,Tail: 126 mm;  Hind foot: 48 mm
CMNMA 12809,Tail: 118 mm;  Hind foot: 48 mm
CMNMA 12817,Tail: 120 mm;  Hind foot: 46 mm
CMNMA 12830,Tail: 128 mm;  Hind foot: 48 mm
CMNMA 12837,Tail: 130 mm;  Hind foot: 48 mm
CMNMA 12876,Tail: 112 mm;  Hind foot: 45 mm
CMNMA 12957,Tail: 112 mm;  Hind foot: 47 mm
CMNMA 12990,Tail: 126 mm;  Hind foot: 46 mm
CMNMA 13037,Tail: 120 mm;  Hind foot: 50 mm
CMNMA 13049,Tail: 118 mm;  Hind foot: 49 mm
CMNMA 13059,Tail: 123 mm;  Hind foot: 45 mm
CMNMA 13064,Tail: 108 mm;  Hind foot: 45 mm
CMNMA 13073,Tail: 123 mm;  Hind foot: 49 mm
CMNMA 13077,Tail: 118 mm;  Hind foot: 48 mm
CMNMA 13078,Tail: 110 mm;  Hind foot: 47 mm
CMNMA 13094,Tail: 122 mm;  Hind foot: 49 mm
CMNMA 13102,Tail: 108 mm;  Hind foot: 46 mm
CMNMA 13127,Tail: 131 mm;  Hind foot: 49 mm
CMNMA 13128,Tail: 104 mm;  Hind foot: 47 mm
CMNMA 13210,Tail: 122 mm;  Hind foot: 49 mm
CMNMA 13242,Tail: 112 mm;  Hind foot: 48.5 mm
CMNMA 13319,Tail: 128 mm;  Hind foot: 52 mm
CMNMA 13321,Tail: 126 mm;  Hind foot: 50 mm
CMNMA 13323,Tail: 118 mm;  Hind foot: 51 mm
CMNMA 13326,Tail: 110 mm;  Hind foot: 51 mm
CMNMA 13327,Tail: 109 mm;  Hind foot: 51 mm
CMNMA 13328,Tail: 110 mm;  Hind foot: 50 mm
CMNMA 13440,Tail: 125 mm;  Hind foot: 49 mm
CMNMA 13460,Tail: 112 mm;  Hind foot: 47 mm
CMNMA 13461,Tail: 119 mm;  Hind foot: 48 mm
CMNMA 13470,Tail: 122 mm;  Hind foot: 52 mm
CMNMA 13489,Tail: 123 mm;  Hind foot: 52 mm
CMNMA 13493,Tail: 128 mm;  Hind foot: 50 mm
CMNMA 13494,Tail: 128 mm;  Hind foot: 50 mm
CMNMA 13497,Tail: 121 mm;  Hind foot: 50 mm
CMNMA 13498,Tail: 124 mm;  Hind foot: 50 mm
CMNMA 13510,Tail: 120 mm;  Hind foot: 49 mm
CMNMA 13530,Tail: 112 mm;  Hind foot: 50.5 mm
CMNMA 13535,Tail: 115 mm;  Hind foot: 50 mm
CMNMA 13537,Tail: 122 mm;  Hind foot: 50 mm
CMNMA 13538,Tail: 49 mm;  Hind foot: 51 mm
CMNMA 13579,Tail: 110 mm;  Hind foot: 47 mm
CMNMA 13583,Tail: 115 mm;  Hind foot: 48 mm
CMNMA 13594,Tail: 119 mm;  Hind foot: 50 mm
CMNMA 13595,Tail: 123 mm;  Hind foot: 50 mm
CMNMA 13603,Tail: 114 mm;  Hind foot: 50.5 mm
CMNMA 13622,Tail: 124 mm;  Hind foot: 50.5 mm
CMNMA 13630,Tail: 112 mm;  Hind foot: 48 mm
CMNMA 13631,Tail: 120 mm;  Hind foot: 49 mm
CMNMA 13635,Tail: 119 mm;  Hind foot: 49 mm
CMNMA 13637,Tail: 121 mm;  Hind foot: 51 mm
CMNMA 13646,Tail: 118 mm;  Hind foot: 51.5 mm
CMNMA 13648,Tail: 113 mm;  Hind foot: 50 mm
CMNMA 13649,Tail: 98 mm;  Hind foot: 50 mm
CMNMA 13650,Tail: 115 mm;  Hind foot: 50 mm
CMNMA 13652,Tail: 118 mm;  Hind foot: 50 mm
CMNMA 13657,Tail: 109 mm;  Hind foot: 49 mm
CMNMA 13668,Tail: 120 mm;  Hind foot: 51 mm
CMNMA 13672,Tail: 115 mm;  Hind foot: 50 mm
CMNMA 13678,Tail: 127 mm;  Hind foot: 51 mm
CMNMA 13680,Tail: 125 mm;  Hind foot: 50 mm
CMNMA 13700,Tail: 127 mm;  Hind foot: 52 mm
CMNMA 13705,Tail: 112 mm;  Hind foot: 47 mm
CMNMA 13708,Tail: 98 mm;  Hind foot: 48 mm
CMNMA 13709,Tail: 123 mm;  Hind foot: 48 mm
CMNMA 13718,Tail: 111 mm;  Hind foot: 49.5 mm
CMNMA 13720,Tail: 108 mm;  Hind foot: 49 mm
CMNMA 13721,Tail: 122 mm;  Hind foot: 52 mm
CMNMA 13738,Tail: 112 mm;  Hind foot: 27 mm
CMNMA 13740,Tail: 124 mm;  Hind foot: 46.5 mm
CMNMA 13747,Tail: 124 mm;  Hind foot: 46.5 mm
CMNMA 13749,Tail: 121 mm;  Hind foot: 50.25 mm
CMNMA 13753,Tail: 124 mm;  Hind foot: 84.5 mm
CMNMA 13755,Tail: 119 mm
CMNMA 13760,Tail: 124 mm;  Hind foot: 45 mm
CMNMA 13762,Tail: 115 mm;  Hind foot: 47 mm
CMNMA 13771,Tail: 118 mm;  Hind foot: 44 mm
CMNMA 13777,Tail: 121 mm;  Hind foot: 44 mm
CMNMA 13778,Tail: 112 mm;  Hind foot: 45 mm
CMNMA 13844,Tail: 128 mm;  Hind foot: 50 mm
CMNMA 13867,Tail: 120 mm;  Hind foot: 48 mm
CMNMA 13880,Tail: 120 mm;  Hind foot: 47 mm
CMNMA 13883,Tail: 112 mm;  Hind foot: 46 mm
CMNMA 13891,Tail: 111 mm;  Hind foot: 47 mm
CMNMA 13892,Tail: 122 mm;  Hind foot: 47 mm
CMNMA 13893,Tail: 119 mm;  Hind foot: 51 mm
CMNMA 13901,Tail: 110 mm;  Hind foot: 45 mm
CMNMA 13905,Tail: 116 mm;  Hind foot: 45 mm
CMNMA 13982,Tail: 102 mm;  Hind foot: 48 mm
CMNMA 13999,Tail: 120 mm;  Hind foot: 48 mm
CMNMA 14020,Tail: 131 mm;  Hind foot: 47 mm
CMNMA 14022,Tail: 90 mm;  Hind foot: 45 mm
CMNMA 14037,Tail: 130 mm;  Hind foot: 39 mm
CMNMA 14039,Tail: 129 mm;  Hind foot: 48.5 mm
CMNMA 14090,Tail: 105 mm;  Hind foot: 46 mm
CMNMA 14091,Tail: 130 mm;  Hind foot: 48 mm
CMNMA 14098,Tail: 112 mm;  Hind foot: 43 mm
CMNMA 14138,Tail: 113 mm;  Hind foot: 52 mm
CMNMA 14148,Tail: 113 mm;  Hind foot: 49 mm
CMNMA 14149,Tail: 118 mm;  Hind foot: 49 mm
CMNMA 14191,Tail: 121 mm;  Hind foot: 50 mm
CMNMA 14232,Tail: 118 mm;  Hind foot: 49 mm
CMNMA 14234,Tail: 90 mm;  Hind foot: 51 mm
CMNMA 14235,Tail: 118 mm;  Hind foot: 50 mm
CMNMA 14252,Tail: 122 mm;  Hind foot: 51 mm
CMNMA 14255,Tail: 117 mm;  Hind foot: 50 mm
CMNMA 14260,Tail: 129 mm;  Hind foot: 52 mm
CMNMA 14264,Tail: 126 mm;  Hind foot: 52 mm
CMNMA 14279,Tail: 103 mm;  Hind foot: 50 mm
CMNMA 14283,Tail: 110 mm;  Hind foot: 49 mm
CMNMA 14284,Tail: 124 mm;  Hind foot: 50 mm
CMNMA 14287,Tail: 121 mm;  Hind foot: 50 mm
CMNMA 14292,Tail: 127 mm;  Hind foot: 50 mm
CMNMA 14362,Tail: 120 mm;  Hind foot: 48 mm
CMNMA 14364,Tail: 124 mm;  Hind foot: 50 mm
CMNMA 14370,Tail: 108 mm;  Hind foot: 48.5 mm
CMNMA 14371,Tail: 93 mm;  Hind foot: 50.5 mm
CMNMA 14374,Tail: 119 mm;  Hind foot: 47.5 mm
CMNMA 14375,Tail: 121 mm;  Hind foot: 45 mm
CMNMA 14402,Tail: 124.5 mm;  Hind foot: 50 mm
CMNMA 14432,Tail: 122 mm;  Hind foot: 47 mm
CMNMA 14436,Tail: 127 mm;  Hind foot: 50 mm
CMNMA 14472,Tail: 124 mm;  Hind foot: 49 mm
CMNMA 14474,Tail: 124 mm;  Hind foot: 49 mm
CMNMA 14479,Tail: 129 mm;  Hind foot: 49 mm
CMNMA 14493,Tail: 122 mm;  Hind foot: 49 mm
CMNMA 14501,Tail: 105 mm;  Hind foot: 49 mm
CMNMA 14502,Tail: 120 mm;  Hind foot: 49 mm
CMNMA 14503,Tail: 125 mm;  Hind foot: 50 mm
CMNMA 14505,Tail: 117 mm;  Hind foot: 50 mm
CMNMA 14507,Tail: 120 mm;  Hind foot: 49 mm
CMNMA 14508,Tail: 120 mm;  Hind foot: 50 mm
CMNMA 14510,Tail: 111 mm;  Hind foot: 49 mm
CMNMA 14515,Tail: 133 mm;  Hind foot: 50.5 mm
CMNMA 14525,Tail: 126 mm;  Hind foot: 46.5 mm;  Other meas: Crown-rump: 5 mm
CMNMA 14528,Tail: 101 mm;  Hind foot: 43 mm
CMNMA 14562,Tail: 122 mm;  Hind foot: 46 mm
CMNMA 14569,Tail: 118 mm;  Hind foot: 46 mm
CMNMA 14570,Tail: 125 mm;  Hind foot: 48.5 mm
CMNMA 14571,Tail: 89 mm;  Hind foot: 48.5 mm
CMNMA 14574,Tail: 105 mm;  Hind foot: 43 mm
CMNMA 14577,Tail: 129 mm;  Hind foot: 50 mm
CMNMA 14578,Tail: 130 mm;  Hind foot: 51 mm
CMNMA 14586,Tail: 125 mm;  Hind foot: 48 mm
CMNMA 14587,Tail: 123 mm;  Hind foot: 47 mm
CMNMA 14600,Tail: 128 mm;  Hind foot: 49 mm
CMNMA 14611,Tail: 122 mm;  Hind foot: 48 mm
CMNMA 14616,Tail: 126 mm;  Hind foot: 48 mm
CMNMA 14617,Tail: 118 mm;  Hind foot: 48 mm
CMNMA 14618,Tail: 122 mm;  Hind foot: 47 mm
CMNMA 14620,Tail: 126 mm;  Hind foot: 49 mm
CMNMA 14626,Tail: 122 mm;  Hind foot: 48 mm
CMNMA 14646,Tail: 133 mm;  Hind foot: 49 mm
CMNMA 14651,Tail: 121 mm;  Hind foot: 48.5 mm
CMNMA 14657,Tail: 124 mm;  Hind foot: 48 mm
CMNMA 14660,Tail: 123 mm;  Hind foot: 48 mm
CMNMA 14722,Tail: 126 mm;  Hind foot: 47 mm
CMNMA 14753,Tail: 128 mm;  Hind foot: 47 mm
CMNMA 14760,Tail: 121 mm;  Hind foot: 48 mm
CMNMA 14767,Tail: 120 mm;  Hind foot: 47 mm
CMNMA 14770,Tail: 124 mm;  Hind foot: 46 mm
CMNMA 14817,Tail: 124 mm;  Hind foot: 49 mm
CMNMA 14821,Tail: 137 mm;  Hind foot: 50 mm
CMNMA 14898,Tail: 97 mm;  Hind foot: 50 mm
CMNMA 14979,Tail: 117 mm;  Hind foot: 45 mm
CMNMA 15006,Tail: 122 mm;  Hind foot: 48 mm
CMNMA 15011,Tail: 205 mm;  Hind foot: 46 mm
CMNMA 15033,Tail: 120 mm;  Hind foot: 46 mm
CMNMA 15037,Tail: 70 mm;  Hind foot: 48 mm
CMNMA 15046,Tail: 124 mm;  Hind foot: 48 mm
CMNMA 15047,Tail: 120 mm;  Hind foot: 48 mm
CMNMA 15048,Tail: 102 mm;  Hind foot: 50 mm
CMNMA 15049,Tail: 93 mm;  Hind foot: 51 mm
CMNMA 15067,Tail: 119 mm;  Hind foot: 50 mm
CMNMA 15077,Tail: 122 mm;  Hind foot: 50 mm;  Testes len: 30;  Testes wid: 30
CMNMA 15088,Tail: 125 mm;  Hind foot: 50 mm
CMNMA 15089,Tail: 117 mm;  Hind foot: 49 mm
CMNMA 15097,Tail: 119 mm;  Hind foot: 50 mm;  Other meas: length of foetuses: 20 mm
CMNMA 15099,Tail: 120 mm;  Hind foot: 50 mm
CMNMA 15100,Tail: 123 mm;  Hind foot: 48 mm;  Other meas: length of foetuses: 20 mm
CMNMA 15102,Tail: 108 mm;  Hind foot: 46 mm
CMNMA 15109,Tail: 121 mm;  Hind foot: 50 mm
CMNMA 15117,Tail: 100 mm;  Hind foot: 50 mm
CMNMA 15123,Tail: 120 mm;  Hind foot: 50 mm
CMNMA 15124,Tail: 111 mm;  Hind foot: 48 mm
CMNMA 15126,Tail: 118 mm;  Hind foot: 48 mm
CMNMA 15127,Tail: 117 mm;  Hind foot: 50 mm
CMNMA 15128,Tail: 114 mm;  Hind foot: 50 mm
CMNMA 15133,Tail: 118 mm;  Hind foot: 48 mm
CMNMA 15140,Tail: 113 mm;  Hind foot: 48 mm
