ID Number,xx speckey,xx Scientific Name
CMNPYM08703,1136228,xxDiospyros ferrea
CMNPYM00455,1136233,xxDiospyros virginiana
CMNPYM04209,1136892,xxAbutilon glabriflorum
CMNPYM04210,1136893,xxAbutilon hulseanum
CMNPYM04212,1136895,xxAbutilon incanum
CMNPYM07619,1136896,xxAbutilon indicum
CMNPYM04213,1136897,xxAbutilon malacum
CMNPYM03102,1136901,xxAbutilon permolle
CMNPYM04195,1136901,xxAbutilon permolle
CMNPYM00539,1131849,xxSisyrinchium montanum
CMNPYM08654,1132559,xxSolidago altissima
CMNPYM06635,1133474,xxCentaurium spicatum
CMNPYM01597,1136598,xxVaccinium angustifolium
CMNPYM01668,1132169,xxHeteranthera limosa
CMNPYM08760,1137864,xxCarica papaya
CMNPYM02072,1137864,xxCarica papaya
CMNPYM03489,1137864,xxCarica papaya
CMNPYM09660,1137864,xxCarica papaya
CMNPYM00338,1135537,xxCerastium arcticum
CMNPYM00013,1132539,xxGymnosperma glutinosum
CMNPYM00018,1132547,xxHaplopappus venetus
CMNPYM00570,1132176,xxPontederia cordata
CMNPYM10412,1132176,xxPontederia cordata
CMNPYM11485,1132892,xxCichorium intybus
CMNPYM01512,1132892,xxCichorium intybus
CMNPYM02893,1132892,xxCichorium intybus
CMNPYM08809,1132892,xxCichorium intybus
CMNPYM00788,1132896,xxHieracium aurantiacum
CMNPYM00841,1132898,xxHieracium pilosella
CMNPYM00517,1132865,xxTussilago farfara
CMNPYM11745,1133805,xxCallitriche stagnalis
CMNPYM00578,1133816,xxAgastache foeniculum
CMNPYM03350,1133816,xxAgastache foeniculum
CMNPYM00294,1135525,xxArenaria humifusa
CMNPYM12028,1132872,xxElephantopus carolinianus
CMNPYM11493,1132576,xxArctium minus
CMNPYM00939,1132576,xxArctium minus
CMNPYM08803,1132578,xxCarduus crispus
CMNPYM08804,1132579,xxCarduus nutans
CMNPYM11627,1132582,xxCentaurea diffusa
CMNPYM08800,1132592,xxBrickellia californica
CMNPYM08801,1132593,xxBrickellia grandiflora
CMNPYM08822,1132595,xxEupatorium album
CMNPYM08823,1132596,xxEupatorium purpureum
CMNPYM00937,1137654,xxHypericum perforatum
CMNPYM00793,1137654,xxHypericum perforatum
CMNPYM02889,1132305,xxCypripedium candidum
CMNPYM03932,1135570,xxMinuartia arctica
CMNPYM03939,1135578,xxSagina procumbens
CMNPYM02699,1133303,xxRhabdadenia biflora
CMNPYM09473,1133303,xxRhabdadenia biflora
CMNPYM01540,1134048,xxMenyanthes trifoliata
CMNPYM10945,1134048,xxMenyanthes trifoliata
CMNPYM04690,1134050,xxNymphoides aquatica
CMNPYM04691,1134051,xxNymphoides cordata
CMNPYM04694,1134055,xxNymphoides indica
CMNPYM09478,1134055,xxNymphoides indica
CMNPYM00925,1132905,xxSonchus arvensis
CMNPYM08658,1132909,xxTaraxacum officinale
CMNPYM00765,1132909,xxTaraxacum officinale
CMNPYM12934,1133846,xxLamium amplexicaule
CMNPYM00581,1133856,xxLycopus uniflorus
CMNPYM00100,1132614,xxAmblyolepis setigera
CMNPYM08779,1132618,xxAmbrosia bidentata
CMNPYM11624,1132618,xxAmbrosia bidentata
CMNPYM08784,1132620,xxAmbrosia hispida
CMNPYM08783,1132621,xxAmbrosia trifida
CMNPYM00098,1132627,xxBahia absinthifolia
CMNPYM00099,1132628,xxBahia bigelovii
CMNPYM00095,1132629,xxBahia biternata
CMNPYM00096,1132630,xxBahia dissecta
CMNPYM08797,1132630,xxBahia dissecta
CMNPYM00091,1132633,xxBaileya multiradiata
CMNPYM00092,1132634,xxBaileya pleniradiata
CMNPYM08798,1132636,xxBidens cernua
CMNPYM09114,1132637,xxBidens pilosa
CMNPYM00052,1132640,xxChrysactinia mexicana
CMNPYM03380,1132289,xxCalypso bulbosa
CMNPYM00447,1132302,xxCypripedium acaule
CMNPYM00783,1132302,xxCypripedium acaule
CMNPYM09314,1131565,xxBrodiaea californica
CMNPYM00330,1131566,xxBrodiaea coronaria
CMNPYM09572,1133369,xxCynanchum cubense
CMNPYM11230,1134025,xxCuscuta europaea
CMNPYM00026,1132660,xxDyssodia papposa
CMNPYM09239,1131246,xxPhleum alpinum
CMNPYM11408,1131247,xxPhleum pratense
CMNPYM11403,1131247,xxPhleum pratense
CMNPYM11458,1131247,xxPhleum pratense
CMNPYM01559,1131250,xxPoa annua
CMNPYM05291,1131253,xxPoa pratensis
