speckey,Scientific Name,Parent,Level Name,Author/Date
1132582,xxCentaurea diffusa,1132580,SPECIES,Lam.
1132592,xxBrickellia californica,1132591,SPECIES,
1132593,xxBrickellia grandiflora,1132591,SPECIES,
1132595,xxEupatorium album,1105843,SPECIES,
1132596,xxEupatorium purpureum,1105843,SPECIES,L.
1132305,xxCypripedium candidum,1132301,SPECIES,Muhl.
1135570,xxMinuartia arctica,1135569,SPECIES,
1135578,xxSagina procumbens,1135577,SPECIES,
1133303,xxRhabdadenia biflora,1133302,SPECIES,
1134048,xxMenyanthes trifoliata,1134047,SPECIES,L.
1134050,xxNymphoides aquatica,1134049,SPECIES,
1134051,xxNymphoides cordata,1134049,SPECIES,
1134055,xxNymphoides indica,1134049,SPECIES,
1132905,xxSonchus arvensis,1132904,SPECIES,L.
1132909,xxTaraxacum officinale,1132906,SPECIES,Weber
1133846,xxLamium amplexicaule,1133845,SPECIES,L.
1133856,xxLycopus uniflorus,1133853,SPECIES,Michaux
1132614,xxAmblyolepis setigera,1132613,SPECIES,DC.
1132618,xxAmbrosia bidentata,1103824,SPECIES,Michaux
1132620,xxAmbrosia hispida,1103824,SPECIES,
1132621,xxAmbrosia trifida,1103824,SPECIES,
1132627,xxBahia absinthifolia,1132626,SPECIES,Bentham
1132628,xxBahia bigelovii,1132626,SPECIES,Gray
1132629,xxBahia biternata,1132626,SPECIES,Gray
1132630,xxBahia dissecta,1132626,SPECIES,Britt.
1132633,xxBaileya multiradiata,1132632,SPECIES,Harv. & Gray
1132634,xxBaileya pleniradiata,1132632,SPECIES,Harv. & Gray ex Gray
1132636,xxBidens cernua,1132635,SPECIES,
1132637,xxBidens pilosa,1132635,SPECIES,
1132640,xxChrysactinia mexicana,1132639,SPECIES,Gray
1132289,xxCalypso bulbosa,1132288,SPECIES,(L.) Rehb. f.
1132302,xxCypripedium acaule,1132301,SPECIES,Aiton
1131565,xxBrodiaea californica,1131564,SPECIES,Lindl.
1131566,xxBrodiaea coronaria,1131564,SPECIES,Jepson
1133369,xxCynanchum cubense,1133366,SPECIES,
1134025,xxCuscuta europaea,1097542,SPECIES,L.
1132660,xxDyssodia papposa,1132653,SPECIES,(Lag.) Hitch.
1131246,xxPhleum alpinum,1131245,SPECIES,
1131247,xxPhleum pratense,1131245,SPECIES,L.
1131250,xxPoa annua,1112610,SPECIES,L.
1131253,xxPoa pratensis,1112610,SPECIES,
1132413,xxSpiranthes cinnabarina,1132411,SPECIES,
1132414,xxSpiranthes costaricensis,1132411,SPECIES,
1132418,xxSpiranthes michuacana,1132411,SPECIES,
1132419,xxSpiranthes ochroleuca,1132411,SPECIES,
1132420,xxSpiranthes praecox,1132411,SPECIES,
1132059,xxLloydia serotina,1132058,SPECIES,(L.) Reichb.
1132063,xxMaianthemum canadense,1132062,SPECIES,Desf.
1132951,xxLobelia dortmanna,1102670,SPECIES,L.
1132952,xxLobelia inflata,1102670,SPECIES,L.
1132954,xxLobelia puberula,1102670,SPECIES,
