ID Number,id,mkey,part_measured,measurement_type,imperial,dimension1,unit1,dimension2,unit2,dimension3,unit3,dimension4,unit4,weight1,wunit1,weight2,wunit2,cdimension1,cunit1,cdimension2,cunit2,cdimension3,cunit3,cdimension4,cunit4,cweight1,cwunit1,cweight2,cwunit2,display,note,prior_attribution
LcLh-0023:000005,42789,738093,,weight,false,,,,,,,,,2.1,g,,,,,,,,,,,0.07408,oz,,,"2,1 g",,false,,,,,,,
LcLh-0023:000006,42790,738094,,weight,false,,,,,,,,,1.2,g,,,,,,,,,,,0.04233,oz,,,"1,2 g",,false,,,,,,,
LcLh-0023:000008,42792,738096,,weight,false,,,,,,,,,1.2,g,,,,,,,,,,,0.04233,oz,,,"1,2 g",,false,,,,,,,
LcLh-0023:000007,42793,738095,,weight,false,,,,,,,,,5.5,g,,,,,,,,,,,0.19401,oz,,,"5,5 g",,false,,,,,,,
LcLh-0023:000009,42794,738097,Length x Width x Thickness x Weight,,false,56.88,cm,36.2,cm,14.82,cm,,,30.2,g,,,"22,3937",in,"14,25197",in,"5,83465",in,,,1.06528,oz,,,Length x Width x Thickness x Weight: 56.88 cm x 36.2 cm x 14.82 cm x 30.2 g,,false,,,,,,,
LcLh-0023:000010,42795,738098,,weight,false,,,,,,,,,13.0,g,,,,,,,,,,,0.45856,oz,,,13 g,,false,,,,,,,
LcLh-0023:000011,42796,738099,,weight,false,,,,,,,,,15.7,g,,,,,,,,,,,0.5538,oz,,,"15,7 g",,false,,,,,,,
LcLh-0023:000012,42797,738100,,weight,false,,,,,,,,,13.3,g,,,,,,,,,,,0.46915,oz,,,"13,3 g",,false,,,,,,,
LcLh-0023:000013,42798,738101,,weight,false,,,,,,,,,10.4,g,,,,,,,,,,,0.36685,oz,,,"10,4 g",,false,,,,,,,
LcLh-0023:000014,42799,738102,,weight,false,,,,,,,,,3.1,g,,,,,,,,,,,0.10935,oz,,,"3,1 g",,false,,,,,,,
LcLh-0023:000015,42800,738104,,weight,false,,,,,,,,,17.8,g,,,,,,,,,,,0.62788,oz,,,"17,8 g",,false,,,,,,,
LcLh-0023:000016,42801,738105,,weight,false,,,,,,,,,3.9,g,,,,,,,,,,,0.13757,oz,,,"3,9 g",,false,,,,,,,
LcLh-0023:000017,42802,738106,,weight,false,,,,,,,,,0.5,g,,,,,,,,,,,0.01764,oz,,,",5 g",,false,,,,,,,
LcLh-0023:000019,42804,738108,,weight,false,,,,,,,,,1.6,g,,,,,,,,,,,0.05644,oz,,,"1,6 g",,false,,,,,,,
LcLh-0023:000018,42805,738107,,weight,false,,,,,,,,,2.0,g,,,,,,,,,,,0.07055,oz,,,2 g,,false,,,,,,,
LcLh-0023:000020,42806,738109,,weight,false,,,,,,,,,0.9,g,,,,,,,,,,,0.03175,oz,,,",9 g",,false,,,,,,,
LcLh-0023:000021,42807,738110,,weight,false,,,,,,,,,266.8,g,,,,,,,,,,,9.41114,oz,,,"266,8 g",,false,,,,,,,
LcLh-0023:000022,42808,738111,,weight,false,,,,,,,,,22.7,g,,,,,,,,,,,0.80072,oz,,,"22,7 g",,false,,,,,,,
LcLh-0023:000023,42809,738112,,weight,false,,,,,,,,,10.9,g,,,,,,,,,,,0.38449,oz,,,"10,9 g",,false,,,,,,,
LcLh-0023:000024,42810,738113,,weight,false,,,,,,,,,7.5,g,,,,,,,,,,,0.26456,oz,,,"7,5 g",,false,,,,,,,
LcLh-0023:000025,42813,738291,,weight,false,,,,,,,,,0.9,g,,,,,,,,,,,0.03175,oz,,,",9 g",,false,,,,,,,
LcLh-0023:000026,42814,738292,,weight,false,,,,,,,,,18.8,g,,,,,,,,,,,0.66315,oz,,,"18,8 g",,false,,,,,,,
LcLh-0023:000027,42815,738293,,weight,false,,,,,,,,,2.1,g,,,,,,,,,,,0.07408,oz,,,"2,1 g",,false,,,,,,,
LcLh-0023:000028,42816,738294,,weight,false,,,,,,,,,6.3,g,,,,,,,,,,,0.22223,oz,,,"6,3 g",,false,,,,,,,
LcLh-0023:000029,42817,738295,,weight,false,,,,,,,,,8.5,g,,,,,,,,,,,0.29983,oz,,,"8,5 g",,false,,,,,,,
LcLh-0023:000030,42818,738296,,weight,false,,,,,,,,,1.1,g,,,,,,,,,,,0.0388,oz,,,"1,1 g",,false,,,,,,,
LcLh-0023:000031,42819,738297,,weight,false,,,,,,,,,2.8,g,,,,,,,,,,,0.09877,oz,,,"2,8 g",,false,,,,,,,
LcLh-0023:000032,42820,738298,,weight,false,,,,,,,,,95.2,g,,,,,,,,,,,3.3581,oz,,,"95,2 g",,false,,,,,,,
LcLh-0023:000033,42821,738299,,weight,false,,,,,,,,,27.0,g,,,,,,,,,,,0.9524,oz,,,27 g,,false,,,,,,,
LcLh-0023:000034,42822,738300,,weight,false,,,,,,,,,8.6,g,,,,,,,,,,,0.30336,oz,,,"8,6 g",,false,,,,,,,
LcLh-0023:000035,42823,738301,,weight,false,,,,,,,,,7.5,g,,,,,,,,,,,0.26456,oz,,,"7,5 g",,false,,,,,,,
LcLh-0023:000036,42824,738302,,weight,false,,,,,,,,,20.4,g,,,,,,,,,,,0.71959,oz,,,"20,4 g",,false,,,,,,,
LcLh-0023:000037,42825,738303,,weight,false,,,,,,,,,8.5,g,,,,,,,,,,,0.29983,oz,,,"8,5 g",,false,,,,,,,
LcLh-0023:000038,42826,738304,,weight,false,,,,,,,,,2.6,g,,,,,,,,,,,0.09171,oz,,,"2,6 g",,false,,,,,,,
LcLh-0023:000040,42828,738306,,weight,false,,,,,,,,,4.3,g,,,,,,,,,,,0.15168,oz,,,"4,3 g",,false,,,,,,,
LcLh-0023:000041,42829,738307,,weight,false,,,,,,,,,20.9,g,,,,,,,,,,,0.73723,oz,,,"20,9 g",,false,,,,,,,
LcLh-0023:000042,42830,738308,,weight,false,,,,,,,,,1.6,g,,,,,,,,,,,0.05644,oz,,,"1,6 g",,false,,,,,,,
LcLh-0023:000043,42831,738309,,weight,false,,,,,,,,,1.2,g,,,,,,,,,,,0.04233,oz,,,"1,2 g",,false,,,,,,,
LcLh-0023:000044,42832,738310,,weight,false,,,,,,,,,2.4,g,,,,,,,,,,,0.08466,oz,,,"2,4 g",,false,,,,,,,
LcLh-0023:000045,42833,738311,,weight,false,,,,,,,,,4.7,g,,,,,,,,,,,0.16579,oz,,,"4,7 g",,false,,,,,,,
LcLh-0023:000046,42834,738312,,weight,false,,,,,,,,,11.3,g,,,,,,,,,,,0.3986,oz,,,"11,3 g",,false,,,,,,,
LcLh-0023:000047,42835,738313,,weight,false,,,,,,,,,3.3,g,,,,,,,,,,,0.1164,oz,,,"3,3 g",,false,,,,,,,
LcLh-0023:000049,42837,738315,,weight,false,,,,,,,,,0.7,g,,,,,,,,,,,0.02469,oz,,,",7 g",,false,,,,,,,
LcLh-0023:000050,42838,738316,,weight,false,,,,,,,,,6.1,g,,,,,,,,,,,0.21517,oz,,,"6,1 g",,false,,,,,,,
LcLh-0023:000051,42839,738317,,weight,false,,,,,,,,,7.0,g,,,,,,,,,,,0.24692,oz,,,7 g,,false,,,,,,,
LcLh-0023:000052,42840,738318,,weight,false,,,,,,,,,0.7,g,,,,,,,,,,,0.02469,oz,,,",7 g",,false,,,,,,,
LcLh-0023:000053,42841,738319,,weight,false,,,,,,,,,0.2,g,,,,,,,,,,,0.00705,oz,,,",2 g",,false,,,,,,,
LcLh-0023:000054,42842,738329,,weight,false,,,,,,,,,2.9,g,,,,,,,,,,,0.1023,oz,,,"2,9 g",,false,,,,,,,
LcLh-0023:000048,42844,738314,,weight,false,,,,,,,,,8.5,g,,,,,,,,,,,0.29983,oz,,,"8,5 g",,false,,,,,,,
LcLh-0023:000055,42845,738322,,weight,false,,,,,,,,,6.6,g,,,,,,,,,,,0.23281,oz,,,"6,6 g",,false,,,,,,,
LcLh-0023:000056,42846,738324,,weight,false,,,,,,,,,273.7,g,,,,,,,,,,,9.65453,oz,,,"273,7 g",,false,,,,,,,
LcLh-0023:000057,42847,738367,,weight,false,,,,,,,,,134.8,g,,,,,,,,,,,4.75495,oz,,,"134,8 g",,false,,,,,,,
LcLh-0023:000058,42848,738546,,weight,false,,,,,,,,,31.5,g,,,,,,,,,,,1.11114,oz,,,"31,5 g",,false,,,,,,,
LcLh-0023:000059,42849,738547,,weight,false,,,,,,,,,24.5,g,,,,,,,,,,,0.86422,oz,,,"24,5 g",,false,,,,,,,
LcLh-0023:000060,42850,738548,,weight,false,,,,,,,,,66.7,g,,,,,,,,,,,2.35279,oz,,,"66,7 g",,false,,,,,,,
LcLh-0023:000061,42851,738549,,weight,false,,,,,,,,,6.0,g,,,,,,,,,,,0.21164,oz,,,6 g,,false,,,,,,,
LcLh-0023:000062,42852,738550,,weight,false,,,,,,,,,46.5,g,,,,,,,,,,,1.64025,oz,,,"46,5 g",,false,,,,,,,
LcLh-0023:000063,42853,738551,,weight,false,,,,,,,,,49.3,g,,,,,,,,,,,1.73902,oz,,,"49,3 g",,false,,,,,,,
LcLh-0023:000064,42854,738552,,weight,false,,,,,,,,,12.9,g,,,,,,,,,,,0.45504,oz,,,"12,9 g",,false,,,,,,,
LcLh-0023:000065,42855,738553,,weight,false,,,,,,,,,51.5,g,,,,,,,,,,,1.81662,oz,,,"51,5 g",,false,,,,,,,
LcLh-0023:000066,42856,738554,,weight,false,,,,,,,,,17.3,g,,,,,,,,,,,0.61024,oz,,,"17,3 g",,false,,,,,,,
LcLh-0023:000067,42857,738555,,weight,false,,,,,,,,,18.4,g,,,,,,,,,,,0.64904,oz,,,"18,4 g",,false,,,,,,,
LcLh-0023:000068,42858,738556,,weight,false,,,,,,,,,75.8,g,,,,,,,,,,,2.67378,oz,,,"75,8 g",,false,,,,,,,
LcLh-0023:000069,42859,738558,,weight,false,,,,,,,,,36.1,g,,,,,,,,,,,1.2734,oz,,,"36,1 g",,false,,,,,,,
LcLh-0023:000071,42861,738560,,weight,false,,,,,,,,,16.4,g,,,,,,,,,,,0.5785,oz,,,"16,4 g",,false,,,,,,,
LcLh-0023:000072,42862,738561,,weight,false,,,,,,,,,44.5,g,,,,,,,,,,,1.5697,oz,,,"44,5 g",,false,,,,,,,
LcLh-0023:000073,42863,738562,,weight,false,,,,,,,,,119.6,g,,,,,,,,,,,4.21879,oz,,,"119,6 g",,false,,,,,,,
LcLh-0023:000074,42864,738563,,weight,false,,,,,,,,,24.3,g,,,,,,,,,,,0.85716,oz,,,"24,3 g",,false,,,,,,,
LcLh-0023:000075,42865,738565,,weight,false,,,,,,,,,17.7,g,,,,,,,,,,,0.62435,oz,,,"17,7 g",,false,,,,,,,
LcLh-0023:000076,42866,738566,,weight,false,,,,,,,,,54.0,g,,,,,,,,,,,1.9048,oz,,,54 g,,false,,,,,,,
LcLh-0023:000077,42867,738567,,weight,false,,,,,,,,,48.1,g,,,,,,,,,,,1.69669,oz,,,"48,1 g",,false,,,,,,,
LcLh-0023:000078,42868,738568,,weight,false,,,,,,,,,111.0,g,,,,,,,,,,,3.91543,oz,,,111 g,,false,,,,,,,
LcLh-0023:000079,42869,738569,,weight,false,,,,,,,,,9.2,g,,,,,,,,,,,0.32452,oz,,,"9,2 g",,false,,,,,,,
LcLh-0023:000080,42870,738570,,weight,false,,,,,,,,,8.9,g,,,,,,,,,,,0.31394,oz,,,"8,9 g",,false,,,,,,,
LcLh-0023:000081,42871,738571,,weight,false,,,,,,,,,22.7,g,,,,,,,,,,,0.80072,oz,,,"22,7 g",,false,,,,,,,
LcLh-0023:000082,42872,738575,,weight,false,,,,,,,,,12.7,g,,,,,,,,,,,0.44798,oz,,,"12,7 g",,false,,,,,,,
LcLh-0023:000070,42873,738559,,weight,false,,,,,,,,,26.0,g,,,,,,,,,,,0.91713,oz,,,26 g,,false,,,,,,,
LcLh-0023:000039,42874,738305,,weight,false,,,,,,,,,6.4,g,,,,,,,,,,,0.22575,oz,,,"6,4 g",,false,,,,,,,
LcLh-0023:000083,42875,738648,,weight,false,,,,,,,,,154.9,g,,,,,,,,,,,5.46397,oz,,,"154,9 g",,false,,,,,,,
LcLh-0023:000084,42876,739177,,weight,false,,,,,,,,,3.9,g,,,,,,,,,,,0.13757,oz,,,"3,9 g",,false,,,,,,,
LcLh-0023:000085,42877,739178,,weight,false,,,,,,,,,2.9,g,,,,,,,,,,,0.1023,oz,,,"2,9 g",,false,,,,,,,
LcLh-0023:000086,42878,739179,,weight,false,,,,,,,,,7.9,g,,,,,,,,,,,0.27867,oz,,,"7,9 g",,false,,,,,,,
LcLh-0023:000087,42879,739180,,weight,false,,,,,,,,,9.9,g,,,,,,,,,,,0.34921,oz,,,"9,9 g",,false,,,,,,,
LcLh-0023:000088,42880,739181,,weight,false,,,,,,,,,38.4,g,,,,,,,,,,,1.35453,oz,,,"38,4 g",,false,,,,,,,
LcLh-0023:000089,42881,739182,,weight,false,,,,,,,,,445.5,g,,,,,,,,,,,15.71463,oz,,,"445,5 g",,false,,,,,,,
LcLh-0023:000090,42882,739183,,weight,false,,,,,,,,,135.1,g,,,,,,,,,,,4.76554,oz,,,"135,1 g",,false,,,,,,,
LcLh-0023:000091,42883,739184,,weight,false,,,,,,,,,85.2,g,,,,,,,,,,,3.00536,oz,,,"85,2 g",,false,,,,,,,
LcLh-0023:000092,42884,739185,,weight,false,,,,,,,,,360.8,g,,,,,,,,,,,12.72691,oz,,,"360,8 g",,false,,,,,,,
LcLh-0023:000095,42887,739188,,weight,false,,,,,,,,,78.1,g,,,,,,,,,,,2.75491,oz,,,"78,1 g",,false,,,,,,,
LcLh-0023:000096,42888,739189,,weight,false,,,,,,,,,11.7,g,,,,,,,,,,,0.41271,oz,,,"11,7 g",,false,,,,,,,
LcLh-0023:000097,42889,739190,,weight,false,,,,,,,,,128.8,g,,,,,,,,,,,4.54331,oz,,,"128,8 g",,false,,,,,,,
LcLh-0023:000098,42890,739191,,weight,false,,,,,,,,,45.2,g,,,,,,,,,,,1.59439,oz,,,"45,2 g",,false,,,,,,,
LcLh-0023:000099,42891,739192,,weight,false,,,,,,,,,11.0,g,,,,,,,,,,,0.38802,oz,,,11 g,,false,,,,,,,
LcLh-0023:000100,42892,739193,,weight,false,,,,,,,,,71.1,g,,,,,,,,,,,2.50799,oz,,,"71,1 g",,false,,,,,,,
LcLh-0023:000101,42893,739194,,weight,false,,,,,,,,,18.6,g,,,,,,,,,,,0.6561,oz,,,"18,6 g",,false,,,,,,,
LcLh-0023:000102,42894,739195,,weight,false,,,,,,,,,81.3,g,,,,,,,,,,,2.86779,oz,,,"81,3 g",,false,,,,,,,
LcLh-0023:000103,42895,739196,,weight,false,,,,,,,,,20.4,g,,,,,,,,,,,0.71959,oz,,,"20,4 g",,false,,,,,,,
LcLh-0023:000104,42896,739197,,weight,false,,,,,,,,,35.4,g,,,,,,,,,,,1.2487,oz,,,"35,4 g",,false,,,,,,,
LcLh-0023:000105,42897,739198,,weight,false,,,,,,,,,42.4,g,,,,,,,,,,,1.49562,oz,,,"42,4 g",,false,,,,,,,
LcLh-0023:000106,42898,739199,,weight,false,,,,,,,,,7.0,g,,,,,,,,,,,0.24692,oz,,,7 g,,false,,,,,,,
LcLh-0023:000107,42899,739200,,weight,false,,,,,,,,,18.2,g,,,,,,,,,,,0.64199,oz,,,"18,2 g",,false,,,,,,,
LcLh-0023:000108,42900,739201,,weight,false,,,,,,,,,108.6,g,,,,,,,,,,,3.83077,oz,,,"108,6 g",,false,,,,,,,
LcLh-0023:000109,42901,739202,,weight,false,,,,,,,,,120.4,g,,,,,,,,,,,4.24701,oz,,,"120,4 g",,false,,,,,,,
LcLh-0023:000110,42902,739205,,weight,false,,,,,,,,,5.5,g,,,,,,,,,,,0.19401,oz,,,"5,5 g",,false,,,,,,,
LcLh-0023:000093,42903,739186,,weight,false,,,,,,,,,92.6,g,,,,,,,,,,,3.26639,oz,,,"92,6 g",,false,,,,,,,
LcLh-0023:000094,42904,739187,,weight,false,,,,,,,,,107.9,g,,,,,,,,,,,3.80608,oz,,,"107,9 g",,false,,,,,,,
LcLh-0023:000111,42906,739246,,weight,false,,,,,,,,,31.6,g,,,,,,,,,,,1.11466,oz,,,"31,6 g",,false,,,,,,,
LcLh-0023:000113,42907,739470,,weight,false,,,,,,,,,14.8,g,,,,,,,,,,,0.52206,oz,,,"14,8 g",,false,,,,,,,
LcLh-0023:000112,42908,739252,,weight,false,,,,,,,,,83.3,g,,,,,,,,,,,2.93834,oz,,,"83,3 g",,false,,,,,,,
LcLh-0023:000114,42909,739471,,weight,false,,,,,,,,,224.5,g,,,,,,,,,,,7.91905,oz,,,"224,5 g",,false,,,,,,,
LcLh-0023:000115,42910,739472,,weight,false,,,,,,,,,69.5,g,,,,,,,,,,,2.45155,oz,,,"69,5 g",,false,,,,,,,
LcLh-0023:000116,42911,739473,,weight,false,,,,,,,,,1.9,g,,,,,,,,,,,0.06702,oz,,,"1,9 g",,false,,,,,,,
LcLh-0023:000121,42912,739478,,weight,false,,,,,,,,,155.1,g,,,,,,,,,,,5.47102,oz,,,"155,1 g",,false,,,,,,,
LcLh-0023:000117,42913,739474,,weight,false,,,,,,,,,19.2,g,,,,,,,,,,,0.67726,oz,,,"19,2 g",,false,,,,,,,
LcLh-0023:000118,42914,739475,,weight,false,,,,,,,,,59.4,g,,,,,,,,,,,2.09528,oz,,,"59,4 g",,false,,,,,,,
