speckey,xxScientific Name,Taxonomic System
1135444,xxAmaranthus viridis,Botany
1137874,xxCistus sp.,Botany
1137875,xxHelianthemum,Botany
1135169,xxMenodora,Botany
1136546,xxGaylussacia,Botany
1136550,xxKalmia latifolia,Botany
1135763,xxTalinum,Botany
1135127,xxProboscidea,Botany
1136098,xxRorippa hispida,Botany
1136112,xxSmelowskia calycina var. americana,Botany
1136875,xxHuaceae,Botany
1137889,xxHudsonia,Botany
1136579,xxPhyllodoce coerulea,Botany
1136580,xxPhyllodoce empetriformis,Botany
1136588,xxRhododendron arborescens,Botany
1136589,xxRhododendron canadense,Botany
1136591,xxRhododendron lapponicum,Botany
1133484,xxChelonanthus iridiflorus,Botany
1137846,xxAchariaceae,Botany
1137849,xxAncistrocladaceae,Botany
1137854,xxBegonia,Botany
1137865,xxCarica sp.,Botany
1137893,xxLechea intermedia,Botany
1137894,xxLechea maritima,Botany
1137898,xxLechea racemulosa,Botany
1137902,xxCochlospermum vitifolium,Botany
1137906,xxAnguria,Botany
1137908,xxApodanthera,Botany
1137916,xxCayaponia racemosa,Botany
1135540,xxCerastium vulgatum,Botany
1132538,xxGymnosperma,Botany
1133285,xxPlumeria,Botany
1133287,xxPrestonia,Botany
1132891,xxCichorium,Botany
1132893,xxHedypnois,Botany
1132864,xxTussilago,Botany
1132899,xxLactuca,Botany
1133806,xxCallitriche verna,Botany
1135527,xxArenaria obtusiloba,Botany
1133612,xxLomatogonium carinthiacum var. stelleriana,Botany
1132573,xxAmberboa,Botany
1132575,xxArctium,Botany
1132577,xxCarduus,Botany
1132580,xxCentaurea,Botany
1132591,xxBrickellia,Botany
1132304,xxCypripedium calceolus var. parviflorum,Botany
1135297,xxMimulus glutinosum,Botany
1135299,xxMimulus lewisii,Botany
1135562,xxLychnis alba,Botany
1135564,xxLychnis drummondii,Botany
1135567,xxMelandrium apetalum,Botany
1135569,xxMinuartia,Botany
1135577,xxSagina,Botany
1134047,xxMenyanthes,Botany
1132904,xxSonchus,Botany
1132918,xxArtemisia sp.,Botany
1132920,xxChrysothamnus sp.,Botany
1132923,xxFacelis,Botany
1133845,xxLamium,Botany
1132611,xxAgarista,Botany
1132613,xxAmblyolepis,Botany
1132632,xxBaileya,Botany
