Collection,ID Number,Verbatim object name,Type,Taxonomy Name(s)
Crustacea,CMNC 1984-0330,Diacyclops bicuspidatus thomasi,scientific name,Diacyclops thomasi
Crustacea,CMNC 1984-0347,Acanthocylops (Megacyclops) latipes,scientific name,Megacyclops latipes
Bryophyte,CANM 288797,Pogonatum alpinum (Hedw.) Roehl. var. septentrionale (Brid.) Brid.,previous scientific name,Polytrichastrum alpinum var. alpinum
Bryophyte,CANM 174050,Drepanocladus fontinaliopsis var. flaccidus Allison,previous scientific name,Sphagnum falcatulum
Bryophyte,CANM 293785,Fontinalis prageri Warnst.,previous scientific name,Fontinalis dalecarlica subsp. prageri
Bryophyte,CANM 164723,Hookeria diatomophila C. M>ll.,previous scientific name,Schizomitrium diatomophilum
Bryophyte,CANM 266994,Hypnum bakeri Ren.,previous scientific name,Drepanocladus simplicissimus
Bryophyte,CANM 298814,Hypnum insigne Milde,previous scientific name,Tomenthypnum nitens var. insigne
Bryophyte,CANM 295593,Mnium serratum var. dioicum H. M>ll.,previous scientific name,Mnium ambiguum
Bryophyte,CANM 295595,Plagiothecium schimperi Jur. & Milde,previous scientific name,Pseudotaxiphyllum elegans var. schimperi
Bryophyte,CANM 294459,Polytrichum commune var. chalubinski Zmuda,previous scientific name,Polytrichum commune
Bryophyte,CANM 294439,Schistidium sphaericum var. carpaticum Zmuda,previous scientific name,Schistidium apocarpum var. carpaticum
Bryophyte,CANM 295600,Zygodon viridissimus var. saxicola Mol.,previous scientific name,Zygodon gracilis
Bryophyte,CANM 295598,Hypnum filicinum var. lacustre Lein. in Rabenh.,previous scientific name,Hymenostylium recurvirostre var. cataractarum
Bryophyte,CANM 111315,Elmeriobryum philippinense Broth.,previous scientific name,Gollania philippinense
Bryophyte,CANM 198238,Kindb.,,Oligotrichum hercynicum
Bryophyte,CANM 244743,Plagiothecium sylvaticum var. squarrosum Kindb. in Mac.,previous scientific name,Plagiothecium denticulatum
Bryophyte,CANM 4109,Jamesoniella myriocarpa Brinkm.,previous scientific name,Jamesoniella autumnalis var. myriocarpa
