mkey,descriptor,term,note
710918,substrate,n/a,on rocks on the mountain
710919,substrate,n/a,on boulder in woods
710920,substrate,n/a,on rock in woods
710921,substrate,n/a,on rock in woods
21091,substrate,n/a,On rocks in old river channel.
710923,substrate,n/a,on cliffs
710924,substrate,n/a,on earth
710925,substrate,n/a,on earth
710926,substrate,n/a,on earth on rocks
710928,substrate,n/a,rotten wood
710929,substrate,n/a,wet outcrop in forest
710930,substrate,n/a,"damp outcrop, seepage area"
710932,substrate,n/a,on stones & sand
710933,substrate,n/a,rotten wood
710934,substrate,n/a,on soil in clearing
17516,substrate,n/a,On bark of exposed root in swamp.
17503,substrate,n/a,On soil over rotten wood at edge of swampy woods.
26367,substrate,n/a,On decorticated deciduous log in deciduous woods.
25502,substrate,n/a,On stump.
26258,substrate,n/a,On sandy soil over rotten wood.
26305,substrate,n/a,On soil lip over limestone beside creek.
710935,substrate,n/a,on rotten log in wet area
710936,substrate,n/a,on small log in wet depression
710938,substrate,n/a,on limestone boulder
710939,substrate,n/a,thin humus over low dolomite block
710941,substrate,n/a,on base of Acer
710944,substrate,n/a,on rotten log
710945,substrate,n/a,on rock ledge
710946,substrate,n/a,on rotten wood on bank of rivulet
710948,substrate,n/a,on rotten log
710950,substrate,n/a,on old log
710951,substrate,n/a,on wet log
710952,substrate,n/a,on wet poplar log
710954,substrate,n/a,on rotten log in swamp
710955,substrate,n/a,on rotting log on river bankslope in shade
710956,substrate,n/a,on rotten branches in moss
710957,substrate,n/a,on the bases of trees
710958,substrate,n/a,on old logs
710961,substrate,n/a,on old logs in woods
710962,substrate,n/a,on old logs
710963,substrate,n/a,on rotten wood
710964,substrate,n/a,on damp humus by stream
710972,substrate,n/a,on wet soil beside streamlet
710974,substrate,n/a,in spring water
710975,substrate,n/a,on humus
710976,substrate,n/a,on logs
710977,substrate,n/a,rock pool
710978,substrate,n/a,submerged in streamlet
20551,substrate,n/a,On boulders in creek
710981,substrate,n/a,in moist ditch on mossy slop
710982,substrate,n/a,on wet rock in ditch
710984,substrate,n/a,deep niche near stream
710986,substrate,n/a,"wet area near stream, in muck"
710989,substrate,n/a,organic muck in swamp
710990,substrate,n/a,in water of swamp
710991,substrate,n/a,on stones in a brook by the sea
710992,substrate,n/a,in water pools in woods
710993,substrate,n/a,in water pools in woods
710994,substrate,n/a,on sticks in water
710995,substrate,n/a,on stones
710996,substrate,n/a,bed of brook
710997,substrate,n/a,on rocks in streams
710998,substrate,n/a,on logs in a swamp
710999,substrate,n/a,on stones in running water
711001,substrate,n/a,on stones in a brook
711002,substrate,n/a,on sticks
711003,substrate,n/a,on a ditch
711005,substrate,n/a,on stones in a brook
711008,substrate,n/a,on stones
711009,substrate,n/a,wet rocks
711010,substrate,n/a,"submerged, small stream crossing"
711011,substrate,n/a,rocky side of cañon in which rivulet ran
711012,substrate,n/a,on logs
711013,substrate,n/a,on stones in streams
711015,substrate,n/a,on stones in brooks
711016,substrate,n/a,on wet gravel in brook
711017,substrate,n/a,on very wet log in rocky stream
711018,substrate,n/a,very moist depression among roots of dead spruce at lake edge
711019,substrate,n/a,cold spring pool
711020,substrate,n/a,on moist ground
711022,substrate,n/a,in swampy pool
711023,substrate,n/a,on log and stones in shaded brook
711024,substrate,n/a,on stones in shaded brook
711025,substrate,n/a,on stones in shaded brook
711026,substrate,n/a,on stones
711028,substrate,n/a,"submerged in trickle, roadside"
711038,substrate,n/a,on stones in a brook
711043,substrate,n/a,on rocks in river
711046,substrate,n/a,"on rocks, dead trees and seepage slopes"
711048,substrate,n/a,on stones in brooks
711049,substrate,n/a,on stones in brooks
711050,substrate,n/a,on old logs
711051,substrate,n/a,in water on a stick
711052,substrate,n/a,on logs
711053,substrate,n/a,on stones in brooks
711054,substrate,n/a,submerged in lake
711055,substrate,n/a,wet moss on boulder in streamlet
711059,substrate,n/a,in spring in forest
711060,substrate,n/a,submerged in creek
711061,substrate,n/a,W.R.
711062,substrate,n/a,on earth
711063,substrate,n/a,on rotten logs
711064,substrate,n/a,on wet logs
711065,substrate,n/a,on damp earth in a ravine
711066,substrate,n/a,on dead wood
711069,substrate,n/a,"wet, peaty edge of streamlet"
711074,substrate,n/a,On rocks beside river
711075,substrate,n/a,On rocks in creek
711076,substrate,n/a,edge of stream
711077,substrate,n/a,amongst moss
711184,substrate,n/a,on rocks
711198,substrate,n/a,on hydromor humus
711202,substrate,n/a,submerged in water on rock
711204,substrate,n/a,rotten log
711213,substrate,n/a,on logs
711229,substrate,n/a,on logs
711306,substrate,n/a,"on rocks in stream, partly submerged"
711309,substrate,n/a,on thin soil within intermittent rivulet
711312,substrate,n/a,on old logs
711313,substrate,n/a,on rotten wood
711314,substrate,n/a,on old logs in woods
711315,substrate,n/a,on dead bark on a log
711317,substrate,n/a,rotten stump
711320,substrate,n/a,on rotten wood
711321,substrate,n/a,on rotten wood
711322,substrate,n/a,on rotten wood
711323,substrate,n/a,on rotten wood
711324,substrate,n/a,Rotten forest floor wood
711325,substrate,n/a,On vertical humus in hollow near swamp (no standing water)
711326,substrate,n/a,On bark of saturated poolside wood
711327,substrate,n/a,on ground in swamp
711328,substrate,n/a,on log in swamp
711329,substrate,n/a,on log in swamp
711330,substrate,n/a,on rotten stump in swamp
711331,substrate,n/a,on moist ground in woods
711332,substrate,n/a,on bark at base of spruce
711333,substrate,n/a,on litter at base of larch
711334,substrate,n/a,on hummock in muck larch woods
25481,substrate,n/a,on rotten wood
25460,substrate,n/a,On hummock over well-rotted log in swamp.
26282,substrate,n/a,On cliff.
26292,substrate,n/a,On base of red maple near small marsh.
711344,substrate,n/a,"on log, deciduous woods"
711345,substrate,n/a,on log at lake shore
711346,substrate,n/a,on falled white birch tree trunk in mixed woods.
711347,substrate,n/a,on fallen logs and stumps in sugar maple forest
711348,substrate,n/a,on bank
25484,substrate,n/a,On conifer log on hill.
711349,substrate,n/a,on wet log
711351,substrate,n/a,on rotten wood and on rock
711353,substrate,n/a,on log
711355,substrate,n/a,on Fomes
711357,substrate,n/a,on old yellow birch log and Fomes Bracket fungi.
711358,substrate,n/a,on logs in moist mixed woods
711359,substrate,n/a,on log
711360,substrate,n/a,On very moist very rotten fallen spruce trunk in mixed second growth Picea bog
711362,substrate,n/a,on moist surface of a very rotten fallen poplar log with mosses
29428,substrate,n/a,On clay bank along road.
711365,substrate,n/a,on old conifer log
711366,substrate,n/a,on old log
711368,substrate,n/a,on log
711369,substrate,n/a,on tree
711370,substrate,n/a,on wet log
711371,substrate,n/a,moist decaying log
711372,substrate,n/a,on rotten log
711373,substrate,n/a,on log
711374,substrate,n/a,on soil
711378,substrate,n/a,on very rotten log
711383,substrate,n/a,"Ot base of tree, on log and on rotten wood"
711384,substrate,n/a,on rock ledge
711385,substrate,n/a,on rock outcrop
711386,substrate,n/a,Base of Picea
21214,substrate,n/a,On rotten log on forest floor.
21855,substrate,n/a,At bases of trees.
25441,substrate,n/a,On humus bank beside rivulet.
26238,substrate,n/a,On rotten log.
25448,substrate,n/a,On old wet log over creek.
26337,substrate,n/a,On base of bur oak.
25492,substrate,n/a,On vertical face of rock outcrop.
26228,substrate,n/a,On log.
26253,substrate,n/a,On face of limestone outcrop beside river.
26313,substrate,n/a,On decorticated log and hummocks in maple woods.
17520,substrate,n/a,On base of silver maple.
17508,substrate,n/a,On base of red maple.
17481,substrate,n/a,On sand beside creek.
21820,substrate,n/a,On damp stream bank.
711388,substrate,n/a,humus over limestone boulder
711390,substrate,n/a,on decorticated branch over rivulet
711391,substrate,n/a,On soil at base of tree near pond
711392,substrate,n/a,on rotten log in woods
711394,substrate,n/a,on soil bank in woods
711395,substrate,n/a,on soil hummock at base of fir
711396,substrate,n/a,on soil bank along road
711397,substrate,n/a,rotting wood
711399,substrate,n/a,on rotten wood
711410,substrate,n/a,on stumps and rotten wood
711460,substrate,n/a,on rotten wood
711462,substrate,n/a,on old logs in woods
711463,substrate,n/a,on old logs in woods
711464,substrate,n/a,on rotten wood
711465,substrate,n/a,on old logs
711466,substrate,n/a,on rotten logs
711467,substrate,n/a,on rotten wood
711468,substrate,n/a,on rotten wood in woods
711469,substrate,n/a,on very rotten wood
711470,substrate,n/a,on rotten logs
711471,substrate,n/a,on rotten elm logs
711474,substrate,n/a,on old logs
711475,substrate,n/a,on moss and rotten logs
711478,substrate,n/a,on rocks
711480,substrate,n/a,on dead wood
711481,substrate,n/a,on rotten log
711482,substrate,n/a,on old stumps and earth
711483,substrate,n/a,on very rotten pine wood in woods
711572,substrate,n/a,on rotten wood
711574,substrate,n/a,on old logs
711575,substrate,n/a,on rotten wood
711576,substrate,n/a,on rocks
711578,substrate,n/a,on old logs
711579,substrate,n/a,rotten wood
711581,substrate,n/a,at end of wet hardwood log
711582,substrate,n/a,on crumbling balsam log on ground
711586,substrate,n/a,on rotting wood of stump
711587,substrate,n/a,on rotten log
711588,substrate,n/a,on humus
711589,substrate,n/a,on dry rock outcrop
711590,substrate,n/a,on well-rotted log in cedar woods
711592,substrate,n/a,on rotting maple log
711596,substrate,n/a,on soil bank beside trail
711597,substrate,n/a,on rotten log
711598,substrate,n/a,on base of small tree
711599,substrate,n/a,"on rotten wood, at ground level"
711600,substrate,n/a,on rotten twig
711601,substrate,n/a,well manured soil at cliff base
711602,substrate,n/a,rotten log
711603,substrate,n/a,rotten stump
711604,substrate,n/a,humus bank near cliff base
711605,substrate,n/a,on rotten treetrunk
711606,substrate,n/a,on old logs
711608,substrate,n/a,on dead wood in woods
711612,substrate,n/a,on rotten wood
711613,substrate,n/a,on rotting wood
711614,substrate,n/a,bog depression
711615,substrate,n/a,bog depression
21021,substrate,n/a,On old stump on beach.
711617,substrate,n/a,on earth by trail
711618,substrate,n/a,on damp rotten log
711619,substrate,n/a,on rotting logs and soil
711620,substrate,n/a,Growing on hardwood log
711621,substrate,n/a,on ground in black spruce woods
711622,substrate,n/a,on rotting log
21110,substrate,n/a,"On forest floor, and on rotting logs in damp woods"
711624,substrate,n/a,on earth in woods
711625,substrate,n/a,on dead wood
711626,substrate,n/a,damp bank of backwater
711627,substrate,n/a,damp bank above sluice stream
711628,substrate,n/a,mineral soil hummock in forest
711629,substrate,n/a,rotten log in forest
711630,substrate,n/a,mineral soil in forest
711631,substrate,n/a,earth mound
711632,substrate,n/a,on earth hummock
711633,substrate,n/a,humid rotten log
711634,substrate,n/a,humid rotten log
711635,substrate,n/a,on earth hummock
711636,substrate,n/a,on earth hummock
711637,substrate,n/a,on damp rocks
711641,substrate,n/a,in depression in mat of peat bog
711642,substrate,n/a,on Sphagnum in boggy pool
711644,substrate,n/a,in Sphagnum bog
711645,substrate,n/a,in Sphagnum bog
711646,substrate,n/a,in wet Sphagnum bog
711647,substrate,n/a,on log
711648,substrate,n/a,Sphagnum bog
21378,substrate,n/a,Submersed in water of bog.
711662,substrate,n/a,in a peat bog
711663,substrate,n/a,in a bog
711664,substrate,n/a,on bog mat beside lake
711665,substrate,n/a,on bog mat beside lake
711681,substrate,n/a,in bog
20971,substrate,n/a,In wet depression in bog.
711685,substrate,n/a,"On ground at edge of path, in very wet area, under black spruce"
711686,substrate,n/a,Bord d'une mare dans une tourbière ombrotrophe
711691,substrate,n/a,wet depressions in Sphagnum mat
711695,substrate,n/a,in small pool
711696,substrate,n/a,submerged to floating in pool
711701,substrate,n/a,floating to submerged in small pool
711702,substrate,n/a,"submerged to emergent, small pool"
711704,substrate,n/a,in pool
711707,substrate,n/a,in depression in bog
711709,substrate,n/a,lagg in pool
711710,substrate,n/a,open wet humus
711711,substrate,n/a,over peat
711712,substrate,n/a,in flark
711713,substrate,n/a,on wet peat
711714,substrate,n/a,over peat
711715,substrate,n/a,in bog
711716,substrate,n/a,in bog
711718,substrate,n/a,wet depression
711719,substrate,n/a,wet slope near road
711720,substrate,n/a,on wet peat
711721,substrate,n/a,wet depression on peat
711722,substrate,n/a,on ground at lake margin
711728,substrate,n/a,on cedar trees
711729,substrate,n/a,on cedar trees
17507,substrate,n/a,On granitic erratic at edge of swampy pond.
26222,substrate,n/a,On trunks of balsam fir and cedar.
711730,substrate,n/a,"N-side of elm trunk, 2-3' up"
711731,substrate,n/a,base of cedar tree
711732,substrate,n/a,on bark at base of living cedar tree
711733,substrate,n/a,on cliff face
711735,substrate,n/a,on vertical face of rock outcrop
711736,substrate,n/a,on limestone cliff
711737,substrate,n/a,on cedar stump in swamp
711738,substrate,n/a,on vertical face of granite rock outcrop
711739,substrate,n/a,on calcareous rock outcrop
26251,substrate,n/a,On sandstone outcrop beside river.
17491,substrate,n/a,On rock outcrop near lake.
711740,substrate,n/a,on shaded calcareous pebbles near stream
711741,substrate,n/a,on trunk of cedar
711742,substrate,n/a,on Thuja
711743,substrate,n/a,on bark of living Thuja
711744,substrate,n/a,on very rotten stump
711745,substrate,n/a,at base of Thuja
711746,substrate,n/a,"crevices etc. basic rock, dry, shaded, rocky lakeshore"
711747,substrate,n/a,cedar banks
21318,substrate,n/a,On undersurface of rock ledge beside river.
711749,substrate,n/a,"on dry cliff, W. side of cleft"
711750,substrate,n/a,on moist shaded rock face
711751,substrate,n/a,on bark of live birch
711752,substrate,n/a,basaltic wall of ravine
711753,substrate,n/a,on bark of Arbor-vitae in swamps
711754,substrate,n/a,on cedar trees
711755,substrate,n/a,on cedar bark in woods
711756,substrate,n/a,"on N-facing rock, dry"
711757,substrate,n/a,on dry rock in sunny place
711758,substrate,n/a,on damp rock of cliff
711759,substrate,n/a,dry rock face
711760,substrate,n/a,"paroi verticale, en escalier; dans une fissure profonde, directement sur le schiste"
711761,substrate,n/a,directement sur les rochers verticaux
711762,substrate,n/a,on cedar bark in a swamp
711763,substrate,n/a,on cedar bark in a swamp
711764,substrate,n/a,on trunk of alder
711765,substrate,n/a,on bark of Acer circinatum
711768,substrate,n/a,on bark of Acer sp.
711770,substrate,n/a,on bark of young trees
711771,substrate,n/a,on earth by a spring
711772,substrate,n/a,wet woods
711774,substrate,n/a,on muck
711778,substrate,n/a,damp cliff base
711779,substrate,n/a,shaded bank
711783,substrate,n/a,damp cliff crevices
711785,substrate,n/a,low mucky area near stream
711787,substrate,n/a,on earth and stones in water
711788,substrate,n/a,on wet ground
711792,substrate,n/a,Shaded ground beneath alder
711793,substrate,n/a,shaded soil on rock beneath overhanging cliff
711794,substrate,n/a,"on shaded, riverside rocks partially covered with sand and silt"
711795,substrate,n/a,on rock submerged in water
711796,substrate,n/a,W.R.
711800,substrate,n/a,"soil, seeping north-facing outcrop"
711804,substrate,n/a,wet creek bank
711807,substrate,n/a,on moist organic banks of drainage way
711811,substrate,n/a,mucky peat
711812,substrate,n/a,on rotten log in iron spring
711813,substrate,n/a,on rock face near falls
711814,substrate,n/a,on earth by brooks
711815,substrate,n/a,on damp rock by water
711816,substrate,n/a,growing on dead log
711822,substrate,n/a,"over soil and logs, etc."
711825,substrate,n/a,on soil with mosses at or near foot of vertical sedimentary cliff along stream bank
17364,substrate,n/a,On sandy soil at margin of cedar swamp.
17501,substrate,n/a,At edge of creek.
21398,substrate,n/a,On sandy soil among boulders beside river.
711826,substrate,n/a,on limestone rocks
711827,substrate,n/a,on bank of creek
711831,substrate,n/a,on shale bluff
711832,substrate,n/a,on moist ledges of shaly rock
711833,substrate,n/a,intermixed with mosses and Hydrocotyle on rotting logs
711836,substrate,n/a,on rotten stump
711837,substrate,n/a,on side of limestone boulder
711838,substrate,n/a,on dripping limestone cliff under waterfalls
711839,substrate,n/a,on soil bank of dried-up rivulet
711840,substrate,n/a,on soil beside rivulet
711843,substrate,n/a,limestone talus slope
711846,substrate,n/a,on wet ground
711847,substrate,n/a,treetrunk by a stream
711849,substrate,n/a,"on soil, moist shaded ledges and slopes of vertical shaly cliff"
711850,substrate,n/a,on hummock of Carices
711852,substrate,n/a,in wet depression in cedar swamp
26300,substrate,n/a,On bank of small stream in cedar woods.
25610,substrate,n/a,On mossy ground.
25452,substrate,n/a,On soil of trail.
711855,substrate,n/a,on moist shaded sandstone ledges at bottom of deep crevasse
711857,substrate,n/a,wet rocks
711858,substrate,n/a,on shaded face of limestone cliff
711859,substrate,n/a,on mosses and twigs in wet ash woods
711861,substrate,n/a,side of rotten stump
711863,substrate,n/a,on wet soil by pond
711874,substrate,n/a,wet ground
711875,substrate,n/a,on soil over rock beside creek
711876,substrate,n/a,in crevice in cave area
711877,substrate,n/a,on moist silty humus along edges of moist run-off stream
711879,substrate,n/a,damp rocksides
711880,substrate,n/a,on limestone rocks beside river
711881,substrate,n/a,on side of limestone boulder
711882,substrate,n/a,"moist silt, densely shaded along stream bank"
21299,substrate,n/a,On sandy soil among boulders beside river.
711887,substrate,n/a,on rotten log in wet depression
711888,substrate,n/a,on ground
711890,substrate,n/a,on small log in muck beside creek
711891,substrate,n/a,over litter and logs in wet cedar woods
711892,substrate,n/a,on sandy clay bank of rivulet
20948,substrate,n/a,On sandy soil beside river.
711896,substrate,n/a,in silty sand
20858,substrate,n/a,On soil over rocks beside river.
30223,substrate,n/a,On wet limestone wall of dam.
26741,substrate,n/a,Crevices.
27359,substrate,n/a,On moist sand.
27356,substrate,n/a,On an organic substrate.
27344,substrate,n/a,On rotting stump.
27312,substrate,n/a,In a seepage area.
711898,substrate,n/a,Wet earth of wooded stream-bank
711903,substrate,n/a,brooksides
711904,substrate,n/a,on earth nr brooks
711905,substrate,n/a,on earth
711906,substrate,n/a,on roots in a swamp
711908,substrate,n/a,on wet rock by stream
711909,substrate,n/a,on logs in swamps
711911,substrate,n/a,on wet soil over rock
711912,substrate,n/a,"on soil, bank of brook"
711913,substrate,n/a,sur sol humide
711914,substrate,n/a,on forest floor
711917,substrate,n/a,rocks along stream
711921,substrate,n/a,Sur falaise calcaire et autres roches
711922,substrate,n/a,on wet soil under cedar
711923,substrate,n/a,"very moist area, near brook"
711926,substrate,n/a,on wet bare rock near creek
711927,substrate,n/a,Sandy clay bank
711928,substrate,n/a,on earth on rotten log
711929,substrate,n/a,on earth on rotten log
711932,substrate,n/a,on sandy soil
20884,substrate,n/a,On humus beside rivulet in alder-willow thicket.
711934,substrate,n/a,on conglomerate outcrop
31686,substrate,n/a,Sur sol organique.
27521,substrate,n/a,Glaise à l'ombre.
711936,substrate,n/a,on logs in swamps
711937,substrate,n/a,on stones
711939,substrate,n/a,Semi-shaded moist humus
711940,substrate,n/a,on shaded moist humus
711941,substrate,n/a,shaded humid base of cliff
711942,substrate,n/a,on semi-shaded dry seep
711943,substrate,n/a,damp margin of drainage channel from pond
712049,substrate,n/a,humus near stream
712050,substrate,n/a,talus slope near edge of gorge
712051,substrate,n/a,wet soil on seepage slope
712052,substrate,n/a,soil below rock near edge of gully
712054,substrate,n/a,rock crevices
712055,substrate,n/a,on clay bank beside creek
712056,substrate,n/a,on sandy soil beside creek
712058,substrate,n/a,on saturated humus
712059,substrate,n/a,on rock ledge
712060,substrate,n/a,on soil over boulder
712061,substrate,n/a,on moist depression in woods
712062,substrate,n/a,on side of boulder beside creek
712063,substrate,n/a,on wet depression in woods
712064,substrate,n/a,on bank of dried-up creek
712065,substrate,n/a,on ground beside water
22010,substrate,n/a,On slope facing falls.
22040,substrate,n/a,On ground beside stream.
21974,substrate,n/a,At base of alders beside stream.
26904,substrate,n/a,On stream bank.
712068,substrate,n/a,on rocks at creek bed
712070,substrate,n/a,"deeply shaded, humid crevice"
712072,substrate,n/a,wet shaded cliff near waterfall
712074,substrate,n/a,on sandy soil over rock in rivulet
712075,substrate,n/a,"shaded, damp cliff crevice near upper falls"
21122,substrate,n/a,On rocks at edge of brook in damp woods.
712077,substrate,n/a,on wet earth
712078,substrate,n/a,on wet logs
712079,substrate,n/a,shaded wet shelf
712081,substrate,n/a,semi shaded moist rock
712082,substrate,n/a,in large wet crevice
712083,substrate,n/a,"humid cliff near ""cavern"""
712084,substrate,n/a,damp crevice
712085,substrate,n/a,sheded seepy cliff of canyon
712086,substrate,n/a,logs of slope in canyon
712087,substrate,n/a,in crevices of wet rocks
712089,substrate,n/a,on rocks
712090,substrate,n/a,on old logs by the sea
712092,substrate,n/a,shaded vertical rock face
712093,substrate,n/a,humid cliff
712094,substrate,n/a,on partly shaded humus
712095,substrate,n/a,dry rock face
712098,substrate,n/a,humus on decaying log
712099,substrate,n/a,humus on shaded cliff
712101,substrate,n/a,humus on vertical rock
712103,substrate,n/a,damp shaded rock face
712104,substrate,n/a,dry cliff
712106,substrate,n/a,damp shaded cliff
712108,substrate,n/a,damp shaded cliff
712109,substrate,n/a,log in forest
712110,substrate,n/a,wet cliff
712111,substrate,n/a,log in forest
712114,substrate,n/a,damp shaded cliff
712115,substrate,n/a,s.
712116,substrate,n/a,"In crevices and on surface of rotten, siliceous outcrops above and along edge of torrential creek"
712117,substrate,n/a,"shaded rock ledge, sandy soil on vertical rock face"
712118,substrate,n/a,damp bank
712119,substrate,n/a,humus on decaying log
712120,substrate,n/a,shaded cavern
712122,substrate,n/a,cliff face
712125,substrate,n/a,damp boulder face
712126,substrate,n/a,canyon wall
712127,substrate,n/a,damp cliff crevice
712128,substrate,n/a,wet cliff shelf
712131,substrate,n/a,wet shaded parts of cliff
712134,substrate,n/a,soil in rock crevice
712135,substrate,n/a,damp shaded cliff
712138,substrate,n/a,on rocks
712139,substrate,n/a,on old logs by the sea
712140,substrate,n/a,on dead wood in swamps
712141,substrate,n/a,on logs
712142,substrate,n/a,on wet rocks
712143,substrate,n/a,on wet rocks
712146,substrate,n/a,on rocks
712159,substrate,n/a,dripping cliff
712161,substrate,n/a,among rocks in heathland depression
712162,substrate,n/a,growing in rock crevices
712163,substrate,n/a,on humusy soil
712164,substrate,n/a,on partly shaded moist humus
712165,substrate,n/a,on partly shaded moist humus
712166,substrate,n/a,in rock crevice
712167,substrate,n/a,shaded rock
712168,substrate,n/a,damp cliff
712169,substrate,n/a,outcrop crevice near stream
712170,substrate,n/a,damp earth in crevice
712171,substrate,n/a,semi-shaded moist rock
712172,substrate,n/a,"wafts, shaded crevice"
712173,substrate,n/a,on earth and on rocks
712174,substrate,n/a,on rock bluff beside stream
712175,substrate,n/a,under rocks in shade
712176,substrate,n/a,base of granite rock
712177,substrate,n/a,on rock beside river
712178,substrate,n/a,on shaded outcrop face
712181,substrate,n/a,semi-shaded mineral soil in seep
712182,substrate,n/a,on rock outcrop
712183,substrate,n/a,on rock outcrop
712184,substrate,n/a,on side of boulder
712186,substrate,n/a,"wet rock, high tundra"
712189,substrate,n/a,among heaths on slope
712193,substrate,n/a,"in mesic granitic rocks in moist, alpine tundra"
712196,substrate,n/a,"on wet sandy soil, roadside"
712198,substrate,n/a,on earth
712199,substrate,n/a,on earth in woods
712200,substrate,n/a,on old logs in bogs
712201,substrate,n/a,on old logs in bogs
712202,substrate,n/a,dampish cliff
712203,substrate,n/a,wet cliff
712204,substrate,n/a,up tree base
712206,substrate,n/a,bases of trees
712207,substrate,n/a,under trees in forest
712208,substrate,n/a,up tree base
712211,substrate,n/a,bank in open forest
712212,substrate,n/a,shaded outcrop face
712213,substrate,n/a,damp rock face
712214,substrate,n/a,dampish cliff face
712215,substrate,n/a,shaded cliff in forest
712217,substrate,n/a,on boulder of forest slope
712218,substrate,n/a,stump on forest slope
712219,substrate,n/a,damp shaded cliff
712220,substrate,n/a,humus of slope
712221,substrate,n/a,damp slope near waterfall
712222,substrate,n/a,damp slope near waterfall
712223,substrate,n/a,on shaded bank near lake
712224,substrate,n/a,base of tree on bog slope
712225,substrate,n/a,under shrubs of slope above bog
712226,substrate,n/a,forested margin of bog
712227,substrate,n/a,shaded cliff ledge
712228,substrate,n/a,shaded subalpine cliff shelf
712229,substrate,n/a,wet cliff
712230,substrate,n/a,cliff shelf below knife ridge
712231,substrate,n/a,Damp shaded Chamaecyparis thicket
712232,substrate,n/a,damp cliff near falls
712233,substrate,n/a,under Chamaecyparis on slope
712234,substrate,n/a,slope in open Chamaecyparis forest
712235,substrate,n/a,R.
712237,substrate,n/a,on bank at lake shore
712238,substrate,n/a,on cliff in forest
712239,substrate,n/a,on bank in forest
712241,substrate,n/a,dampish bank in woodland
712242,substrate,n/a,shaded damp cliff near stream
712243,substrate,n/a,humus hummock in forest
712244,substrate,n/a,humid shaded cliff
712245,substrate,n/a,on hummocks near tree base in forest
712246,substrate,n/a,open hummock in forest
712247,substrate,n/a,on humus banks of forest
712248,substrate,n/a,wet cliff face
712249,substrate,n/a,hummock on Chamaecyparis slope
712250,substrate,n/a,humus bank in forest
712251,substrate,n/a,bank near stream
712255,substrate,n/a,on logs
712256,substrate,n/a,on trunks in woods
712258,substrate,n/a,on earth and on rocks
712259,substrate,n/a,on rocks
712260,substrate,n/a,cliff face; humid
712261,substrate,n/a,earth of shaded cliff shelf
712262,substrate,n/a,dry cliff face
712263,substrate,n/a,shaded niche among boulders
712266,substrate,n/a,ground
712267,substrate,n/a,wet shaded cliff
712268,substrate,n/a,"on bank, subalpine forest slope"
712269,substrate,n/a,dry seaside cliff
712270,substrate,n/a,r.
712271,substrate,n/a,r.
712272,substrate,n/a,dry cliff
712273,substrate,n/a,S.
712274,substrate,n/a,s.
712275,substrate,n/a,on rock by lake margin
712277,substrate,n/a,R.
712278,substrate,n/a,humus
712279,substrate,n/a,R.
712280,substrate,n/a,R.
712281,substrate,n/a,R.
712282,substrate,n/a,on rocks and moss
712284,substrate,n/a,on wet rocks
712285,substrate,n/a,on rocks
712286,substrate,n/a,on rocks
712287,substrate,n/a,on rocks
712289,substrate,n/a,on rocks
712290,substrate,n/a,wet rocks
712291,substrate,n/a,on stones
712294,substrate,n/a,"rock in woods, shaded damp"
29440,substrate,n/a,On cliff.
29441,substrate,n/a,In crevices of cliff.
29406,substrate,n/a,On acidic cliff in woods.
712295,substrate,n/a,on shaded most ledges
712296,substrate,n/a,"on very moist shaded rock wall, mainly quartzite"
712297,substrate,n/a,on thin humusy soil on top of boulders
712299,substrate,n/a,on rock cliff
712311,substrate,n/a,on soil; seepage area
712312,substrate,n/a,dripping cliff
712313,substrate,n/a,"on exposed, moist humus"
712314,substrate,n/a,"on partly shaded, moist rock"
712315,substrate,n/a,on rock ledge
712316,substrate,n/a,on soil over rock ledge
712317,substrate,n/a,on rock
712318,substrate,n/a,on rock ledge
712319,substrate,n/a,on rock beside creek
712320,substrate,n/a,on rock outcrop
712321,substrate,n/a,on rock outcrop
712322,substrate,n/a,in crevices
712323,substrate,n/a,shaded cliff face
712324,substrate,n/a,shaded cliff face
712327,substrate,n/a,on sandy soil over boulder along creek
712328,substrate,n/a,on sandy soil over boulder along creek
712329,substrate,n/a,on sandy soil over rock ledge
712330,substrate,n/a,on rock ledge
712331,substrate,n/a,on rock ledge
712332,substrate,n/a,on rock outcrop
712333,substrate,n/a,on rock
21187,substrate,n/a,On escarpment in damp deciduous woods.
712335,substrate,n/a,on trap rock in shade
712336,substrate,n/a,humid cliff shelf
712337,substrate,n/a,on rock bluff
712338,substrate,n/a,on boulder at summit
712340,substrate,n/a,wet rocks
712341,substrate,n/a,wet rocks
712342,substrate,n/a,on rocks
712343,substrate,n/a,on damp rocks
712345,substrate,n/a,cliff by stream
712346,substrate,n/a,earth on slope by stream
712347,substrate,n/a,semi shaded moist rock face
712348,substrate,n/a,outcrop on forest slope
712349,substrate,n/a,dry cliff face and crevices
712350,substrate,n/a,humid cliff
712351,substrate,n/a,shaded cliff
712352,substrate,n/a,humus of cliff ledge
712353,substrate,n/a,on rocks
712355,substrate,n/a,on earth and rock
712356,substrate,n/a,on damp rocks
712357,substrate,n/a,on rocks
712358,substrate,n/a,crevices of wet rocks
712362,substrate,n/a,on moist soil over rock
712363,substrate,n/a,on sandstone wall of small stream gorge
712364,substrate,n/a,on coarse sandy soil on ledge
712366,substrate,n/a,over sphagnum of cliff shelf
712372,substrate,n/a,epiphytic on conifers
712373,substrate,n/a,"dry cliff shelves, beneath overhang"
