mkey,descriptor,term,note
704726,substrate,n/a,"on partly shaded, moist rock"
704727,substrate,n/a,on boulder
704728,substrate,n/a,on rock bluff
704730,substrate,n/a,on humus over bluff
21961,substrate,n/a,on shaded rock
704731,substrate,n/a,on rotten wood
704734,substrate,n/a,humid cliff face
704736,substrate,n/a,humus of cliff shelf
704738,substrate,n/a,crevices of outcrop
704740,substrate,n/a,over rock
704755,substrate,n/a,on rotten log
704758,substrate,n/a,on shaded boulder
704759,substrate,n/a,humus of cliff shelf
704762,substrate,n/a,"humid outcrop shelf, in Dicranum"
704763,substrate,n/a,damp cliff on ledge
704764,substrate,n/a,on damp shelf
704766,substrate,n/a,shaded rock shelf
704769,substrate,n/a,on damp rock face
704771,substrate,n/a,on cliff face
704773,substrate,n/a,on cliff shelf
704774,substrate,n/a,on boulder in woods
704778,substrate,n/a,on shaded damp granite rocks
704790,substrate,n/a,on rock
704792,substrate,n/a,on rock
704793,substrate,n/a,on humus over rock
704794,substrate,n/a,humus of cliff ledge
704795,substrate,n/a,moist shaded rock
704796,substrate,n/a,humid slate crevice by river
704797,substrate,n/a,shaded dry rock
704798,substrate,n/a,semi-shaded moist rock
704799,substrate,n/a,humus of cliff ledge
704800,substrate,n/a,humus of cliff ledge
704801,substrate,n/a,shaded moist humus in crevice
704802,substrate,n/a,"in crevice, cliff shelf"
704803,substrate,n/a,on boulder in woods
704806,substrate,n/a,on earth
704807,substrate,n/a,on old logs
704808,substrate,n/a,on earth
704810,substrate,n/a,on old logs
704815,substrate,n/a,on moss on rocks
704818,substrate,n/a,on rocks
704820,substrate,n/a,on forest floor
704822,substrate,n/a,on humus among boulders
704824,substrate,n/a,"shaded slope, base of outcrop"
704830,substrate,n/a,on boulder at cliff base
704831,substrate,n/a,ground
704832,substrate,n/a,humus among boulders on slope
704834,substrate,n/a,on rocks in ravines
704835,substrate,n/a,on rocks in ravines
704837,substrate,n/a,on rocks
704838,substrate,n/a,Quite common on rotten wood but especially on rocks
704839,substrate,n/a,especially on rocks
704842,substrate,n/a,on rocks
704843,substrate,n/a,on rocks
704860,substrate,n/a,on rocks
704863,substrate,n/a,On rocks
704865,substrate,n/a,on rocks
704867,substrate,n/a,Moist shaded base of granitic rock outcrop overhang at shore
704869,substrate,n/a,on rocky ledge among base of Graminae species
704870,substrate,n/a,quite common on rotten wood but especially on rocks
704872,substrate,n/a,On vertical rock in forest above silty side stream
704878,substrate,n/a,Among moist mosses on floor of gorge over basaltic talus boulders.
704879,substrate,n/a,On thin soil on underside of overhang of huge basaltic talus boulder at bottom of gorge
704882,substrate,n/a,on vertical granite rock
704887,substrate,n/a,on rock cliff
704888,substrate,n/a,On moist shaded ledges under birch-aspen
704890,substrate,n/a,on rock bluff
704894,substrate,n/a,on humus under cedars in damp shaded ravine
704896,substrate,n/a,on mossy boulder
