Collection,ID Number,Verbatim name,Parsed name
Mollusc,CMNML 008234,Allogona twonsendiana,Allogona twonsendiana
Mollusc,CMNML 008292,Hapoltrema vancouverense,Hapoltrema vancouverense
Vascular Plant,CAN 263780,Anthyrium filix-femina ssp. cyclosorum,Anthyrium filix-femina cyclosorum
Vascular Plant,CAN 263783,Sryopteris austriaca,Sryopteris austriaca
Vascular Plant,CAN 273059,Dryopteris fragrans var. vemotiusculs (?),Dryopteris fragrans vemotiusculs
Vascular Plant,CAN 263785,Dryopteris fragrans transitional to ssp. remotiuscula Kom.,Dryopteris fragrans transitional to remotiuscula
Vascular Plant,CAN 6252,Picea sitchenis,Picea sitchenis
Vascular Plant,CAN 254035,Cryptogramma crispa var. sitchense,Cryptogramma crispa sitchense
Fossil Vertebrate,CMNFV 484,Osteolepis macrolepidotus,Osteolepis macrolepidotus
Fossil Vertebrate,CMNFV 498,Pterichthys cornutus,Pterichthys cornutus
Mollusc,CMNML 013321,Oxyloma nuttaliana,Oxyloma nuttaliana
Crustacea,CMNC 1990-0483,Monoculodes perditus,Monoculodes perditus
Bird,CMNAV 71672,Larus glau,Larus glau
Fossil Vertebrate,CMNFV 439,Holorus parki,Holorus parki
Fossil Vertebrate,CMNFV 8548,Irenesaurus mclearni,Irenesaurus mclearni
Crustacea,CMNC 1990-0057,Dymanella glabra,Dymanella glabra
Bird,CMNAV 79195,Poecile atricapillua,Poecile atricapillua
Fossil Vertebrate,CMNFV 2884,Aepycamelus altus,Aepycamelus altus
Fish,CMNFI 1966-0224.9,Pungitius pungitiusv,Pungitius pungitiusv
Bird,CMNAV 66272,Nuttallornis borealis,Nuttallornis borealis
Bird,CMNAV 66275,Hirondelle bicolore,Hirondelle bicolore
Vascular Plant,CAN 329625,Agripyron latiglume,Agripyron latiglume
Vascular Plant,CAN 25003,Carex aquitilis,Carex aquitilis
Vascular Plant,CAN 20517,Carex arthrostachya,Carex arthrostachya
Vascular Plant,CAN 208853,Agropyron latiglume var. hyperarctica,Agropyron latiglume hyperarctica
Bird,CMNAV 79131,Melarnerpes erythrocephalus,Melarnerpes erythrocephalus
Bird,CMNAV 70591,Pedioecetes phasianellus,Pedioecetes phasianellus
Mollusc,CMNML 069381,Lampsilis anodontoides fallaciosus,Lampsilis anodontoides fallaciosus
Crustacea,CMNC 1991-0148,Jaera (Jaera) ischyosetosa,Jaera ischyosetosa
Vascular Plant,CAN 514570,Glyceria vaginata,Glyceria vaginata
Fish,CMNFI 1968-1280.1,Salvelinus alpinus malma,Salvelinus alpinus malma
Vascular Plant,CAN 204376,Puccinellia langeana ssp. typica,Puccinellia langeana typica
Vascular Plant,CAN 583383,Deschampsia sukatschewii ssp. orientalis,Deschampsia sukatschewii orientalis
Vascular Plant,CAN 383395,Arenaria laricifolia v. hultenii,Arenaria laricifolia
Vascular Plant,CAN 121622,Symphoricarpos racemosa,Symphoricarpos racemosa
Lichen,CANL 114105,Sticta oroborealii,Sticta oroborealii
Mollusc,CMNML 093497,L. clarkiana,L. clarkiana
Vascular Plant,CAN 507422,Luzula arcuata var. confusa,Luzula arcuata confusa
Vascular Plant,CAN 583363,Luzula arctica ssp. confusa,Luzula arctica confusa
Vascular Plant,CAN 584044,Desschampsia brevifolia,Desschampsia brevifolia
Mollusc,CMNML 093513,Sanguinilaria sp.,Sanguinilaria
Mollusc,CMNML 039257,Villosa lienosa constrictus,Villosa lienosa constrictus
Fish,CMNFI 1968-1892.1,Raja aleutica,Raja aleutica
Fish,CMNFI 1968-1818.1,Breviraja aleutica,Breviraja aleutica
Insect,CMNEN 00014204,Mgacephala nicaraguensis,Mgacephala nicaraguensis
Insect,CMNEN 00013948,Oxycheila howdeni,Oxycheila howdeni
Vascular Plant,CAN 77136,Oxytropius spicata,Oxytropius spicata
Vascular Plant,CAN 563217,Oxytropis spicata,Oxytropis spicata
Mollusc,CMNML 060377,Micromya nebulosa,Micromya nebulosa
Fish,CMNFI 1974-0276.4,Gymelus barsukivi,Gymelus barsukivi
Mollusc,CMNML 069411,Micromya venuximensis,Micromya venuximensis
Mollusc,CMNML 069411,Villosa venuximensis,Villosa venuximensis
Mollusc,CMNML 004875,Micromya vanuxemensis,Micromya vanuxemensis
Vascular Plant,CAN 36773,Dupontia micranta,Dupontia micranta
Insect,CMNEN 00013551,Bagous limnophilae,Bagous limnophilae
Insect,CMNEN 00013552,Bagous myriophylli,Bagous myriophylli
Lichen,CANL 49201,Biatora spaeroides,Biatora spaeroides
Insect,CMNEN 00013709,Bagous simulans,Bagous simulans
Fish,CMNFI 1961-0144.1,Glytocephalus zachirus,Glytocephalus zachirus
Vascular Plant,CAN 583105,Poa arctica ssp. cespitans,Poa arctica cespitans
Mollusc,CMNML 040900,Tiodopsis albolabris,Tiodopsis albolabris
Mollusc,CMNML 040900,Helix albolabris,Helix albolabris
Mollusc,CMNML 083965,Xolotrema albolabris,Xolotrema albolabris
Mollusc,CMNML 060396,Mesodor albolabris,Mesodor albolabris
Mollusc,CMNML 002818,Unio paranensis,Unio paranensis
Vascular Plant,CAN 583124,Fesstuca baffinensis,Fesstuca baffinensis
Mollusc,CMNML 013342,Velesunio ambiquus,Velesunio ambiquus
Vascular Plant,CAN 273521,Carex membrancea,Carex membrancea
Insect,CMNEN 00015721,Dicrania cuiabaud,Dicrania cuiabaud
Crustacea,CMNC 1997-0002,Candona scupulosa,Candona scupulosa
Crustacea,CMNC 1997-0004,Potamocypris comosa,Potamocypris comosa
Fish,CMNFI 1973-0143.9,Chrosomus eos x C. neogaeus,Chrosomus eos × C. neogaeus
Mollusc,CMNML 093530,Anodonta catarata catarata,Anodonta catarata catarata
Vascular Plant,CAN 279335,Carex gynocerates,Carex gynocerates
Crustacea,CMNC 1995-0051,Spirontocaris spinus,Spirontocaris spinus
Mollusc,CMNML 071865,Toxolasma tesasensis,Toxolasma tesasensis
Mollusc,CMNML 069406,Carunculina corunculus,Carunculina corunculus
Mollusc,CMNML 058889,Toxolasma minus,Toxolasma minus
Insect,CMNEN 00013700,Andesianellus minutus,Andesianellus minutus
Mollusc,CMNML 093438,Melampus bridentalus,Melampus bridentalus
Fish,CMNFI 1972-0250.2,M. quadricornis thompsoni,M. quadricornis thompsoni
Vascular Plant,CAN 247285,Puccinellia desschampsioides,Puccinellia desschampsioides
Vascular Plant,CAN 247285,Puccinellia langiana,Puccinellia langiana
Insect,CMNEN 00013954,Stephanocleonus edwardi,Stephanocleonus edwardi
Crustacea,CMNC 1991-0016,Crangon abyssorum,Crangon abyssorum
Vascular Plant,CAN 315806,Puccinellia retroflexa,Puccinellia retroflexa
Lichen,CANL 91513,Bryocaulon devergens,Bryocaulon devergens
Vascular Plant,CAN 381451,Antennaria freisiana ssp. alaskana (Malte) Hultén,Antennaria freisiana alaskana
Vascular Plant,CAN 258600,Puccinellia alpigina,Puccinellia alpigina
Fossil Vertebrate,CMNFV 9438,Tephrocyon,Tephrocyon
Fish,CMNFI 1967-0207.1,Chrosomus erythrogaster eos,Chrosomus erythrogaster eos
Fish,CMNFI 1967-0296.1,Moxostoma macrolepidotum macrolepidotum,Moxostoma macrolepidotum macrolepidotum
Fish,CMNFI 1967-0338.7,Micropterus dolomieui dolomieui,Micropterus dolomieui dolomieui
Vascular Plant,CAN 216062,Carex duandra,Carex duandra
Lichen,CANL 86936,Hypogymnia oroarctica,Hypogymnia oroarctica
Fish,CMNFI 1966-0010.3,Glyptoceephalus zachirus,Glyptoceephalus zachirus
Mollusc,CMNML 031098,Anodonta catoracta,Anodonta catoracta
Mollusc,CMNML 022240,Lampsilis radiatus,Lampsilis radiatus
Vascular Plant,CAN 583977,Matricaria maritima ssp. paheocephala,Matricaria maritima paheocephala
Fish,CMNFI 1968-0530.14,Polis ornata,Polis ornata
Mollusc,CMNML 013718,Actinonaias ligamentina gibba,Actinonaias ligamentina gibba
Mollusc,CMNML 040774,Actinonaias gibba,Actinonaias gibba
Insect,CMNEN 00013928,Pelidnota (Odontognathus) adrianae,Pelidnota adrianae
Vascular Plant,CAN 583963,Saxifraga girculus ssp. propinqua,Saxifraga girculus propinqua
Fish,CMNFI 1964-0796.3,Ulca bolini,Ulca bolini
Crustacea,CMNC 1991-0211,Munna typica,Munna typica
Fish,CMNFI 1968-1549.1,Peuronectes quadrituberculatus,Peuronectes quadrituberculatus
Crustacea,CMNC 1991-0231,Jaeropsis curvivornis,Jaeropsis curvivornis
Mollusc,CMNML 023286,Dysnomia personata,Dysnomia personata
Mollusc,CMNML 093466,Unio triqueter,Unio triqueter
Mollusc,CMNML 021028,Lampsilis ochracia,Lampsilis ochracia
Fish,CMNFI 1968-1799.3,Myoxocephalus polyacanthocphalus,Myoxocephalus polyacanthocphalus
Mollusc,CMNML 059520,Lampsilis ochraceus splendidus,Lampsilis ochraceus splendidus
Mollusc,CMNML 065616,Lampsilis ovata cohongorata,Lampsilis ovata cohongorata
Mollusc,CMNML 058797,Lampsilis recta recta,Lampsilis recta recta
Mollusc,CMNML 058814,Lampsilis recta,Lampsilis recta
Fish,CMNFI 1961-0161.1,Hippoglossoides stenolepis,Hippoglossoides stenolepis
Insect,CMNEN 00013891,Odontrupes paulusi,Odontrupes paulusi
Fish,CMNFI 1963-0045.1,Malacottus kincaidi,Malacottus kincaidi
Mollusc,CMNML 039153,Villosa amygdale,Villosa amygdale
Insect,CMNEN 00013450,Sibinia carina,Sibinia carina
Mollusc,CMNML 037873,Unio rubovatus,Unio rubovatus
Mollusc,CMNML 075490,Lampsilis teres teres,Lampsilis teres teres
Mollusc,CMNML 039157,Villosa choctanawenis,Villosa choctanawenis
Fish,CMNFI 1966-0269.4,Sebastes reedicus,Sebastes reedicus
Fish,CMNFI 1968-1849.2,Sebastodes nigrocinctus,Sebastodes nigrocinctus
Vascular Plant,CAN 584102,Puccinellia bruggemannii or angustata,Puccinellia bruggemannii or angustata
Crustacea,CMNC 1991-2308,Pagurus trigonochirus,Pagurus trigonochirus
Fossil Vertebrate,CMNFV 9354,Hyaenodon cf minutus,Hyaenodon minutus
Vascular Plant,CAN 56598,Ranunculus acer v. frigidus,Ranunculus acer
Vascular Plant,CAN 235229,Taraxacum lacerum Greene aggregate,Taraxacum lacerum aggregate
Mollusc,CMNML 055108,Lampsilis radiata conspicuus,Lampsilis radiata conspicuus
Mollusc,CMNML 059568,Lampsilis ra,Lampsilis ra
Mollusc,CMNML 058029,Lampsilis conspicua,Lampsilis conspicua
Mollusc,CMNML 093448,Lampsilis radiata conspicua X L. radiata,Lampsilis radiata conspicua × L. radiata
Fossil Vertebrate,CMNFV 50657,Brontotheriiidae,Brontotheriiidae
Crustacea,CMNC 1989-1100,Caecidotea intermedius,Caecidotea intermedius
Fish,CMNFI 1967-0088.1,Careproctus attenuatus,Careproctus attenuatus
Insect,CMNEN 00014020,Ceutoryhnchus bakeri,Ceutoryhnchus bakeri
Mollusc,CMNML 058898,Lampsilis siliquoidea hydiana,Lampsilis siliquoidea hydiana
Mollusc,CMNML 093457,Lampsilis luteolus,Lampsilis luteolus
Crustacea,CMNC 1991-0104,Pleurogonium californiensis,Pleurogonium californiensis
Crustacea,CMNC 1991-2557,Ancinas granulosus,Ancinas granulosus
Crustacea,CMNC 1991-2560,Dynamella glabra,Dynamella glabra
Crustacea,CMNC 1991-2591,Exosphaeroma oregonensis,Exosphaeroma oregonensis
Lichen,CANL 11809,Bryonora castonea,Bryonora castonea
Fish,CMNFI 1966-0506.3,Fundulus diaphanus diaphanus,Fundulus diaphanus diaphanus
Fish,CMNFI 1966-0510.2,Ictalurus nebulosus nebulosus,Ictalurus nebulosus nebulosus
Fish,CMNFI 1974-0285.3,Apidophoroides olrikii,Apidophoroides olrikii
Parasite,CMNPA 2001-0004,Raabeia form,Raabeia form
Lichen,CANL 43510,Baeomycea placophyllus,Baeomycea placophyllus
Mollusc,CMNML 069404,Micromya vibex,Micromya vibex
Mollusc,CMNML 058891,Lampsilis vibex,Lampsilis vibex
Mollusc,CMNML 030002,Obovaria castenea,Obovaria castenea
Fish,CMNFI 1961-0155.2,Cottus aleuticusBathymaster caeruleofasciatus,Cottus aleuticus caeruleofasciatus
Fish,CMNFI 1961-0063.1,Clinocottus mbryum,Clinocottus mbryum
Fish,CMNFI 1961-0067.1,Bathylagus pretiosus pretiosus,Bathylagus pretiosus pretiosus
Vascular Plant,CAN 583930,Cerastium beeringianium,Cerastium beeringianium
Mollusc,CMNML 058899,Strophitus undulatus rugosa,Strophitus undulatus rugosa
Fish,CMNFI 1968-1062.1,Corgonus clupeaformis,Corgonus clupeaformis
Fossil Vertebrate,CMNFV 9205,Daphoenus cf vetus,Daphoenus vetus
Mollusc,CMNML 093480,Lampsilis siliquoid,Lampsilis siliquoid
Mollusc,CMNML 006275,Strophitus rugosus,Strophitus rugosus
Vascular Plant,CAN 513777,Deschampsia maritima,Deschampsia maritima
Insect,CMNEN 00013869,Pandeleteius semmiconnatus,Pandeleteius semmiconnatus
Vascular Plant,CAN 513293,Aira caespitosa var. arctica,Aira caespitosa arctica
Vascular Plant,CAN 372317,Oxtropis podocarpa,Oxtropis podocarpa
Fish,CMNFI 1965-0397.4,Asterotheca pentacanthus,Asterotheca pentacanthus
Vascular Plant,CAN 565253,Carex lachenelii,Carex lachenelii
Mollusc,CMNML 020571,Elliptio dilatata sabgibbosus,Elliptio dilatata sabgibbosus
Mollusc,CMNML 030924,Elliptio dilatata subgibbosus,Elliptio dilatata subgibbosus
Bird,CMNAV E5898,Coccyzus erythrophthalmus,Coccyzus erythrophthalmus
Fish,CMNFI 1968-0772.1,Coregonus clupeaeformis,Coregonus clupeaeformis
Fossil Vertebrate,CMNFV 6512,Daphaenus canadensis,Daphaenus canadensis
Fossil Vertebrate,CMNFV 6512,"Daphaenus felinus (Scott, 1898)",Daphaenus felinus
Fossil Vertebrate,CMNFV 6513,Daphaenus hartshornianus (Cope),Daphaenus hartshornianus
Fossil Vertebrate,CMNFV 6596,Cottus uncinatus (Reinhardt),Cottus uncinatus
Mollusc,CMNML 057542,Alsmodonta varicosa,Alsmodonta varicosa
Crustacea,CMNC 1991-0230,Jaeropsis trid,Jaeropsis trid
Crustacea,CMNC 1991-0230,Jaeropsis tridens,Jaeropsis tridens
Vascular Plant,CAN 258161,Eriophorum chamissonis var. albidum,Eriophorum chamissonis albidum
Mollusc,CMNML 023830,Elliptio strigosus,Elliptio strigosus
Mollusc,CMNML 039167,Elliptio complanata hopetonensis,Elliptio complanata hopetonensis
Lichen,CANL 5932,Bacidia baglietoana,Bacidia baglietoana
Vascular Plant,CAN 33517,Trisetum apicatum,Trisetum apicatum
Fish,CMNFI 1970-0154.2,Catostomus commeroni,Catostomus commeroni
Mollusc,CMNML 040037,Lampsilis ventricosa ovata,Lampsilis ventricosa ovata
Fish,CMNFI 1965-0330.1,Icelinus spiniger,Icelinus spiniger
Fish,CMNFI 1969-0217.1,Oncorhyncus nerka,Oncorhyncus nerka
Fossil Vertebrate,CMNFV 6414,Caenopus pumilis (Cope),Caenopus pumilis
Mollusc,CMNML 030971,Elliptio complanata roanokensis,Elliptio complanata roanokensis
Fish,CMNFI 1970-0191.4,Phoxinus eos x Phoxinus neogaeus,Phoxinus eos × Phoxinus neogaeus
Fossil Vertebrate,CMNFV 6474,"Hyopotamus brachyrhynchus (Osborn & Wortman, 1894)",Hyopotamus brachyrhynchus
Vascular Plant,CAN 583288,Carex consililis,Carex consililis
Mollusc,CMNML 093488,Ellipsio dilatata,Ellipsio dilatata
Fish,CMNFI 1961-0008.6,Oligocotus maculosus,Oligocotus maculosus
Mollusc,CMNML 046302,Anodonta cygnea,Anodonta cygnea
Mollusc,CMNML 058229,Elliptio productus,Elliptio productus
Fossil Vertebrate,CMNFV 4630,Sauropus unguifer,Sauropus unguifer
Mollusc,CMNML 037792,Arcidens confragos,Arcidens confragos
Lichen,CANL 108688,Biat0ra anthracophila,Biat 0-ra anthracophila
Mollusc,CMNML 011387,Anodonta signea,Anodonta signea
Fossil Vertebrate,CMNFV 40900,Cimolichthys nepaeolica,Cimolichthys nepaeolica
Mollusc,CMNML 039162,Anodonta dariensis,Anodonta dariensis
Fossil Vertebrate,CMNFV 8159,Testudo laticuneus Cope,Testudo laticuneus
Vascular Plant,CAN 583940,Castlileja ruapii,Castlileja ruapii
Mollusc,CMNML 059517,Anodonta ferrusaciannus,Anodonta ferrusaciannus
Mollusc,CMNML 006093,Anodontoides fer,Anodontoides fer
Vascular Plant,CAN 24972,Carex aqualitis,Carex aqualitis
Vascular Plant,CAN 24972,Carex aquatitis,Carex aquatitis
Fish,CMNFI 1973-0391.1,Salmo clarki lewisi,Salmo clarki lewisi
Vascular Plant,CAN 565038,Poa palustris subsp. alpigena,Poa palustris alpigena
Fish,CMNFI 1974-0420.4,Richardsonius blateatus,Richardsonius blateatus
Fossil Vertebrate,CMNFV 6339,Allops sp.,Allops
Fossil Vertebrate,CMNFV 6340,Haplacodon angustigenis (Cope),Haplacodon angustigenis
Fish,CMNFI 1973-0246.1,Oncorhynchus tshawytshca,Oncorhynchus tshawytshca
Fossil Vertebrate,CMNFV 6415,Titanotherium syceras (Osborn),Titanotherium syceras
Fossil Vertebrate,CMNFV 6418,Menodus syceras (Cope),Menodus syceras
Fossil Vertebrate,CMNFV 6419,Diploclonius selwynianus (Cope),Diploclonius selwynianus
Fossil Vertebrate,CMNFV 6454,Aceratherium occidentale (Leidy),Aceratherium occidentale
Fossil Vertebrate,CMNFV 6457,Caenopus exiguum (Lambe),Caenopus exiguum
Mollusc,CMNML 020578,Elliptio mcmichaell,Elliptio mcmichaell
Fish,CMNFI 1967-0709.4,Catostomus commeronii,Catostomus commeronii
Fish,CMNFI 1967-0711.2,Catostomus comersoni,Catostomus comersoni
Fish,CMNFI 1976-0419.3,Ethesotoma nigrum,Ethesotoma nigrum
Fish,CMNFI 1976-0419.3,Etheosotoma nigrum,Etheosotoma nigrum
Fish,CMNFI 1967-0716.6,Etheosoma exile,Etheosoma exile
Mollusc,CMNML 020552,Elliptio sloatianus,Elliptio sloatianus
Mollusc,CMNML 066821,Elliptio shepardianus,Elliptio shepardianus
Mollusc,CMNML 014088,Elliptio spinosus,Elliptio spinosus
Fossil Vertebrate,CMNFV 6808,Elephas jacksoni,Elephas jacksoni
Fossil Vertebrate,CMNFV 6808,Mammuthus jacksoni,Mammuthus jacksoni
Mollusc,CMNML 030850,Elliptio crassidens incrassata,Elliptio crassidens incrassata
Mollusc,CMNML 022526,Elliptio fisherianus,Elliptio fisherianus
Mollusc,CMNML 058887,Elliptio ferrissii,Elliptio ferrissii
Lichen,CANL 34651,Bacidia schweintzii,Bacidia schweintzii
Vascular Plant,CAN 268316,Poa sandbergii,Poa sandbergii
Mollusc,CMNML 024334,Elliptio toumeyi,Elliptio toumeyi
Fish,CMNFI 1984-0846.4,Stichaeus puntatus,Stichaeus puntatus
Fish,CMNFI 1984-0848.4,Cycl,Cycl
Insect,CMNEN 00015265,Laccophilus pictus coccinelloide,Laccophilus pictus coccinelloide
Fish,CMNFI 1984-0859.6,Leptoclinus maulatus,Leptoclinus maulatus
Fossil Vertebrate,CMNFV 13247,Baringaspis dineleyi miles,Baringaspis dineleyi miles
Fish,CMNFI 1984-0438.1,Urophycis tenui,Urophycis tenui
Fossil Vertebrate,CMNFV 13389,Baringaspis cf. actinolepid arthrodire,Baringaspis actinolepid arthrodire
Fossil Vertebrate,CMNFV 13223,Baringaspis dineley miles,Baringaspis dineley miles
Fish,CMNFI 1984-0472.1,Gasterosteus wehatlandi,Gasterosteus wehatlandi
Mollusc,CMNML 056181,Isidora physopsis africana,Isidora physopsis africana
Bird,CMNAV 86010,Picoides major,Picoides major
Fish,CMNFI 1984-0191.5,Engraulis mordax mordax,Engraulis mordax mordax
Vascular Plant,CAN 362949,Salix subcorulea,Salix subcorulea
Vascular Plant,CAN 584773,Agalinis purpurea var. parviflora f. kucyniakii,Agalinis purpurea parviflora kucyniakii
Vascular Plant,CAN 584773,Agalinis purpurea f. albiflora,Agalinis purpurea albiflora
Fish,CMNFI 1971-0142.1,Eustomias paucifilis,Eustomias paucifilis
Mollusc,CMNML 093645,Fossaria obrusa,Fossaria obrusa
Fish,CMNFI 1967-0479.1,Unidentified specimens,Unidentified specimens
Mollusc,CMNML 038649,Fusconaia bursa-pastoris,Fusconaia bursa-pastoris
Mollusc,CMNML 003227,Lymnaea catescopium kempi,Lymnaea catescopium kempi
Mollusc,CMNML 014516,Stagnicola catescopium morph oronoensis,Stagnicola catescopium morph oronoensis
Fish,CMNFI 1971-0144.1,Astronesthes similis,Astronesthes similis
Mollusc,CMNML 004016,Stagnicola vahlii,Stagnicola vahlii
Mollusc,CMNML 007078,Stagnicola decollata,Stagnicola decollata
Mollusc,CMNML 022141,Galba emarginata,Galba emarginata
Mollusc,CMNML 004413,Stagnicola exilis,Stagnicola exilis
Fish,CMNFI 1984-0557.1,Urophyci tenuis,Urophyci tenuis
Mollusc,CMNML 035585A,Stagni,Stagni
Mollusc,CMNML 030682,Stagnicola arcticus,Stagnicola arcticus
Vascular Plant,CAN 273203,Glyceria angustata,Glyceria angustata
Mollusc,CMNML 006108,Galba montanensis,Galba montanensis
Bird,CMNAV 85009,Lonchura malabarica cantans,Lonchura malabarica cantans
Insect,CMNEN 00016359,Microvatellus,Microvatellus
Lichen,CANL 16282,Bryoria nadvorikiana,Bryoria nadvorikiana
Mollusc,CMNML 018198,Lymnaea palustris elodes,Lymnaea palustris elodes
Mollusc,CMNML 090712,Stagnicola fossaria,Stagnicola fossaria
Vascular Plant,CAN 584521,Eeriophorum tenellum,Eeriophorum tenellum
Vascular Plant,CAN 582931,Polygonum viviperum,Polygonum viviperum
Fossil Vertebrate,CMNFV 32324,Dermopteran,Dermopteran
Fossil Vertebrate,CMNFV 32325,Paromomyid,Paromomyid
Fossil Vertebrate,CMNFV 32325,Phenacolemuridae,Phenacolemuridae
Fossil Vertebrate,CMNFV 32325,Paromymidae,Paromymidae
Fossil Vertebrate,CMNFV 32327,Plagiominidae,Plagiominidae
Fish,CMNFI 1984-0402.2,Tautegolabrus adspersus,Tautegolabrus adspersus
Fish,CMNFI 1984-0404.5,Myoxocephalus octodecomspinosus,Myoxocephalus octodecomspinosus
Vascular Plant,CAN 48495,Salix alaxensis x longistylis,Salix alaxensis × longistylis
Vascular Plant,CAN 583201,Honkenya peploides ssp. diffusa,Honkenya peploides diffusa
Fish,CMNFI 1984-0399.2,Hipposglossoides platersoides,Hipposglossoides platersoides
Fish,CMNFI 1984-0399.2,Hipposglossoides platessoides,Hipposglossoides platessoides
Vascular Plant,CAN 585611,Salix exigua ssp. exigua,Salix exigua exigua
Fish,CMNFI 1984-0877.2,Myoxocephalus octocdecemspinosus,Myoxocephalus octocdecemspinosus
Annelid,CMNA 2002-0017,Spirosperma ferox,Spirosperma ferox
Vascular Plant,CAN 21160,Carex scirpoides,Carex scirpoides
Insect,CMNEN 00011840,Phanaeus ganieri,Phanaeus ganieri
Vascular Plant,CAN 17352,Carex caoitata,Carex caoitata
Vascular Plant,CAN 499224,Carex subspatheca,Carex subspatheca
Fish,CMNFI 1969-0142.5,Myctophym californiense,Myctophym californiense
Fish,CMNFI 1969-0139.1,Trachypterus  ressalmonorum,Trachypterus ressalmonorum
Fish,CMNFI 1969-0140.1,Trachypterus rexsalmonorum,Trachypterus rexsalmonorum
Fish,CMNFI 1969-0132.5,Myctophum californiense,Myctophum californiense
Fish,CMNFI 1970-0353.1,Mollienesia formosa,Mollienesia formosa
Fish,CMNFI 1978-0329.5,Mollienesia latipinna,Mollienesia latipinna
Vascular Plant,CAN 41487,Betula x eastwoodae,Betula eastwoodae
Vascular Plant,CAN 195435,Seriocarpus rigidus,Seriocarpus rigidus
Vascular Plant,CAN 195439,Seriocarpus californicus Durand,Seriocarpus californicus
Vascular Plant,CAN 195435,Seriocarpus oregonensis,Seriocarpus oregonensis
Insect,CMNEN 00014912,Phanaeus pseudofurcosus,Phanaeus pseudofurcosus
Vascular Plant,CAN 557169,Aster solidajinensis,Aster solidajinensis
Vascular Plant,CAN 557169,Sericocarpus solidagineus,Sericocarpus solidagineus
Insect,CMNEN 00014829,Phanaeus prasinys trinidadensis,Phanaeus prasinys trinidadensis
Fish,CMNFI 1969-0143.1,Lampanyctus townsendi,Lampanyctus townsendi
Mollusc,CMNML 022381,Galba emarginata mighelsii,Galba emarginata mighelsii
Mollusc,CMNML 023189,Lymnea emarginata mighelsii,Lymnea emarginata mighelsii
Mollusc,CMNML 014376,Lymnaea emarginata mighelsi,Lymnaea emarginata mighelsi
Mollusc,CMNML 020894,Lymnaea emarginata mighalsi,Lymnaea emarginata mighalsi
Mollusc,CMNML 014516,Lymnaea oronoensis,Lymnaea oronoensis
Mollusc,CMNML 025959,Lymnaea danielsi,Lymnaea danielsi
Mollusc,CMNML 006109,Galba minnetonkensis,Galba minnetonkensis
Fossil Vertebrate,CMNFV 12787,Olbiaspididae,Olbiaspididae
Fossil Vertebrate,CMNFV 13571,Casteroides,Casteroides
Fish,CMNFI 1970-0354.1,Gambusia geiseris,Gambusia geiseris
Fish,CMNFI 1970-0367.4,Gambusia affinis x Gambusia heterochir,Gambusia affinis × Gambusia heterochir
Fossil Vertebrate,CMNFV 13601,Soergelia cf elizabethae,Soergelia elizabethae
Bird,CMNAV 85757,Mimus polygolottos,Mimus polygolottos
Lichen,CANL 16294,Alectoria jubata var. chalybeiformis,Alectoria jubata chalybeiformis
Vascular Plant,CAN 584610,Carex foena,Carex foena
Bird,CMNAV 85491,Parus atricapilla,Parus atricapilla
Fish,CMNFI 1971-0496.2,Chrosomus neogeus,Chrosomus neogeus
Fossil Vertebrate,CMNFV 10858,Cartieraspis cassivii,Cartieraspis cassivii
Fossil Vertebrate,CMNFV 9838,Dipneusti,Dipneusti
Crustacea,CMNC 1995-0094,Pseudocaprella pambanensis,Pseudocaprella pambanensis
Vascular Plant,CAN 584419,Calystegia sepium ssp. americanum,Calystegia sepium americanum
Vascular Plant,CAN 584518,Trichophorum cespitosus,Trichophorum cespitosus
Insect,CMNEN 00014568,Oxysternon chiceryi,Oxysternon chiceryi
Insect,CMNEN 00014571,Phanaeus tridens balthazari,Phanaeus tridens balthazari
Insect,CMNEN 00000556,Saprisites monteverdeae,Saprisites monteverdeae
Vascular Plant,CAN 583556,Draba walhenbergii,Draba walhenbergii
Vascular Plant,CAN 583564,Drtaba wahlenbergii,Drtaba wahlenbergii
Vascular Plant,CAN 26216,Carex menbranacea,Carex menbranacea
Fish,CMNFI 1965-0435.1,Sebastodes saxicola,Sebastodes saxicola
Fish,CMNFI 1966-0529.1,Porichthys plectordon,Porichthys plectordon
Fish,CMNFI 1966-0531.1,Rhombochirus osteochir,Rhombochirus osteochir
Vascular Plant,CAN 583884,Antennaria friesiana subsp. frieseana,Antennaria friesiana frieseana
Fish,CMNFI 1966-0585.1,Critivomer namaycush,Critivomer namaycush
Bird,CMNAV 85576,Poecile atrciapilla,Poecile atrciapilla
Vascular Plant,CAN 582955,Poterium albus,Poterium albus
Fish,CMNFI 1964-0463.4,Chaenobryttus coronarius,Chaenobryttus coronarius
Vascular Plant,CAN 583912,Hultheniella integrifolia,Hultheniella integrifolia
Vascular Plant,CAN 234114,Sagina cespitosa,Sagina cespitosa
Crustacea,CMNC 1999-0021,Maera gracilis,Maera gracilis
Vascular Plant,CAN 23029,Savage Harbour,Savage
Vascular Plant,CAN 583857,Pedicularis arctoeuropeae,Pedicularis arctoeuropeae
Vascular Plant,CAN 583673,Potentilla arenosa x crebridens ssp. hemicryophila,Potentilla arenosa × crebridens
Fish,CMNFI 1968-0531.1,Alutera blankerti,Alutera blankerti
Fish,CMNFI 1968-1049.4,Balistes bursa,Balistes bursa
Fish,CMNFI 1968-1049.5,Lactophrys tridricornis,Lactophrys tridricornis
