speckey,scientific_name,collection,rank,ancestors,catalog_count
1130222,Arum italicum,Botany,SPECIES,Plantae | Anthophyta | xxLiliatae | xxArecidae | xxArales | xxAraceae | Arum,1
1079331,Asimina triloba,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Magnoliidae | Magnoliales | Annonaceae | Asimina,23
1138970,Asimina triloba,Botany,SPECIES,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxMagnoliidae | xxMagnoliales | xxAnnonaceae | xxAsimina,22
1140889,Asperugo,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Lamiales | Boraginaceae,0
1098545,Asperugo,Botany,GENUS,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Lamiales | Boraginaceae,0
1098546,Asperugo procumbens,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Lamiales | Boraginaceae | Asperugo,1
1140890,Asperugo procumbens,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Asteridae | Lamiales | Boraginaceae | Asperugo,1
1081958,Bassia hyssopifolia,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Caryophyllidae | Caryophyllales | Chenopodiaceae | Bassia,2
1135621,Bassia hyssopifolia,Botany,SPECIES,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxCaryophyllidae | xxCaryophyllales | xxChenopodiaceae | Bassia,2
1084283,Bastardia viscosa,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Dilleniidae | Malvales | Malvaceae | Bastardia,1
1136934,Bastardia viscosa,Botany,SPECIES,Plantae | Magnoliophyta | Magnoliopsida | Dilleniidae | Malvales | xxMalvaceae | Bastardia,1
1142353,Beauprea,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxRosidae | xxProteales | xxProteaceae | Proteoideae,0
1142444,Beauprea,Botany,GENUS,Plantae | Anthophyta; Coniferophyta | Magnoliatae | xxRosidae | xxProteales | xxProteaceae,0
1113585,Bloomeria crocea,Botany,SPECIES,Plantae | Magnoliophyta | Liliopsida | Liliidae | Liliales | Liliaceae | Bloomeria,1
