"Crum ?, H."
Bassett
Crompton
TJS
H
SH
SSM
M
DSC
TR
BRM
JPK
CEG
SPVK
RH
JWB
WJB
TWS
PS
L.H.J.
WKW
JEE
EW
HHS
RJM
BI
JEC
ELN
KMW
FMM
Gilg. E.
Boechera pauciflora (Nutt.) Windham & Al-Shehbaz
J.H.S.
JAB
DWS
TA
O
SM
WHL
QK
KW
S.J.W.
J.E.C.
SW
STBL
SJW
IM
PAB
ACH
LR
RI
WD
RG
JB
GM
DNH
FM
LG
AK
HSO
MFB
WDI
RCT
DO
AEG
R.C.T.
"(Wolf, S.J.) White, D.J."
LMG
PEL
CC
DEC
DRG
FKS
KWC
IDM
CF
DTO
DAO
SB
HS
"Macdonald, I."
CH
DSO
DTS
CHZ
RB
GK
MJS
JL
WRK
JHM
CWA
S.J.I.
HRK
JEM
DH
PM
RKN
REW
SVK
G
DTC
B
Greenman
Beschell
RFW
CHR
H.J.S.
Bobbette
Ver. G.W.Argus
Doll
SGA
MJO
VRB
Oldham
S.A.E.
"|ugal, A.W."
R.M.A.
"Howell, a. Brazier"
"Preble, E.A. and Vernon Ba"
Hall E. Raymond
AHH
RMA
See Remarks
H.H.T.J.
JAM
Turton
RMA 1932
RMA 1933
Osgood
s1
RMA 1929
A.B.H.
1958
A.H.H.
A. H. H.
R.M.A.1930
RMA 1928
"Bailey, V. 1927"
van Zyll de Jong
Hb? (see Tag)
Awc
Vzdj
"Van Zyll De Jong, C.g."
Cgvzdj
CGvZdJ
C.G.v Z.d J.
C.G.v.Z.d.J.
Cg Vzdj
C.g. Vzdj
C.M.F.
"Causey, "
CMF
JTH
"Murina, Galena-Vanzetti"
Corwin et al
"C.M.F. (Fraser, C. McLean ?)"
"Ott, Bruce IDD+19760000"
"Kl., H. (or M.)"
R.C.O.
Verrill
"Seemen, O. von"
"Warner, George ?"
Hwang
CWS Path. Section
CWS Pathology Div.
CWS Path. Div.
CWS Path. lab
B.A.
Grasshoff
19900000
19830000
"Anderson, R.C. ?"
Macdonald College Lab
"Fulleborn, Prof."
Pathology ?
"Moravec,"
"Durette-Desset, M.-C."
Polley
"Beverly-Burton, Mary, et al."
unknown
CWS Pathology Unit
CWS Pathology Section
Path. Section
CWS Pathology
Pathology Section
Pathology Unit
"Rick, A. M. from eagle skeletons in NMC"
"Beverley-Burton, Mary, et al."
Malmberg
CWS Pathology Division
Redlich
CWS Path. Unit
Adrain & Wilson
Dineley & Loeffler
P.F. ?
J.C.M. ?
L.L.M. ?
E.M. ?
U.M.M.Z.
M.D. ?
D.W. ?
G.W. ?
R.E.D. ?
J.G.I.
M.A.S. ?
Others
Pease & Moore
Sterki
Thesauarus
L.S.R. ?
C.S.
Fernald
"Howe, R. Heber Jr."
L.S.B. ?
W.V.S.
"La Rocque, A. ?"
GEORGE TE
Marie-Victorin
Boivin & Calder
Seton & Preble
Thesuarus
"Staff, Bot. Div. Cent. Exp. Farm, Ottawa"
Beschel & Hainault
Ostenfeld
Baldwin & Porsild
"Staff, Botanical Div. CEFO"
"Staff, Botanical Div. Cent. Exp. Farm, Ottawa."
"Porsild, A.E.1949"
"Staff, Cent. Exp. Farm, Ottawa"
FWP
"Cowan, J. McT."
"Staff, Bot. Div. Central Exp. Farm, Ottawa"
"Staff, Botanical Division Central Experimental Farm, Ottawa"
"Staff, Bot. Div. Central Exp. Farm, Ottawa."
Thtesaurus
Fernald & Wiegand
"Girling, Rev. H."
Hitchcock and Chase
"Holm, Theo."
Harvill
"Ekman, El."
Frère Louis-Marie
"Macoun, John, 1896"
Marie-Anselm
"Ohenoja, E. & M."
"Suttill Uvic, Terri"
"Moore, R.-J."
"Boudier, Pierre vid R.B. Pierrot"
Database
MM
Grout.
Maass
"Chickering, J.W. Jr."
"Stebbins Jr., G.L."
"Nash III, T.H."
Hamre & Van Ingen
"Gibbs Jr., R.H."
"Vascular Plant Herbarium, Agriculture Canada, Central Experimental Farm"
