skey,site_id,start_latitude,start_longitude,start_latitude_dec,start_longitude_dec,problem
498045,3001675,"17° 3' 27"" S","65° 37' 60"" W",-17.0575,-65.633333,seconds too large
498046,3001676,"17° 7' 60"" S","65° 47' 24"" W",-17.133333,-65.79,seconds too large
498047,3001677,"17° 3' 27"" S","65° 37' 60"" W",-17.0575,-65.633333,seconds too large
498048,3001678,"17° 7' 60"" S","65° 47' 24"" W",-17.133333,-65.79,seconds too large
498049,3001679,"17° 7' 60"" S","65° 47' 24"" W",-17.133333,-65.79,seconds too large
498052,3001682,"17° 3' 27"" S","65° 37' 60"" W",-17.0575,-65.633333,seconds too large
498054,3001697,"17° 7' 60"" S","65° 43' 0"" W",-17.133333,-65.716667,seconds too large
498055,3001701,"17° 7' 60"" S","65° 47' 24"" W",-17.133333,-65.79,seconds too large
498057,3001703,"17° 3' 27"" S","65° 37' 60"" W",-17.0575,-65.633333,seconds too large
498058,3001714,"17° 7' 60"" S","65° 43' 0"" W",-17.133333,-65.716667,seconds too large
498059,3001716,"17° 9' 12"" S","65° 40' 60"" W",-17.153333,-65.683333,seconds too large
498060,3001717,"17° 3' 32"" S","65° 37' 60"" W",-17.058889,-65.633333,seconds too large
498062,3001719,"17° 9' 12"" S","65° 40' 60"" W",-17.153333,-65.683333,seconds too large
498063,3001720,"17° 3' 32"" S","65° 37' 60"" W",-17.058889,-65.633333,seconds too large
498067,3001724,"18° 34' 60"" N","95° 4' 0"" W",18.583333,-95.066667,seconds too large
498069,3001726,"18° 28' 60"" N","95° 4' 0"" W",18.483333,-95.066667,seconds too large
498070,3001727,"18° 28' 60"" N","95° 4' 0"" W",18.483333,-95.066667,seconds too large
498074,3001731,"17° 25' 0"" N","91° 55' 60"" W",17.416667,-91.933333,seconds too large
498075,3001732,"18° 34' 60"" N","95° 4' 0"" W",18.583333,-95.066667,seconds too large
498076,3001733,"18° 34' 60"" N","95° 4' 0"" W",18.583333,-95.066667,seconds too large
498077,3001734,"18° 34' 60"" N","95° 4' 0"" W",18.583333,-95.066667,seconds too large
498081,3001738,"16° 55' 42"" N","92° 4' 60"" W",16.928333,-92.083333,seconds too large
498090,3001747,"23° 1' 0"" N","99° 7' 60"" W",23.016667,-99.133333,seconds too large
498091,3001748,"14° 1' 0"" N","87° 4' 60"" W",14.016667,-87.083333,seconds too large
498092,3001749,"14° 1' 0"" N","87° 4' 60"" W",14.016667,-87.083333,seconds too large
498093,3001750,"14° 1' 0"" N","87° 4' 60"" W",14.016667,-87.083333,seconds too large
498096,3001753,"15° 7' 60"" N","86° 43' 0"" W",15.133333,-86.716667,seconds too large
498098,3001755,"14° 40' 60"" N","91° 31' 60"" W",14.683333,-91.533333,seconds too large
498099,3001756,"14° 55' 60"" N","89° 16' 0"" W",14.933333,-89.266667,seconds too large
498115,3001772,"8° 52' 60"" N","82° 34' 60"" W",8.883333,-82.583333,seconds too large
498117,3001774,"8° 52' 0"" N","82° 43' 60"" W",8.866667,-82.733333,seconds too large
498118,3001775,"8° 52' 0"" N","82° 43' 60"" W",8.866667,-82.733333,seconds too large
498120,3001777,"17° 7' 60"" S",65° 30' W,-17.133333,-65.5,seconds too large
498121,3001778,"17° 9' 23"" S","65° 37' 60"" W",-17.156389,-65.633333,seconds too large
498123,3001780,"17° 7' 60"" S",65° 30' W,-17.133333,-65.5,seconds too large
498124,3001781,"7° 43' 0"" N","72° 10' 60"" W",7.716667,-72.183333,seconds too large
498125,3001782,"7° 43' 0"" N","72° 10' 60"" W",7.716667,-72.183333,seconds too large
498126,3001783,"8° 31' 60"" N","71° 27' 7"" W",8.533333,-71.451944,seconds too large
498132,3001789,"2° 46' 60"" N","74° 51' 11"" W",2.783333,-74.853056,seconds too large
498133,3001790,"4° 34' 60"" N","73° 22' 60"" W",4.583333,-73.383333,seconds too large
498134,3001791,"5° 25' 60"" N","72° 40' 60"" W",5.433333,-72.683333,seconds too large
498135,3001792,"5° 25' 60"" N","72° 40' 60"" W",5.433333,-72.683333,seconds too large
498136,3001793,"8° 34' 60"" N","71° 13' 60"" W",8.583333,-71.233333,seconds too large
498138,3001795,"10° 19' 60"" N","67° 40' 60"" W",10.333333,-67.683333,seconds too large
498139,3001796,"10° 27' 31"" N","66° 58' 60"" W",10.458611,-66.983333,seconds too large
498140,3001797,"10° 31' 60"" N","66° 46' 0"" W",10.533333,-66.766667,seconds too large
498141,3001798,"10° 31' 60"" N","66° 46' 0"" W",10.533333,-66.766667,seconds too large
498142,3001799,"18° 34' 60"" N","95° 4' 0"" W",18.583333,-95.066667,seconds too large
498143,3001800,"21° 22' 0"" N","98° 16' 60"" W",21.366667,-98.283333,seconds too large
498144,3001801,"18° 34' 60"" N","95° 4' 0"" W",18.583333,-95.066667,seconds too large
498145,3001803,"17° 33' 27"" N","91° 58' 60"" W",17.5575,-91.983333,seconds too large
498146,3001804,22° 33' N,"99° 19' 60"" W",22.55,-99.333333,seconds too large
498149,3001807,"23° 1' 0"" N","99° 7' 60"" W",23.016667,-99.133333,seconds too large
498151,3001809,"18° 34' 60"" N","95° 4' 0"" W",18.583333,-95.066667,seconds too large
498152,3001810,"18° 13' 60"" N","95° 7' 0"" W",18.233333,-95.116667,seconds too large
498153,3001811,"22° 58' 60"" N","99° 7' 60"" W",22.983333,-99.133333,seconds too large
498154,3001812,"18° 52' 60"" N","96° 59' 36"" W",18.883333,-96.993333,seconds too large
498158,3001816,"23° 1' 0"" N","99° 7' 60"" W",23.016667,-99.133333,seconds too large
498161,3001819,"10° 25' 60"" N","84° 1' 0"" W",10.433333,-84.016667,seconds too large
498162,3001820,"10° 25' 60"" N","84° 1' 0"" W",10.433333,-84.016667,seconds too large
498163,3001821,"9° 37' 60"" N","82° 43' 0"" W",9.633333,-82.716667,seconds too large
498166,3001824,"7° 37' 60"" N","72° 34' 60"" W",7.633333,-72.583333,seconds too large
498167,3001825,"7° 37' 60"" N","72° 34' 60"" W",7.633333,-72.583333,seconds too large
498168,3001826,7° 45' N,"72° 31' 60"" W",7.75,-72.533333,seconds too large
498169,3001827,"4° 12' 24"" N","73° 46' 60"" W",4.206667,-73.783333,seconds too large
498170,3001828,"6° 1' 60"" N","74° 58' 60"" W",6.033333,-74.983333,seconds too large
498174,3001832,"7° 40' 60"" N","61° 57' 11"" W",7.683333,-61.953056,seconds too large
498175,3001833,"9° 55' 60"" N","67° 10' 0"" W",9.933333,-67.166667,seconds too large
498177,3001835,"10° 13' 0"" N","67° 19' 60"" W",10.216667,-67.333333,seconds too large
498178,3001836,"10° 16' 60"" N","67° 37' 0"" W",10.283333,-67.616667,seconds too large
498179,3001837,"10° 19' 0"" N","68° 4' 60"" W",10.316667,-68.083333,seconds too large
498180,3001838,"10° 23' 18"" N","67° 37' 60"" W",10.388333,-67.633333,seconds too large
498181,3001839,"10° 10' 0"" N","63° 31' 60"" W",10.166667,-63.533333,seconds too large
498182,3001842,"10° 1' 60"" N",63° 36' W,10.033333,-63.6,seconds too large
498183,3001844,"10° 4' 60"" N","66° 28' 60"" W",10.083333,-66.483333,seconds too large
498184,3001845,"10° 13' 60"" N","67° 1' 0"" W",10.233333,-67.016667,seconds too large
498185,3001846,"10° 34' 60"" N","62° 58' 60"" W",10.583333,-62.983333,seconds too large
498187,3001848,"7° 34' 0"" N","72° 4' 60"" W",7.566667,-72.083333,seconds too large
498188,3001849,"7° 40' 60"" N","72° 21' 27"" W",7.683333,-72.3575,seconds too large
498189,3001850,"9° 49' 60"" N","72° 52' 24"" W",9.833333,-72.873333,seconds too large
498190,3001851,"10° 43' 0"" N","61° 16' 60"" W",10.716667,-61.283333,seconds too large
498191,3001852,"10° 43' 0"" N","61° 16' 60"" W",10.716667,-61.283333,seconds too large
498192,3001853,"10° 43' 0"" N","61° 16' 60"" W",10.716667,-61.283333,seconds too large
498193,3001854,"10° 43' 0"" N","61° 16' 60"" W",10.716667,-61.283333,seconds too large
498194,3001855,"10° 43' 0"" N","61° 16' 60"" W",10.716667,-61.283333,seconds too large
498195,3001856,"10° 28' 0"" N","61° 10' 60"" W",10.466667,-61.183333,seconds too large
498196,3001857,"10° 40' 60"" N","61° 25' 36"" W",10.683333,-61.426667,seconds too large
498197,3001858,"10° 43' 60"" N","61° 31' 48"" W",10.733333,-61.53,seconds too large
498199,3001860,"10° 43' 60"" N","61° 16' 60"" W",10.733333,-61.283333,seconds too large
498200,3001862,"10° 43' 60"" N","61° 16' 60"" W",10.733333,-61.283333,seconds too large
498202,3001864,"10° 43' 60"" N","61° 16' 60"" W",10.733333,-61.283333,seconds too large
498203,3001865,"10° 43' 60"" N","61° 16' 60"" W",10.733333,-61.283333,seconds too large
498208,3001870,"15° 31' 60"" N","88° 43' 18"" W",15.533333,-88.721667,seconds too large
498209,3001871,"17° 7' 60"" N",88° 42' W,17.133333,-88.7,seconds too large
498214,3001876,"10° 25' 60"" N","84° 1' 0"" W",10.433333,-84.016667,seconds too large
498215,3001877,"9° 52' 60"" N","83° 37' 60"" W",9.883333,-83.633333,seconds too large
498216,3001878,"10° 25' 60"" N","84° 1' 0"" W",10.433333,-84.016667,seconds too large
498224,3001886,"4° 4' 60"" N","73° 21' 7"" W",4.083333,-73.351944,seconds too large
498230,3001906,0° 51' N,"78° 43' 60"" W",0.85,-78.733333,seconds too large
498231,3001907,"1° 27' 36"" S","78° 13' 60"" W",-1.46,-78.233333,seconds too large
498232,3001908,"1° 28' 60"" S","77° 31' 60"" W",-1.483333,-77.533333,seconds too large
498241,3001917,"12° 41' 30"" S","69° 1' 60"" W",-12.691667,-69.033333,seconds too large
498242,3001918,"11° 55' 60"" S","71° 16' 60"" W",-11.933333,-71.283333,seconds too large
498244,3001920,"12° 37' 60"" S","71° 16' 0"" W",-12.633333,-71.266667,seconds too large
498245,3001921,"17° 10' 0"" S","65° 46' 60"" W",-17.166667,-65.783333,seconds too large
498249,3001939,"17° 7' 60"" S","65° 44' 54"" W",-17.133333,-65.748333,seconds too large
498250,3001940,"17° 3' 32"" S","65° 37' 60"" W",-17.058889,-65.633333,seconds too large
498251,3001941,"17° 9' 12"" S","65° 40' 60"" W",-17.153333,-65.683333,seconds too large
498253,3001943,"10° 31' 60"" N","66° 46' 0"" W",10.533333,-66.766667,seconds too large
498254,3001944,"10° 31' 60"" N","66° 46' 0"" W",10.533333,-66.766667,seconds too large
498255,3001945,"10° 25' 60"" N","67° 40' 60"" W",10.433333,-67.683333,seconds too large
498257,3001947,"11° 10' 0"" N","69° 40' 60"" W",11.166667,-69.683333,seconds too large
498258,3001948,"11° 10' 0"" N","69° 40' 60"" W",11.166667,-69.683333,seconds too large
498260,3001950,"10° 19' 60"" N","67° 40' 60"" W",10.333333,-67.683333,seconds too large
498261,3001951,"10° 19' 60"" N","67° 40' 0"" W",10.333333,-67.666667,seconds too large
498262,3001952,"7° 57' 20"" N","72° 4' 60"" W",7.955556,-72.083333,seconds too large
498263,3001953,"7° 57' 20"" N","72° 4' 60"" W",7.955556,-72.083333,seconds too large
498265,3001955,"6° 37' 60"" N","61° 34' 60"" W",6.633333,-61.583333,seconds too large
498267,3001957,"6° 31' 60"" N","61° 34' 0"" W",6.533333,-61.566667,seconds too large
498268,3001958,"6° 58' 0"" N","64° 52' 60"" W",6.966667,-64.883333,seconds too large
498270,3001960,"7° 40' 60"" N",64° 18' W,7.683333,-64.3,seconds too large
498271,3650010,"1° 4' 0"" S","77° 40' 60"" W",-1.066667,-77.683333,seconds too large
498272,3650011,"1° 4' 0"" S","77° 40' 60"" W",-1.066667,-77.683333,seconds too large
498273,3650012,"4° 43' 60"" N","52° 13' 0"" W",4.733333,-52.216667,seconds too large
498277,3650016,"4° 31' 60"" N","52° 7' 60"" W",4.533333,-52.133333,seconds too large
498289,3650028,"4° 31' 60"" N","52° 7' 60"" W",4.533333,-52.133333,seconds too large
498290,3650029,"4° 43' 60"" N","52° 13' 0"" W",4.733333,-52.216667,seconds too large
498296,3650035,"4° 53' 36"" N","54° 37' 60"" W",4.893333,-54.633333,seconds too large
498304,3650070,"8° 40' 60"" N","83° 28' 0"" W",8.683333,-83.466667,seconds too large
498312,5260573,"17° 1' 0"" S","65° 31' 60"" W",-17.016667,-65.533333,seconds too large
498319,5260583,"7° 25' 60"" N","61° 33' 18"" W",7.433333,-61.555,seconds too large
498320,5260584,"2° 34' 60"" S","76° 11' 30"" W",-2.583333,-76.191667,seconds too large
498321,5260585,"1° 4' 0"" S","77° 40' 60"" W",-1.066667,-77.683333,seconds too large
498323,5260587,"1° 4' 0"" S","77° 40' 60"" W",-1.066667,-77.683333,seconds too large
498324,5260588,"1° 4' 0"" S","77° 40' 60"" W",-1.066667,-77.683333,seconds too large
498325,5260589,"1° 4' 0"" S","77° 40' 60"" W",-1.066667,-77.683333,seconds too large
498328,5260592,"4° 7' 0"" N","73° 28' 60"" W",4.116667,-73.483333,seconds too large
498331,6260596,"2° 55' 0"" N","67° 25' 60"" W",2.916667,-67.433333,seconds too large
498333,6260601,"3° 0' 12"" N","76° 40' 60"" W",3.003333,-76.683333,seconds too large
498334,6260602,"1° 3' 28"" S","77° 52' 60"" W",-1.057778,-77.883333,seconds too large
498336,6260604,"4° 10' 60"" S","69° 55' 60"" W",-4.183333,-69.933333,seconds too large
498337,6260605,"4° 10' 60"" S","69° 55' 60"" W",-4.183333,-69.933333,seconds too large
498338,6260606,"4° 10' 60"" S","69° 55' 60"" W",-4.183333,-69.933333,seconds too large
498339,6260607,"2° 31' 60"" S","77° 55' 12"" W",-2.533333,-77.92,seconds too large
498342,6260684,"7° 19' 60"" S","75° 1' 0"" W",-7.333333,-75.016667,seconds too large
498346,6260728,"2° 19' 0"" S","60° 4' 60"" W",-2.316667,-60.083333,seconds too large
498347,6260729,"2° 19' 0"" S","60° 4' 60"" W",-2.316667,-60.083333,seconds too large
498348,6260747,"3° 0' 12"" N","76° 40' 60"" W",3.003333,-76.683333,seconds too large
498349,6260748,"1° 37' 0"" S","77° 49' 60"" W",-1.616667,-77.833333,seconds too large
498350,6260749,"1° 3' 28"" S","77° 52' 60"" W",-1.057778,-77.883333,seconds too large
498352,6350003,"15° 25' 60"" S","55° 45' 29"" W",-15.433333,-55.758056,seconds too large
498356,6350050,"23° 40' 0"" S","48° 1' 60"" W",-23.666667,-48.033333,seconds too large
498358,6350074,"27° 10' 60"" S","52° 22' 60"" W",-27.183333,-52.383333,seconds too large
498360,6350091,"4° 4' 0"" S","70° 4' 60"" W",-4.066667,-70.083333,seconds too large
498361,6350092,"4° 4' 0"" S","69° 58' 60"" W",-4.066667,-69.983333,seconds too large
498362,6350093,"9° 19' 60"" N",79° 54' W,9.333333,-79.9,seconds too large
498367,6350107,"21° 20' 42"" N","99° 4' 60"" W",21.345,-99.083333,seconds too large
498373,6350304,"8° 40' 60"" N","79° 55' 0"" W",8.683333,-79.916667,seconds too large
498374,6350356,"8° 46' 0"" N","82° 40' 60"" W",8.766667,-82.683333,seconds too large
498376,6350433,"8° 40' 60"" N","79° 55' 0"" W",8.683333,-79.916667,seconds too large
498381,6350468,"3° 46' 0"" S","49° 40' 60"" W",-3.766667,-49.683333,seconds too large
498382,6350471,"2° 55' 60"" S","51° 51' 10"" W",-2.933333,-51.852778,seconds too large
498385,6350492,"4° 10' 60"" S","69° 55' 60"" W",-4.183333,-69.933333,seconds too large
498387,6350501,"10° 4' 0"" N","66° 28' 60"" W",10.066667,-66.483333,seconds too large
498389,6350504,"10° 1' 0"" N","66° 25' 60"" W",10.016667,-66.433333,seconds too large
498390,6350505,"4° 22' 60"" N","61° 43' 60"" W",4.383333,-61.733333,seconds too large
498391,6350506,"6° 7' 60"" N","61° 25' 0"" W",6.133333,-61.416667,seconds too large
498399,6350514,"7° 52' 60"" N","72° 15' 2"" W",7.883333,-72.250556,seconds too large
498400,6350515,"7° 43' 30"" N","72° 10' 60"" W",7.725,-72.183333,seconds too large
498401,6350516,"7° 55' 60"" N","71° 43' 0"" W",7.933333,-71.716667,seconds too large
498403,6350518,"7° 43' 60"" N","72° 10' 60"" W",7.733333,-72.183333,seconds too large
498404,6350519,"8° 4' 60"" N","61° 44' 54"" W",8.083333,-61.748333,seconds too large
498405,6350520,"10° 40' 0"" N","61° 22' 60"" W",10.666667,-61.383333,seconds too large
498407,6350522,"10° 43' 60"" N","61° 22' 6"" W",10.733333,-61.368333,seconds too large
498408,6350523,"10° 43' 60"" N","61° 22' 6"" W",10.733333,-61.368333,seconds too large
498409,6350524,"10° 43' 60"" N","61° 25' 60"" W",10.733333,-61.433333,seconds too large
498410,6350525,"10° 43' 60"" N","61° 25' 60"" W",10.733333,-61.433333,seconds too large
498411,6350526,"10° 43' 60"" N","61° 22' 6"" W",10.733333,-61.368333,seconds too large
498413,6350528,"3° 19' 60"" N","55° 25' 60"" W",3.333333,-55.433333,seconds too large
498416,6350531,"27° 4' 0"" S","55° 37' 60"" W",-27.066667,-55.633333,seconds too large
498419,6350535,"26° 37' 60"" S","55° 39' 30"" W",-26.633333,-55.658333,seconds too large
498420,6350536,"28° 33' 9"" S","56° 1' 60"" W",-28.5525,-56.033333,seconds too large
498423,6350539,"27° 20' 12"" S","55° 31' 60"" W",-27.336667,-55.533333,seconds too large
498425,6350541,"26° 49' 0"" S","59° 40' 60"" W",-26.816667,-59.683333,seconds too large
498426,6350542,"26° 49' 0"" S","59° 40' 60"" W",-26.816667,-59.683333,seconds too large
498428,6350544,"4° 25' 0"" S","59° 34' 60"" W",-4.416667,-59.583333,seconds too large
498431,6350562,"3° 46' 0"" S","49° 40' 60"" W",-3.766667,-49.683333,seconds too large
498432,6350563,"19° 7' 60"" S","44° 12' 6"" W",-19.133333,-44.201667,seconds too large
498439,6350618,"14° 13' 60"" S","56° 7' 60"" W",-14.233333,-56.133333,seconds too large
498440,6350624,"14° 40' 0"" S","56° 16' 60"" W",-14.666667,-56.283333,seconds too large
498441,6350625,"14° 40' 0"" S","56° 16' 60"" W",-14.666667,-56.283333,seconds too large
498442,6350626,"14° 40' 0"" S","56° 16' 60"" W",-14.666667,-56.283333,seconds too large
498443,6350627,"14° 40' 0"" S","56° 16' 60"" W",-14.666667,-56.283333,seconds too large
498445,6350639,"14° 40' 0"" S","56° 16' 60"" W",-14.666667,-56.283333,seconds too large
498446,6350640,"14° 40' 0"" S","56° 16' 60"" W",-14.666667,-56.283333,seconds too large
498448,6350650,"14° 13' 60"" S","56° 7' 60"" W",-14.233333,-56.133333,seconds too large
498449,6350657,"14° 22' 60"" S","56° 9' 18"" W",-14.383333,-56.155,seconds too large
498450,6350681,"18° 34' 60"" N","95° 4' 0"" W",18.583333,-95.066667,seconds too large
498451,6350682,"18° 34' 60"" N","95° 4' 0"" W",18.583333,-95.066667,seconds too large
498452,6350683,"18° 34' 60"" N","95° 4' 0"" W",18.583333,-95.066667,seconds too large
498453,6350684,"18° 34' 60"" N","95° 4' 0"" W",18.583333,-95.066667,seconds too large
498454,6350700,"4° 16' 0"" N","54° 43' 60"" W",4.266667,-54.733333,seconds too large
498455,6350701,5° 3' N,"66° 19' 60"" W",5.05,-66.333333,seconds too large
498456,6350702,5° 3' N,"66° 19' 60"" W",5.05,-66.333333,seconds too large
498458,6350704,"4° 1' 60"" S","70° 6' 30"" W",-4.033333,-70.108333,seconds too large
498460,6350706,"7° 13' 60"" N","65° 10' 0"" W",7.233333,-65.166667,seconds too large
498462,6351063,"16° 26' 30"" N","94° 25' 60"" W",16.441667,-94.433333,seconds too large
498463,FG000013,"10° 10' 60"" S",59° 48' W,-10.183333,-59.8,seconds too large
498466,FG000047,"10° 57' 18"" N","85° 28' 60"" W",10.955,-85.483333,seconds too large
498467,FG000073,"1° 10' 0"" N","78° 46' 60"" W",1.166667,-78.783333,seconds too large
498474,FG000158,"23° 37' 60"" S","45° 52' 0"" W",-23.633333,-45.866667,seconds too large
498475,FG000159,"25° 25' 60"" S","56° 1' 0"" W",-25.433333,-56.016667,seconds too large
498476,FG000161,"23° 25' 0"" S","56° 28' 60"" W",-23.416667,-56.483333,seconds too large
498479,FG000164,"10° 19' 60"" N","67° 40' 60"" W",10.333333,-67.683333,seconds too large
498481,FG000166,"0° 39' 6"" S","76° 25' 60"" W",-0.651667,-76.433333,seconds too large
498484,FG000169,"4° 10' 60"" S","69° 55' 60"" W",-4.183333,-69.933333,seconds too large
498485,FG000170,"4° 10' 60"" S","69° 55' 60"" W",-4.183333,-69.933333,seconds too large
498486,FG000171,"4° 10' 60"" S","69° 55' 60"" W",-4.183333,-69.933333,seconds too large
498730,CAN 30255,"43° 21' 21"" N",0801838'W ,43.355833,,degrees impossible
498969,CMNMA 54620,91° 60' N,95° 10' W,92.0,-95.166667,"off Earth or 0,0"
499227,CMNMA 54985,95° 30' N,61° 10' W,95.5,-61.166667,"off Earth or 0,0"
499251,CMNMA 55035,94° 30' N,61° 0' W,94.5,-61.0,"off Earth or 0,0"
499420,CANL 30303,47° 20' N,08435-W ,47.333333,,degrees impossible
499445,CANL 45114,48° 79' N,89° 41' W,49.316667,-89.683333,minutes too large
499465,CAN 303462,"63° 56' 31"" N",1351103 ,63.941944,,degrees impossible
499544,CANL 122538,"45° 13' 32"" N","76° 11' 60"" W",45.225556,-76.2,seconds too large
499934,CANL 14299,75° 56' N,197° 52' W,75.933333,-197.866667,"off Earth or 0,0"
499999,CANL 14315,38° 28' N,,38.466667,,incomplete pair
500087,CANL 21340,"56° 32' 25"" N",1174951 ,56.540278,,degrees impossible
500643,CAN 591972,"34° 17' 34"" N","109° 22' 91"" W",34.292778,-109.391944,seconds too large
500654,CAN 591983,"33° 43' 41"" N",,33.728056,,incomplete pair
500681,CANM 321534,46° 48' N,6041--W ,46.8,,degrees impossible
501333,CAN 585749,60° 11' N,,60.183333,,incomplete pair
501349,CANL 7597,48° 57' N,08814 ,48.95,,degrees impossible
501537,CANM 330647,"45° 23' 38"" N",740740W ,45.393889,,degrees impossible
501750,CAN 510216,49° 40' N,,49.666667,,incomplete pair
501751,CAN 510215,49° 30' N,,49.5,,incomplete pair
501955,CANL 9117,53° 59' N,9750--W ,53.983333,,degrees impossible
502000,CANL 67367,55° 84' N,"86° 45' 20"" W",56.4,-86.755556,minutes too large
502726,CANL 27808,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
502729,CANL 27825,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
502888,CANL 66009,"46° 45' 35"" N",5358--W ,46.759722,,degrees impossible
502889,CANL 66011,"46° 45' 35"" N",5358--W ,46.759722,,degrees impossible
502900,CANL 57444,48° 70' N,125° 10' W,49.166667,-125.166667,minutes too large
502948,B&JG 2001.X.04-21-UG,"0° 33' 92"" N","30° 21' 35"" W",0.575556,-30.359722,seconds too large
503000,CAN 593368,"66° 50' 22"" N",1080205 ,66.839444,,degrees impossible
503127,CAN 99613,70° 29' N,,70.483333,,incomplete pair
503128,CAN 99614,67° 49' N,,67.816667,,incomplete pair
503292,CAN 272913,62° 40' N,,62.666667,,incomplete pair
503320,CAN 586675,"45° 18' 13"" N","75° 41' 85"" W",45.303611,-75.706944,seconds too large
503363,CAN 365774,48° N,6415--W ,48.0,,degrees impossible
503469,CAN 509411,67° 44' N,,67.733333,,incomplete pair
503475,CAN 586678,"45° 18' 13"" N","75° 41' 85"" W",45.303611,-75.706944,seconds too large
503482,CAN 589333,6139181N,14050688W,,,degrees impossible
503484,CAN 589224,6117097N,13843916W,,,degrees impossible
503526,CAN 44826,60° 28' N,,60.466667,,incomplete pair
503529,CAN 228975,52° N,,52.0,,incomplete pair
503531,CAN 228973,52° N,,52.0,,incomplete pair
503534,CAN 228974,54° 30' N,,54.5,,incomplete pair
503559,CANL 45135,48° 79' N,89° 41' W,49.316667,-89.683333,minutes too large
503560,CANL 45136,48° 79' N,89° 41' W,49.316667,-89.683333,minutes too large
503582,CANM 131943,"43° 56' 65"" N","79° 44' 23"" W",43.951389,-79.739722,seconds too large
503586,CANM 131945,"43° 56' 60"" N","79° 53' 58"" W",43.95,-79.899444,seconds too large
503673,CANM 231305,"44° 37' 11"" N",0811620W ,44.619722,,degrees impossible
510516,CANL 27834,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
510517,CANL 27842,91° 45' N,79° 25' W,91.75,-79.416667,"off Earth or 0,0"
510701,CAN 258879,,"69° 35' 23"" ",,69.589722,incomplete pair
510716,CAN 59495,77° 47' N,,77.783333,,incomplete pair
510738,P9805,"76° 17' 26"" N",,76.29055,-91.195,incomplete pair
510750,CAN 205405,76° 30' N,,76.5,,incomplete pair
510757,CAN 59496,77° 54' N,,77.9,,incomplete pair
510760,CAN 59490,70° 24' N,,70.4,,incomplete pair
510764,CAN 59468,76° 32' N,,76.533333,,incomplete pair
510832,CAN 509772,70° 30' N,,70.5,,incomplete pair
510833,CAN 509773,69° 15' N,,69.25,,incomplete pair
510840,CAN 59476,69° 15' N,,69.25,,incomplete pair
510844,CAN 59473,69° 15' N,,69.25,,incomplete pair
510846,CAN 59471,60° 45' N,,60.75,,incomplete pair
510852,CAN 59494,61° 33' N,,61.55,,incomplete pair
510920,P200901(NU),,"94° 4' 29"" W",61.11161,-94.074722,incomplete pair
510995,CANL 27522,49° 55' N,114° 98' W,49.916667,-115.633333,minutes too large
511034,CAN 212354,145° 0' N,69° 20' W,145.0,-69.333333,"off Earth or 0,0"
511057,CAN 59469,77° 53' N,,77.883333,,incomplete pair
511077,CAN 59493,74° 18' N,,74.3,,incomplete pair
511078,CAN 59480,70° N,,70.0,,incomplete pair
511085,CAN 59479,70° 45' N,,70.75,,incomplete pair
511086,CAN 59472,70° 59' N,,70.983333,,incomplete pair
511087,CAN 59477,69° 15' N,,69.25,,incomplete pair
511088,CAN 315859,71° 30' N,,71.5,,incomplete pair
511089,CAN 315944,70° N,,70.0,,incomplete pair
511090,CAN 59501,71° 52' N,,71.866667,,incomplete pair
511091,CAN 59474,70° 4' N,,70.066667,,incomplete pair
511092,CAN 59478,61° 33' N,,61.55,,incomplete pair
511093,CAN 257611,66° 27' N,,66.45,,incomplete pair
511311,P200801(NU),"69° 14' 42,749"" N",,69.245208,-89.284746,incomplete pair
511809,CAN 153728,62° N,,62.0,,incomplete pair
512128,CAN 586685,"4508° 54' 0"" N","7537° 24' 0"" W",4508.9,7537.4,"off Earth or 0,0"
512181,CANL 41728,"45° 30' 222"" N","78° 44' 16"" ",45.561667,78.737778,seconds too large
512623,P9904,"79° 55' 0"" N","89° 1' 60"" W",79.916667,-89.033333,seconds too large
512911,CANM 236868,"45° 33' 51"" N",,45.564167,,incomplete pair
512942,CAN 590026,70° N,,70.0,,incomplete pair
512943,CAN 590027,70° N,,70.0,,incomplete pair
512993,CANM 328170,"46° 47' 51"" N","840° 0' 47"" W",46.7975,-840.013056,"off Earth or 0,0"
513189,CANM 176898,"45° 40' 6"" N","81° 81' 4"" W",45.668333,-82.351111,minutes too large
513307,CAN 588198,"60° 39' 29"" N","135° 13' 31"" W",0.0,0.0,"off Earth or 0,0"
513327,CAN 84520,68° 55' N,,68.916667,,incomplete pair
513334,CAN 504291,49° 5' W,,-49.083333,,incomplete pair
513766,CAN 234278,68° 41' N,,68.683333,,incomplete pair
514235,CAN 310036,93° 49' N,49° 10' W,93.816667,-49.166667,"off Earth or 0,0"
514459,CAN 84533,61° N,,61.0,,incomplete pair
514592,CAN 471227,,67° ,,67.0,incomplete pair
514595,CAN 131545,66° 40' N,,66.666667,,incomplete pair
514743,CAN 61926,53° N,,53.0,,incomplete pair
514830,CAN 33507,65° 50' N,,65.833333,,incomplete pair
514831,CAN 40018,65° 50' N,,65.833333,,incomplete pair
515034,CAN 510047,52° 56' N,,52.933333,,incomplete pair
515481,CAN 102385,68° 55' N,,68.916667,,incomplete pair
515483,CAN 102386,68° 40' N,,68.666667,,incomplete pair
