ID Number,OtherNumber,Type
CAN 107658,227,collector no./field no.
CAN 107778,185,collector no./field no.
CAN 107833,"81,550",collector no./field no.
CAN 107909,537,collector no./field no.
CAN 107910,91087,old CMN catalogue number format
CAN 107912,59084,old CMN catalogue number format
CAN 107913,26256,old CMN catalogue number format
CAN 107948,9490,collector no./field no.
CAN 107949,9480,collector no./field no.
CAN 107950,10353,collector no./field no.
CAN 108117,10046,collector no./field no.
CAN 108118,10631,collector no./field no.
CAN 108119,10702,collector no./field no.
CAN 108120,9489,collector no./field no.
CAN 108121,9750,collector no./field no.
CAN 108122,no data,collector no./field no.
CAN 108123,9665,collector no./field no.
CAN 108124,64,collector no./field no.
CAN 108125,12054,collector no./field no.
CAN 108191,369,collector no./field no.
CAN 108192,9749,collector no./field no.
CAN 108193,9994,collector no./field no.
CAN 108194,719,collector no./field no.
CAN 108195,11952,collector no./field no.
CAN 108196,79016,collector no./field no.
CAN 108197,127586,collector no./field no.
CAN 108198,518a,collector no./field no.
CAN 108199,191,collector no./field no.
CAN 108200,9547,collector no./field no.
CAN 108201,9360,collector no./field no.
CAN 108261,9479,collector no./field no.
CAN 108279,290,collector no./field no.
CAN 108280,99,collector no./field no.
CAN 108281,79007,collector no./field no.
CAN 108282,14629,collector no./field no.
CAN 108283,13,collector no./field no.
CAN 108284,7199,collector no./field no.
CAN 108285,6911,collector no./field no.
CAN 108286,79008,collector no./field no.
CAN 108287,895,collector no./field no.
CAN 108288,696,collector no./field no.
CAN 108289,9748,collector no./field no.
CAN 108290,10230,collector no./field no.
CAN 108369,10096,collector no./field no.
CAN 108370,9341,collector no./field no.
CAN 108384,371,collector no./field no.
CAN 108385,10147,collector no./field no.
CAN 108386,11439,collector no./field no.
CAN 108387,9861,collector no./field no.
CAN 108388,101328,collector no./field no.
CAN 108389,10864,collector no./field no.
CAN 108390,314,collector no./field no.
CAN 108391,380,collector no./field no.
CAN 108392,9666,collector no./field no.
CAN 108393,66,collector no./field no.
CAN 108394,129,collector no./field no.
CAN 108395,79011,collector no./field no.
CAN 108396,79013,collector no./field no.
CAN 108397,9703,collector no./field no.
CAN 108398,10029,collector no./field no.
CAN 108408,9478,collector no./field no.
CAN 108409,89996,collector no./field no.
CAN 108410,90000,collector no./field no.
CAN 108411,7200,collector no./field no.
CAN 108412,7202,collector no./field no.
CAN 108413,7201,collector no./field no.
CAN 108414,127587,collector no./field no.
CAN 108518,9950,collector no./field no.
CAN 108519,10930,collector no./field no.
CAN 108520,10930,collector no./field no.
CAN 108521,10097,collector no./field no.
CAN 108522,9751,collector no./field no.
CAN 108523,9339,collector no./field no.
CAN 108524,9361,collector no./field no.
CAN 108525,9385,collector no./field no.
CAN 108665,11270,collector no./field no.
CAN 108671,7115,collector no./field no.
CAN 108682,9675,collector no./field no.
CAN 108683,9759,collector no./field no.
CAN 108685,10098,collector no./field no.
CAN 108686,10333,collector no./field no.
CAN 108687,9342,collector no./field no.
CAN 108688,9329,collector no./field no.
CAN 108689,11.158,collector no./field no.
CAN 108690,10229,collector no./field no.
CAN 108691,701,collector no./field no.
CAN 108692,60,collector no./field no.
CAN 108694,258,collector no./field no.
CAN 108695,no data,collector no./field no.
CAN 108696,93344,collector no./field no.
CAN 108697,83,collector no./field no.
CAN 108698,no data,collector no./field no.
CAN 108699,136,collector no./field no.
CAN 108700,9648,collector no./field no.
CAN 108701,287,collector no./field no.
CAN 108702,288,collector no./field no.
CAN 108705,97,collector no./field no.
CAN 108706,98,collector no./field no.
CAN 108779,11733,collector no./field no.
CAN 108870,7208,collector no./field no.
CAN 109090,11942,collector no./field no.
CAN 109091,10146,collector no./field no.
CAN 109092,9634,collector no./field no.
CAN 109093,9756,collector no./field no.
CAN 109094,9947,collector no./field no.
CAN 109095,9787,collector no./field no.
CAN 109096,9862,collector no./field no.
CAN 109097,83057,collector no./field no.
CAN 109098,80667,collector no./field no.
CAN 109099,61,collector no./field no.
CAN 109117,116,collector no./field no.
CAN 109118,423,collector no./field no.
CAN 109119,91873,collector no./field no.
CAN 109158,11053,collector no./field no.
CAN 109159,10932,collector no./field no.
CAN 109180,11016,collector no./field no.
CAN 109181,11054,collector no./field no.
CAN 109182,10467,collector no./field no.
CAN 109183,10080,collector no./field no.
CAN 109184,9635,collector no./field no.
CAN 109185,9948,collector no./field no.
CAN 109186,9755,collector no./field no.
CAN 109187,9972,collector no./field no.
CAN 109188,10047,collector no./field no.
CAN 109189,11102,collector no./field no.
CAN 109190,292,collector no./field no.
CAN 109195,93348,collector no./field no.
CAN 109329,124,collector no./field no.
CAN 109330,143,collector no./field no.
CAN 109331,9293,collector no./field no.
CAN 109332,11176,collector no./field no.
CAN 109333,10701,collector no./field no.
CAN 109334,10060,collector no./field no.
CAN 109335,10060,collector no./field no.
CAN 109336,10059,collector no./field no.
CAN 109337,12501,collector no./field no.
CAN 109431,10228,collector no./field no.
CAN 109432,10423,collector no./field no.
CAN 109433,10934,collector no./field no.
CAN 109434,11394,collector no./field no.
CAN 109435,11374,collector no./field no.
CAN 109436,11375,collector no./field no.
CAN 109437,11269,collector no./field no.
CAN 109465,634,collector no./field no.
CAN 109466,415,collector no./field no.
CAN 109467,590,collector no./field no.
CAN 109468,231,collector no./field no.
CAN 109548,119369,collector no./field no.
CAN 109549,651a,collector no./field no.
CAN 109550,10320,collector no./field no.
CAN 109551,10527,collector no./field no.
CAN 109552,9380,collector no./field no.
CAN 109553,9416,collector no./field no.
CAN 109554,10933,collector no./field no.
CAN 109555,10079,collector no./field no.
CAN 109556,11103,collector no./field no.
CAN 109557,9938,collector no./field no.
CAN 109564,10872,collector no./field no.
CAN 109565,10321,collector no./field no.
CAN 109566,10424,collector no./field no.
CAN 109567,10632,collector no./field no.
CAN 109568,11494,collector no./field no.
CAN 109569,11495,collector no./field no.
CAN 109620,761,collector no./field no.
CAN 109621,357,collector no./field no.
CAN 109622,10323,
CAN 109756,10583,collector no./field no.
CAN 109777,11777,collector no./field no.
CAN 109778,11777,collector no./field no.
CAN 109779,10935,collector no./field no.
CAN 109783,697,collector no./field no.
CAN 109784,291,collector no./field no.
