speckey,scientific_name,authority,rank,hierarchy,total,CA-US_total,CA-US_breakdown
1151112,Coturnix coturnix,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Coturnix,4,1,"{:nil=>1, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1151113,Coturnix delegorguei,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Coturnix,2,0,
1167449,Coturnix chinensis,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Coturnix,2,0,
1151115,Gallus gallus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Gallus,44,18,"{:nil=>0, :B=>0, :E=>0, :S=>11, :T=>0, :Z=>7}"
1151127,Perdix hodgsoniae,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Perdix,3,0,
1151128,Perdix perdix,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Perdix,84,81,"{:nil=>61, :B=>3, :E=>2, :S=>9, :T=>6, :Z=>0}"
1151130,Phasianus colchicus,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Phasianus,56,46,"{:nil=>26, :B=>2, :E=>4, :S=>2, :T=>12, :Z=>0}"
1151132,Syrmaticus ellioti,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Syrmaticus,1,0,
1151133,Syrmaticus soemmerringii,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Syrmaticus,2,1,"{:nil=>0, :B=>0, :E=>0, :S=>0, :T=>1, :Z=>0}"
1167457,Syrmaticus reevesii,,species,Animalia; Chordata; Vertebrata; Aves; Galliformes; Phasianidae; Phasianinae; Syrmaticus,2,2,"{:nil=>0, :B=>0, :E=>0, :S=>0, :T=>2, :Z=>0}"
1150432,Dendrocygna autumnalis,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Dendrocygninae; Dendrocygna,4,3,"{:nil=>3, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150433,Dendrocygna bicolor,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Dendrocygninae; Dendrocygna,8,7,"{:nil=>6, :B=>0, :E=>0, :S=>1, :T=>0, :Z=>0}"
1167462,Dendrocygna viduata,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Dendrocygninae; Dendrocygna,2,0,
1150416,Chen caerulescens × Branta canadensis,,hybrid,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Chen × Branta,4,4,"{:nil=>4, :B=>0, :E=>0, :S=>0, :T=>0, :Z=>0}"
1150405,Anser albifrons,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Anser,73,67,"{:nil=>49, :B=>2, :E=>4, :S=>11, :T=>1, :Z=>0}"
1150406,Anser anser,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Anser,8,3,"{:nil=>1, :B=>0, :E=>0, :S=>2, :T=>0, :Z=>0}"
1150408,Anser anser × cygnoid,,hybrid,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Anser,6,3,"{:nil=>1, :B=>0, :E=>0, :S=>2, :T=>0, :Z=>0}"
1150412,Anser cygnoid,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Anser,4,2,"{:nil=>0, :B=>0, :E=>0, :S=>2, :T=>0, :Z=>0}"
1150430,Cygnus olor,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Cygnus,15,6,"{:nil=>4, :B=>0, :E=>0, :S=>2, :T=>0, :Z=>0}"
1167467,Cereopsis novaehollandiae,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Anserinae; Cereopsis,1,1,"{:nil=>0, :B=>0, :E=>0, :S=>1, :T=>0, :Z=>0}"
1150444,Chloephaga hybrida,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Tadorninae; Chloephaga,1,0,
1150445,Chloephaga melanoptera,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Tadorninae; Chloephaga,2,0,
1150446,Chloephaga picta,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Tadorninae; Chloephaga,1,0,
1150448,Malacorhynchus membranaceus,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Tadorninae; Malacorhynchus,1,0,
1150450,Tachyeres brachypterus,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Tadorninae; Tachyeres,1,0,
1150452,Tadorna ferruginea,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Tadorninae; Tadorna,1,0,
1150453,Tadorna tadorna,,species,Animalia; Chordata; Vertebrata; Aves; Anseriformes; Anatidae; Tadorninae; Tadorna,5,0,
