id_number,label_name,taxon_link,ident,id_date,type_status,higher_taxa,count,sex,coll_num,collector,place_collected,date_collected,spec_nature,description,acq_number,site_desc,altitude,lat,long,site_notes,home_loc
CMNAR 20023,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,21,,"","Schueler, Frederick W.","North America: Canada, Manitoba",1980-05-18,,,1980-253,"0.5 - 2 km. S. of Eriksdale, on Hwy. 6","",50.833333,-98.108333,,
CMNAR 20029,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,7,,"","Schueler, Frederick W.; Rankin, R. Michael","North America: Canada, Manitoba",1980-05-19,,,1980-253,2 km. WSW. of Fairford,"",51.595278,-98.727778,,
CMNAR 20040,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,9,,"","Schueler, Frederick W.; Rankin, R. Michael","North America: Canada, Manitoba",1980-05-20,,,1980-253,Hwy. 6 at William River,"",53.911111,-99.233333,,
CMNAR 20043,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,6,,"","Ross, Franklin D.; Baird, S.F.","North America: Canada, Manitoba",1980-05-20,,,1980-253,S. shore of Saskatchewan River at Grand Rapids,"",53.175,-99.248611,,
CMNAR 20070,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,11,,"","Ross, Franklin D.; Baird, S.F.","North America: Canada, Manitoba",1980-05-22,,,1980-253,6.6 km. NW. of Minago River on Jenpeg Rd.,"",54.583889,-98.208333,,
CMNAR 20079,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,6,,"","Ross, Franklin D.; Baird, S.F.","North America: Canada, Manitoba",1980-05-23,,,1980-253,"15 km. NW. of Seafalls Ferry on Jenpeg Rd., Ross Island","",54.251111,-97.609722,,
CMNAR 20088,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,2,,"","Schueler, Frederick W.; Rankin, R. Michael; Ross, Franklin D.","North America: Canada, Manitoba",1980-05-24,,,1980-253,16.3 rd. km. S. of Seafalls Ferry,"",54.1,-97.652778,,
CMNAR 20093,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,10,,"","Schueler, Frederick W.; Rankin, R. Michael","North America: Canada, Manitoba",1980-05-25,,,1980-253,"4.7 rd. km. SE. of Whiskey Jack Rd., Ross Island","",54.165278,-97.583333,,
CMNAR 20107,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,1,,"","Baird, S.F.","North America: Canada, Manitoba",1980-05-26,,,1980-253,"12.2 rd. km. SE. of Whiskey Jack Rd., Ross Island","",54.394444,-97.819444,,
CMNAR 20111,Pseudacris maculata,Pseudacris maculata,,"",,Animalia; Chordata; Vertebrata; Amphibia; Lissamphibia; Salientia; Anura; Neobatrachia; Bufonoidea; Hylidae; Hylinae; Pseudacris,17,,"","Schueler, Frederick W.","North America: Canada, Manitoba",1980-05-27,,,1980-253,7.7 km. NE. of Waboden turnoff on Hwy. 391,"",54.875,-98.6,,
