Tetrapodosaurus borealis,1164974,1164973,Fossil Vertebrate
Thescelosaurus neglectus,1164977,1164975,Fossil Vertebrate
Parksosaurus warreni,1164698,1164697,Fossil Vertebrate
Laosaurus minimus,1169209,1169208,Fossil Vertebrate
Stegoceras validum,1163525,1163526,Fossil Vertebrate
Hanssuesia sternbergi,1183458,1183456,Fossil Vertebrate
Colepiocephale lambei,1183462,1183460,Fossil Vertebrate
Prenocephale brevis,1183466,1183464,Fossil Vertebrate
Prenocephale edmontonensis,1183468,1183464,Fossil Vertebrate
Pachycephalosaurus wyomingensis,1174224,1174223,Fossil Vertebrate
Sphaerotholus buchholtzae,1195695,1195693,Fossil Vertebrate
Ankylosaurus magniventris,1195621,1169185,Fossil Vertebrate
Euoplocephalus tutus,1166922,1166921,Fossil Vertebrate
Edmontonia longiceps,1164221,1164220,Fossil Vertebrate
Palaeoscincus costatus,1171128,1169173,""
Panoplosaurus mirus,1167231,1167230,Fossil Vertebrate
Sphenodon punctatus,1076811,1076810,Amphibian and Reptile
Rhineura floridana,1077331,1077330,Amphibian and Reptile
Amphisbaena alba,1168876,1077328,Amphibian and Reptile
Charina bottae,1077390,1077389,Amphibian and Reptile
Eryx colubrinus,1077392,1077391,Amphibian and Reptile
Eryx colubrinus colubrinus,1077393,1077392,Amphibian and Reptile
Eryx colubrinus loveridgei,1077394,1077392,Amphibian and Reptile
Eryx jaculus,1077395,1077391,Amphibian and Reptile
Eryx miliaris,1077396,1077391,Amphibian and Reptile
Eryx johni,1077397,1077391,Amphibian and Reptile
Eryx conicus,1077398,1077391,Amphibian and Reptile
Lichanura trivirgata,1077400,1077399,""
Lichanura trivirgata roseofusca,1077401,1077400,Amphibian and Reptile
Lichanura trivirgata trivirgata,1077402,1077400,Amphibian and Reptile
Liasis amethystinus,1077337,1077336,Amphibian and Reptile
Liasis childreni,1077338,1077336,Amphibian and Reptile
Morelia spilota,1077340,1077339,Amphibian and Reptile
Morelia spilota variegata,1077341,1077340,Amphibian and Reptile
Python curtus,1077343,1077342,Amphibian and Reptile
Python regius,1077344,1077342,Amphibian and Reptile
Python reticulatus,1077345,1077342,"Amphibian and Reptile,Parasite"
Python sebae,1077346,1077342,Amphibian and Reptile
Python molurus,1077347,1077342,""
Python molurus bivittatus,1077348,1077347,Amphibian and Reptile
Eunectes murinus,1077387,1077386,Amphibian and Reptile
Acrantophis dumerili,1077356,1077355,Amphibian and Reptile
Acrantophis madagascariensis,1077357,1077355,Amphibian and Reptile
Boa constrictor,1077359,1077358,Amphibian and Reptile
Boa constrictor imperator,1077360,1077359,Amphibian and Reptile
Boa constrictor nebulosa,1077361,1077359,Amphibian and Reptile
Boa sabogae,1077362,1077358,Amphibian and Reptile
Candoia aspera,1077366,1077365,Amphibian and Reptile
Candoia bibroni,1077367,1077365,Amphibian and Reptile
Candoia carinata,1077368,1077365,""
Candoia carinata paulsoni,1077369,1077368,Amphibian and Reptile
Corallus caninus,1077371,1077370,Amphibian and Reptile
Corallus hortulanus,1077372,1077370,Amphibian and Reptile
Epicrates subflavus,1077385,1077374,Amphibian and Reptile
Epicrates angulifer,1077375,1077374,Amphibian and Reptile
Epicrates cenchria,1077376,1077374,Amphibian and Reptile
Epicrates cenchria barbouri,1077377,1077376,Amphibian and Reptile
Epicrates cenchria cenchria,1077378,1077376,Amphibian and Reptile
Epicrates cenchria maurus,1077379,1077376,Amphibian and Reptile
Epicrates fordi,1077380,1077374,Amphibian and Reptile
Epicrates inornatus,1077381,1077374,Amphibian and Reptile
Epicrates striatus,1077382,1077374,Amphibian and Reptile
Epicrates striatus striatus,1077383,1077382,Amphibian and Reptile
Epicrates striatus strigulatus,1077384,1077382,Amphibian and Reptile
Loxocemus bicolor,1077351,1077350,Amphibian and Reptile
Xenopeltis unicolor,1077353,1077352,Amphibian and Reptile
Ogmophis compactus,1169312,1169311,Fossil Vertebrate
Cylindrophis ruffus,1168922,1077404,Amphibian and Reptile
Anilius scytale,1166027,1166026,Amphibian and Reptile
Tropidophis canus,1077407,1077406,""
Tropidophis canus barbouri,1077408,1077407,Amphibian and Reptile
Tropidophis canus androsi,1168865,1077407,Amphibian and Reptile
Ungaliophis continentalis,1077410,1077409,Amphibian and Reptile
Ungaliophis panamensis,1077411,1077409,Amphibian and Reptile
Casarea dussumieri,1077414,1077413,Amphibian and Reptile
Leptotyphlops conjunctus,1077418,1077417,""
Leptotyphlops conjunctus latirostris,1077419,1077418,Amphibian and Reptile
Leptotyphlops humilis,1077420,1077417,""
Leptotyphlops humilis cahuilae,1077421,1077420,Amphibian and Reptile
Leptotyphlops humilis segregus,1077422,1077420,Amphibian and Reptile
Leptotyphlops phenops,1077423,1077417,Amphibian and Reptile
Typhlops boulengeri,1077426,1077425,Amphibian and Reptile
Typhlops lumbricalis,1077427,1077425,Amphibian and Reptile
Acrochordus javanicus,1077764,1077763,Amphibian and Reptile
Aspidelaps lubricus,1077771,1077770,Amphibian and Reptile
Dendroaspis angusticeps,1077774,1077773,Amphibian and Reptile
Dendroaspis jamesoni,1077775,1077773,""
Dendroaspis jamesoni kaimosae,1077776,1077775,Amphibian and Reptile
Dendroaspis polylepis,1077777,1077773,""
Dendroaspis polylepis antinorii,1077778,1077777,Amphibian and Reptile
Naja bungarus,1077780,1077779,Amphibian and Reptile
Naja melanoleuca,1077781,1077779,Amphibian and Reptile
Naja naja,1077782,1077779,Amphibian and Reptile
Naja naja naja,1077783,1077782,Amphibian and Reptile
Ophiophagus hannah,1077785,1077784,Amphibian and Reptile
Bungarus fasciatus,1168915,1168914,Amphibian and Reptile
Acanthophis antarcticus,1077788,1077787,Amphibian and Reptile
Micrurus fulvius,1077791,1077790,Amphibian and Reptile
Micrurus fulvius fulvius,1077792,1077791,Amphibian and Reptile
Micrurus tener,1077793,1077790,Amphibian and Reptile
Laticauda laticauda,1077796,1077795,Amphibian and Reptile
Bitis arietans,1077812,1077811,Amphibian and Reptile
Bitis arietans arietans,1077813,1077812,Amphibian and Reptile
Bitis gabonica,1077814,1077811,Amphibian and Reptile
Bitis nasicornis,1077815,1077811,Amphibian and Reptile
Echis carinatus,1077817,1077816,Amphibian and Reptile
Vipera berus,1077819,1077818,Amphibian and Reptile
Vipera berus berus,1077820,1077819,""
Atheris squamiger,1077822,1077821,Amphibian and Reptile
Cerastes cerastes,1077824,1077823,Amphibian and Reptile
Cerastes vipera,1077825,1077823,Amphibian and Reptile
Daboia russelli,1077827,1077826,Amphibian and Reptile
Trimeresurus albolabris,1077885,1077884,Amphibian and Reptile
Trimeresurus gramineus,1077886,1077884,Amphibian and Reptile
Trimeresurus popeorum,1077887,1077884,Amphibian and Reptile
Agkistrodon acutus,1077830,1077829,Amphibian and Reptile
Agkistrodon bilineatus,1077831,1077829,Amphibian and Reptile
