id,module,group_area,name,private_public,group_type,group_owner,department,note,create_date,updated_by,update_date
3889,1,catalogue,Hudson Lowland stragglers,PUBLIC,,MBOUCHARD,,,2014-05-30 16:46:04 UTC,MBOUCHARD,2014-05-30 17:09:08 UTC
3890,1,catalogue,A2013.0127,PUBLIC,,MBOUCHARD,,,2014-05-30 17:49:57 UTC,MBOUCHARD,2014-05-30 17:50:02 UTC
3901,1,catalogue,A2014.0002 - lichens,PUBLIC,,MBOUCHARD,,,2014-06-06 06:36:53 UTC,MBOUCHARD,2014-06-06 06:37:24 UTC
3907,1,catalogue,Lepraria brodoi - loan returned,PUBLIC,,MBOUCHARD,,,2014-06-11 15:41:17 UTC,MBOUCHARD,2014-06-13 15:28:02 UTC
3921,1,catalogue,Loan to Jean Faubert - Buxbaumia minakatae,PUBLIC,,MBOUCHARD,,,2014-07-29 10:24:58 UTC,MBOUCHARD,2014-07-29 10:25:20 UTC
3922,1,catalogue,Alberta Univ Zuzana Kozelkova - Potamogeton,PUBLIC,,MBOUCHARD,,,2014-07-29 10:44:59 UTC,MBOUCHARD,2014-07-29 15:06:23 UTC
3924,1,catalogue,Jacques Labrecque - Herbier du Québec,PUBLIC,,MBOUCHARD,,,2014-07-30 08:56:06 UTC,MBOUCHARD,2014-07-31 10:54:02 UTC
3925,1,catalogue,Minuartia rossii - Serge Payette,PUBLIC,,MBOUCHARD,,,2014-07-31 14:05:53 UTC,MBOUCHARD,2014-07-31 14:07:27 UTC
3927,1,catalogue,Redo labels CANM 333,PUBLIC,,MBOUCHARD,,,2014-08-13 15:01:17 UTC,MBOUCHARD,2014-08-13 15:03:40 UTC
3933,1,catalogue,A2013.0069 to change to A2012.0068,PUBLIC,,MBOUCHARD,,,2014-08-25 14:57:02 UTC,MBOUCHARD,2014-08-25 14:57:07 UTC
3934,1,catalogue,DeChaine loan - Saxifraga tricuspidata,PUBLIC,,MBOUCHARD,,,2014-08-25 16:04:03 UTC,LSHARP,2016-05-24 15:40:01 UTC
3935,1,catalogue,A2013.0097,PUBLIC,,MBOUCHARD,,,2014-08-26 13:59:48 UTC,MBOUCHARD,2014-08-26 15:11:28 UTC
3937,32,media,Decahine loan,PUBLIC,,MBOUCHARD,,,2014-08-27 12:31:42 UTC,MBOUCHARD,2014-08-27 12:31:49 UTC
3938,1,catalogue,Loan to QFA - Minuartia rossii,PUBLIC,,MBOUCHARD,,,2014-08-28 10:17:46 UTC,MBOUCHARD,2014-08-28 10:17:54 UTC
3939,64,sites,Dawson Creek (BC),PUBLIC,,MBOUCHARD,,,2014-09-08 08:17:21 UTC,MBOUCHARD,2014-09-08 08:34:52 UTC
3940,1,catalogue,Dawson Creek (BC),PUBLIC,,MBOUCHARD,,,2014-09-08 08:37:24 UTC,,
3941,1,catalogue,A2014.0013,PUBLIC,,MBOUCHARD,,,2014-09-08 12:56:15 UTC,MBOUCHARD,2014-09-08 13:05:07 UTC
3942,1,catalogue,Bennett request - Dawson Creek,PUBLIC,,MBOUCHARD,,,2014-09-09 08:59:27 UTC,MBOUCHARD,2014-09-09 08:59:38 UTC
3943,1,catalogue,CANM 333220,PUBLIC,,MBOUCHARD,,,2014-09-09 11:38:20 UTC,MBOUCHARD,2014-09-09 11:38:33 UTC
3945,1,catalogue,Lecanora rugosella loan to Prague,PUBLIC,,MBOUCHARD,,,2014-09-11 12:01:32 UTC,MBOUCHARD,2014-09-11 12:02:06 UTC
3948,1,catalogue,A2013.0067,PUBLIC,,MBOUCHARD,,,2014-09-18 09:19:33 UTC,MBOUCHARD,2014-09-18 09:42:58 UTC
3949,1,catalogue,CANL 127474,PUBLIC,,MBOUCHARD,,,2014-09-18 10:16:49 UTC,MBOUCHARD,2014-09-18 10:16:52 UTC
3950,1,catalogue,CAN 604275,PUBLIC,,MBOUCHARD,,,2014-09-18 13:19:43 UTC,MBOUCHARD,2014-09-18 13:19:44 UTC
3974,1,catalogue,Franklin Travelling Exhibit,PUBLIC,,MBOUCHARD,,,2014-10-22 15:39:27 UTC,MBOUCHARD,2014-10-22 15:46:22 UTC
3980,1,catalogue,DAO loan - Digitaria,PUBLIC,Loan,MBOUCHARD,,Digitaria ischaemum and D. sanguinalis on loan to Stepehn Darbyshire at DAO.,2014-10-31 08:00:26 UTC,MBOUCHARD,2014-10-31 10:43:36 UTC
3981,1,catalogue,DAO loan - Amelanchier,PUBLIC,Loan,MBOUCHARD,,All Amelanchier from British Columbia,2014-10-31 12:48:58 UTC,MBOUCHARD,2014-11-04 08:17:13 UTC
