id,module,group_area,name,private_public,group_type,group_owner,department,note,create_date,updated_by,update_date
2676,1,catalogue,Penny Arabis loan,PUBLIC,,BOTDATA1,,,2011-03-14 08:49:49 UTC,BOTDATA1,2011-03-16 11:19:52 UTC
2677,1,catalogue,Georeferencing data new,PUBLIC,,BOTDATA1,,,2011-03-14 10:49:06 UTC,BOTDATA1,2011-03-16 14:09:12 UTC
2678,1,catalogue,ALA murray loan,PUBLIC,,BOTDATA1,,,2011-03-17 09:23:19 UTC,BOTDATA1,2011-03-21 11:04:09 UTC
2680,1,catalogue,OSLO Reidar loan 2011,PUBLIC,,BOTDATA1,,,2011-03-21 14:00:19 UTC,BOTDATA1,2011-03-21 15:46:23 UTC
2684,1,catalogue,ALA pedicularis loan,PUBLIC,,BOTDATA1,,"For David Murray. SPecimens forwarded from Univ. Laval, Herbier Louis-Marie",2011-03-30 15:28:52 UTC,BOTDATA1,2011-03-30 15:30:54 UTC
2685,1,catalogue,Tonsberg loan 2011,PUBLIC,,BOTDATA1,,,2011-03-31 12:47:31 UTC,BOTDATA1,2011-03-31 12:52:20 UTC
2691,1,catalogue,Bouchard loan 1,PUBLIC,,BOTDATA1,,specimens for Micheline to draw,2011-04-26 14:00:00 UTC,BOTDATA1,2011-04-26 14:27:18 UTC
2706,1,catalogue,Hippuris request,PUBLIC,,BOTDATA1,,info for Mike Oldham,2011-05-31 13:12:55 UTC,BOTDATA1,2011-05-31 13:15:03 UTC
2713,1,catalogue,SASK cactaceae request,PUBLIC,,BOTDATA1,,,2011-06-09 11:28:36 UTC,BOTDATA1,2011-06-10 14:11:17 UTC
2717,1,catalogue,Lendemer loan 2011,PUBLIC,,BOTDATA1,,,2011-06-13 13:06:24 UTC,BOTDATA1,2011-06-13 15:54:18 UTC
2733,1,catalogue,Cook Specimens,PUBLIC,,BOTDATA1,,,2011-07-26 09:03:23 UTC,BOTDATA1,2011-07-26 09:03:46 UTC
2734,1,catalogue,Franklin Expedition,PUBLIC,,BOTDATA1,,,2011-07-26 15:12:37 UTC,BOTDATA1,2011-07-26 15:12:40 UTC
2735,1,catalogue,Dr. Rae specimens,PUBLIC,,BOTDATA1,,,2011-07-26 15:16:44 UTC,BOTDATA1,2011-07-26 15:16:49 UTC
2743,1,catalogue,ALA Saxifraga loan 2011,PUBLIC,,BOTDATA1,,,2011-08-08 13:41:51 UTC,BOTDATA1,2011-08-11 15:27:35 UTC
2744,1,catalogue,Faubert Scapania loan,PUBLIC,,BOTDATA1,,,2011-08-09 16:52:11 UTC,BOTDATA1,2011-08-10 09:19:54 UTC
2750,1,catalogue,Doubt Maine trip,PUBLIC,,BOTDATA1,,,2011-08-18 08:33:15 UTC,BOTDATA1,2011-08-18 16:58:49 UTC
