speckey,scientific_name,variation
1053074,Gadiformes,xxGadiformes
501186,Galliformes,xxGalliformes
1056877,Gasterosteiformes,xxGasterosteiformes
1076715,Pseudemys,xxPseudemys
1076724,Pseudemys floridana,xxPseudemys floridana
1166152,Ptilodus,xxPtilodus
501725,Quiscalus,xxQuiscalus
1122569,Rattus,xxRattus
1122608,Rattus norvegicus,xxRattus norvegicus
1169417,Rhadinichthys,xxRhadinichthys
1119148,Saiga,xxSaiga
1119149,Saiga tatarica,xxSaiga tatarica
1169371,Sandalodus,xxSandalodus
1169868,Sandalodus liardensis,xxSandalodus liardensis
1119565,Sciurus,xxSciurus
1119586,Sciurus carolinensis,xxSciurus carolinensis
1150425,Cygnus,xxCygnus
1163284,Orthaspidotherium,xxOrthaspidotherium
1163285,Orthaspidotherium edwardsi,xxOrthaspidotherium edwardsi
1164670,Palaeosaniwa,xxPalaeosaniwa
1164671,Palaeosaniwa canadensis,xxPalaeosaniwa canadensis
1077905,Paleosuchus,xxPaleosuchus
1077906,Paleosuchus palpebrosus,xxPaleosuchus palpebrosus
1167230,Panoplosaurus,xxPanoplosaurus
1169865,Paratarpon,xxParatarpon
1169866,Paratarpon apogerontus,xxParatarpon apogerontus
1121188,Peromyscus,xxPeromyscus
1121277,Peromyscus leucopus,xxPeromyscus leucopus
1121296,Peromyscus maniculatus,xxPeromyscus maniculatus
1122093,Phenacomys,xxPhenacomys
1122094,Phenacomys intermedius,xxPhenacomys intermedius
1150815,Scolopax,xxScolopax
1150816,Scolopax minor,xxScolopax minor
1118669,Phocoena,xxPhocoena
1118671,Phocoena phocoena,xxPhocoena phocoena
1169611,Seymouria,xxSeymouria
1152593,Soergelia,xxSoergelia
1115882,Sorex,xxSorex
1115886,Sorex arcticus,xxSorex arcticus
1115900,Sorex cinereus,xxSorex cinereus
1076810,Sphenodon,xxSphenodon
1118290,Spilogale,xxSpilogale
1164905,Stegodon,xxStegodon
1169826,Stenopterygius,xxStenopterygius
1169827,Stenopterygius cuneiceps,xxStenopterygius cuneiceps
1164934,Struthiomimus,xxStruthiomimus
1118806,Sus scrofa,xxSus scrofa
1123268,Sylvilagus,xxSylvilagus
1123310,Sylvilagus floridanus,xxSylvilagus floridanus
1122130,Synaptomys,xxSynaptomys
1122141,Synaptomys cooperi,xxSynaptomys cooperi
1119251,Tamias,xxTamias
1164756,Poebrotherium,xxPoebrotherium
1164757,Poebrotherium wilsoni,xxPoebrotherium wilsoni
1152586,Praeovibos,xxPraeovibos
1169855,Priscacara,xxPriscacara
1123173,Prolagus,xxProlagus
