site_id,status
CMNFV 008704,missing other number P-1901
CMNFV 008705,missing other number P-1901
CMNFV 025211,missing other number 25
CMNFV 025481,missing other number LOC. 44
CMNFV 008722,missing other number LOC. 5
CMNFV 008723,missing other number LOC. 5
CMNFV 030718,missing other number P-6122
CMNFV 030719,missing other number P-6122
CMNFV 030720,missing other number P-6122
CMNFV 030721,missing other number P-6122
CMNFV 030722,missing other number P-6122
CMNFV 030723,missing other number P-6122
CMNFV 030724,missing other number P-6122
CMNFV 030725,missing other number P-6122
CMNFV 030726,missing other number P-6122
CMNFV 030727,missing other number P-6122
CMNFV 030728,missing other number P-6122
CMNFV 030729,missing other number P-6122
CMNFV 030730,missing other number P-6122
CMNFV 030731,"missing other number P-6122, NS 414; NS 415; NS 416; NS 417; "
CMNFV 030732,missing other number P-6122
CMNFV 030733,"missing other number P-6122, NS 498"
CMNFV 030739,missing other number P-6122
CMNFV 030740,missing other number P-6122
CMNFV 030741,missing other number P-6122
CMNFV 030742,missing other number P-6122
CMNFV 030743,missing other number P-6122
CMNFV 030744,missing other number P-6122
CMNFV 030745,missing other number P-6122
CMNFV 030760,missing other number P-6122
CMNFV 030761,missing other number P-6122
CMNFV 030762,missing other number P-6122
CMNFV 030763,missing other number P-6122
CMNFV 030764,missing other number P-6122
CMNFV 028954,missing other number LOC. 4
CMNFV 028960,missing other number LOC. 5
CMNFV 028961,missing other number LOC. 5
CMNFV 032174,missing other number LOC. 4W
CMNFV 026144,missing other number MKVI-9A-8
CMNFV 026145,missing other number MKVI-9A-8
CMNFV 026149,missing other number MKVI-9A-8
CMNFV 026150,missing other number MKVI-9A-8
CMNFV 026151,missing other number MKVI-9A-8
CMNFV 026152,missing other number MKVI-9A-8
CMNFV 026153,missing other number MKVI-9A-8
CMNFV 026147,missing other number MKVI-9A-8
CMNFV 026148,missing other number MKVI-9A-8
CMNFV 026154,missing other number MKVI-9A-9
CMNFV 026155,missing other number MKVI-9A-9
CMNFV 026156,missing other number MKVI-9A-9
CMNFV 026157,missing other number MKVI-9A-19
CMNFV 030746,missing other number P-6122
CMNFV 030747,missing other number P-6122
CMNFV 030748,missing other number P-6122
CMNFV 030749,missing other number P-6122
CMNFV 030750,missing other number P-6122
CMNFV 030751,missing other number P-6122
CMNFV 030752,missing other number P-6122
CMNFV 030753,missing other number P-6122
CMNFV 030754,missing other number P-6122
CMNFV 030755,missing other number P-6122
CMNFV 030756,missing other number P-6122
CMNFV 030757,"missing other number P-6122, NS 543; NS 544; NS 545; NS 546; "
CMNFV 030758,missing other number P-6122
CMNFV 030759,missing other number P-6122
CMNFV 030765,missing other number P-6122
CMNFV 030766,missing other number P-6122
CMNFV 030767,missing other number P-6122
CMNFV 030768,missing other number P-6122
CMNFV 030769,missing other number P-6122
CMNFV 030770,missing other number P-6122
CMNFV 030771,missing other number P-6122
CMNFV 030772,missing other number P-6122
CMNFV 030773,missing other number P-6122
CMNFV 037229,missing object CMNFV 37229
CMNFV 037230,missing object CMNFV 37230
CMNFV 037231,missing other number LOC. P-1101
CMNFV 037232,missing object CMNFV 37232
CMNFV 037234,missing object CMNFV 37234
CMNFV 037235,missing other number LOC. P-1101
CMNFV 037236,missing other number LOC. P-1101
CMNFV 037222,missing object CMNFV 37222
CMNFV 037223,missing object CMNFV 37223
CMNFV 037225,missing object CMNFV 37225
CMNFV 037224,missing object CMNFV 37224
CMNFV 037226,missing other number LOC. P-1101
CMNFV 037227,missing object CMNFV 37227
CMNFV 037228,missing other number LOC. P-1101
CMNFV 026158,missing other number MKVI-9A-19
CMNFV 026159,missing other number MKVI-9A-21
CMNFV 026160,missing other number MKVI-9A-1
CMNFV 026161,missing other number MKVI-9A-1
CMNFV 026162,missing other number MKVI-9A-1
CMNFV 026164,missing other number MKVI-9A-4
CMNFV 026163,missing other number MKVI-9A-1
CMNFV 026165,missing other number MKVI-9A-13
CMNFV 026166,missing other number MKVI-9A-27
CMNFV 026167,missing other number MKVI-9A-28
CMNFV 026168,missing other number MKVI-9A-28
CMNFV 026169,missing other number MKVI-9A-28
CMNFV 026170,missing other number MKVI-9A-28
CMNFV 026171,missing other number MKVI-9A-28
CMNFV 026172,missing other number MKVI-9A-24
CMNFV 026173,missing other number MKVI-9A-10
CMNFV 026174,missing other number MKVI-9A-10
CMNFV 026175,missing other number MKVI-9A-22
CMNFV 024804,missing other number LOC. 22E
CMNFV 024805,missing other number LOC. 22E
CMNFV 030774,missing other number P-6122
CMNFV 030775,missing other number P-6122
CMNFV 030776,missing other number P-6122
CMNFV 030777,missing other number P-6122
CMNFV 030778,missing other number P-6122
CMNFV 030779,"missing other number P-6122, NS 355; NS 356; NS 356; NS 365"
CMNFV 030780,missing other number P-6122
CMNFV 030781,missing other number P-6122
CMNFV 030782,"missing other number P-6122, NS 375; NS 376"
CMNFV 030783,missing other number P-6122
CMNFV 044831,missing object CMNFV 44831
CMNFV 044832,missing object CMNFV 44832
CMNFV 032629,missing other number LOC. 44
CMNFV 023287,missing other number LOC. 84
CMNFV 023290,missing other number LOC. 84 NIP
CMNFV 037237,missing other number LOC. P-1101
CMNFV 037238,missing other number LOC. P-1101
CMNFV 037239,missing other number LOC. P-1101
