speckey,scientific_name
1079266,xxPodocarpaceae
1079271,xxTaxaceae
1080273,xxThalictrum pubescens var. hebecarpum
1081185,xxBetula ungavensis
1078968,xxPolypodium californicum var. kaulfussii
1078969,xxPolypodium decumanum
1078970,xxPolypodium dispersum
1079049,xxSelaginella menziesii
1080308,xxBerberis
1080600,xxCeltis occidentalis var. occidentalis
1080601,xxCeltis occidentalis var. pumila
1080274,xxThalictrum pubescens var. hepaticum
1080275,xxThalictrum pubescens var. pubescens
1080277,xxThalictrum revolutum var. glandulosior
1080278,xxThalictrum revolutum var. revolutum
1079700,xxActaea rubra subsp. rubra
1079059,xxSelaginella rupestris
1083906,xxRumex maritimus var. fueginus
1083907,xxRumex maritimus var. maritimus
1083908,xxRumex maritimus var. persicarioides
1083912,xxRumex obtusifolius subsp. agrestis
1083913,xxRumex obtusifolius subsp. obtusifolius
1083914,xxRumex obtusifolius subsp. sylvestris
1079064,xxSelaginella stipitata
1079723,xxAnemone multifida var. globosa
1079724,xxAnemone multifida var. hirsuta
1079725,xxAnemone multifida var. hudsoniana
1079728,xxAnemone multifida var. richardsiana
1079743,xxAnemone parviflora var. grandiflora
1079747,xxAnemone quinquefolia var. grayi
1079113,xxJuniperus horizontalis
1079117,xxJuniperus monosperma
1079120,xxJuniperus occidentalis
1079125,xxJuniperus scopulorum
1079126,xxJuniperus silicicola
1079127,xxJuniperus virginiana
1079129,xxThuja occidentalis
1079133,xxZamia
1080046,xxRanunculus abortivus var. abortivus
1080047,xxRanunculus abortivus var. eucyclus
1080048,xxRanunculus abortivus var. indivisus
1078889,xxBotrychium lunaria var. lunaria
1078890,xxBotrychium lunaria var. onondagense
1078905,xxBotrychium simplex var. laxifolium
1078906,xxBotrychium simplex var. simplex
1078907,xxBotrychium simplex var. tenebrosum
1079202,xxPinus cembroides
1079204,xxPinus contorta
1079213,xxPinus edulis var. edulis
1079810,xxCaltha leptosepala subsp. leptosepala
1079811,xxCaltha leptosepala subsp. leptosepala var. leptosepala
1079812,xxCaltha leptosepala subsp. leptosepala var. sulfurea
1079227,xxPinus monticola
1080063,xxRanunculus alismifolius var. hartwegii
1080064,xxRanunculus alismifolius var. lemmonii
1078930,xxOsmunda cinnamomea
1078933,xxOsmunda cinnamomea var. imbricata
1078934,xxOsmunda claytoniana
1078935,xxOsmunda regalis
1081151,xxBetula michauxii
1081155,xxBetula nana subsp. nana
1078960,xxPleopeltis thunbergiana
1078964,xxPolypodium aureum
1079197,xxPinus attenuata
1080477,xxPapaver lapponicum subsp. occidentale
1081143,xxBetula cordifolia
1081197,xxCorylus cornuta var. glandulosa
1078862,xxMarsileaceae
1078866,xxMarsilea mexicana
1078869,xxMarsilea tenuifolia
1078870,xxMarsilea uncinata
1078873,xxPilularia
1078874,xxPilularia americana
1079105,xxJuniperus californica
1079106,xxJuniperus communis
1079763,xxAquilegia canadensis var. australis
1079764,xxAquilegia canadensis var. canadensis
1079765,xxAquilegia canadensis var. coccinea
